time,x,y,z,speed,throttle,brake,lap,next,branch,recoveries
0.005065918,726.9792,78.8131,-8.911709,0.3400962,1,0,0,0,,0
0.2250671,727.0226,78.86272,-9.415881,3.923271,1,0,0,0,,0
0.4450684,727.1011,78.8829,-10.67713,7.234828,1,0,0,0,,0
0.6650696,727.1408,78.91648,-12.64108,10.31069,1,0,0,0,,0
0.8850403,727.0868,78.97149,-15.25533,13.17391,1,0,0,0,,0
1.105042,726.9291,79.04443,-18.4719,15.83969,1,0,0,0,,0
1.325043,726.6876,79.13477,-22.2484,18.32014,1,0,0,0,,0
1.545044,726.3784,79.24065,-26.54618,20.62757,1,0,0,0,,0
1.765045,725.9786,79.35606,-31.3267,22.77287,1,0,0,0,,0
1.985046,725.3947,79.46892,-36.54538,24.75989,1,0,0,0,,0
2.205048,724.4637,79.55779,-42.13993,26.58896,1,0,0,1,,0
2.425049,723.0023,79.58612,-48.01997,28.27452,1,0,0,1,,0
2.64505,720.8687,79.5528,-54.06913,29.83946,1,0,0,1,,0
2.865051,718.0105,79.53275,-60.15371,30.63005,0,0,0,1,,0
3.085052,714.762,79.53625,-65.68446,28.08761,0.006512451,0,0,1,,0
3.305054,711.405,79.53988,-70.4979,25.63102,0,0.4642015,0,1,,0
3.525055,708.2386,79.53949,-74.52396,20.87775,0,0.9820771,0,1,,0
3.745056,705.7296,79.53896,-77.47031,14.85411,0,1,0,1,,0
3.965057,704.0296,79.53902,-79.36874,8.861452,0,1,0,1,,0
4.185059,703.1169,79.53909,-80.35703,4.755114,0,0.1387661,0,1,,0
4.40506,702.2379,79.53909,-81.28576,7.082901,0.8063251,0,0,1,,0
4.625061,701.0051,79.53909,-82.57393,8.723026,0.3350952,0,0,1,,0
4.845062,699.614,79.53909,-84.02557,9.404496,0.1559471,0,0,1,,0
5.065063,698.1779,79.53909,-85.53619,9.500815,0.1071808,0,0,1,,0
5.285065,696.7344,79.53909,-87.08144,9.688876,0.05405502,0,0,1,,0
5.505066,695.3272,79.53909,-88.66369,9.59336,0.06664276,0,0,1,,0
5.725067,694.0522,79.57961,-90.32343,9.565264,0.059301,0,0,1,,0
5.945068,693.0283,79.72775,-92.16272,9.593603,0.142411,0,0,1,,0
6.165039,692.4315,79.80048,-94.21135,9.667661,0.1521301,0,0,1,,0
6.38504,692.4119,79.84,-96.37139,9.799675,0.161483,0,0,1,,0
6.605042,692.9828,79.98067,-98.45508,9.807356,0.1547462,0,0,1,,0
6.825043,694.0707,80.18094,-100.3332,10.29824,1,0,0,1,,0
7.045044,695.8359,80.43165,-102.1953,12.83767,1,0,0,1,,0
7.265045,698.3665,80.73994,-103.9867,15.21268,1,0,0,1,,0
7.485046,701.6083,81.09921,-105.565,17.48289,1,0,0,1,,0
7.705048,705.4623,81.5038,-106.9342,19.65799,1,0,0,1,,0
7.925049,709.8329,81.95509,-108.2045,21.71328,1,0,0,1,,0
8.14505,714.6393,82.45867,-109.5211,23.62878,1,0,0,1,,0
8.365051,719.8146,83.02097,-111.0035,25.38173,0.8854904,0,0,2,,0
8.585052,724.9131,83.60257,-112.5836,23.32186,0,0.125422,0,2,,0
8.805054,729.5421,84.16102,-114.1165,21.3608,0,0.3124228,0,2,,0
9.025055,733.5258,84.66503,-115.4533,16.70612,0,0.7931671,0,2,,0
9.245056,736.7303,85.07573,-116.2274,14.25051,0,0,0,2,,0
9.465057,739.5531,85.60935,-116.5204,11.42916,0,1,0,2,,0
9.685059,741.7765,86.29132,-116.5459,11.43596,1,0,0,2,,0
9.90506,744.4858,86.75877,-116.4725,12.58478,1,0,0,2,,0
10.12506,747.3008,86.86015,-116.3491,13.34512,0.5994881,0,0,2,,0
10.34506,749.9493,87.32428,-116.0763,12.15175,1,0,0,2,,0
10.56506,752.7288,88.02227,-115.617,13.6237,0.3321427,0,0,2,,0
10.78506,755.6159,88.60712,-114.9429,13.76341,0.1918518,0,0,2,,0
11.00507,758.4658,89.17241,-114.0802,13.77537,0.1799652,0,0,2,,0
11.22504,761.254,89.771,-113.0528,13.77739,0.1782036,0,0,2,,0
