time,x,y,z,speed,throttle,brake,lap,next,branch,recoveries
0.01308966,726.9793,78.8131,-8.912118,0.3600729,1,0,0,0,,0
0.2330897,727.0253,78.86311,-9.446733,4.159104,1,0,0,0,,0
0.4530897,727.1069,78.88456,-10.78481,7.678204,1,0,0,0,,0
0.6730895,727.145,78.92085,-12.87026,10.95281,1,0,0,0,,0
0.8930893,727.0826,78.97989,-15.64861,14.00683,1,0,0,0,,0
1.09309,726.931,79.05024,-18.73362,16.60482,1,0,0,0,,0
1.313089,726.6788,79.14549,-22.70135,19.27763,1,0,0,0,,0
1.533089,726.3501,79.25679,-27.21827,21.4273,0.4060532,0,0,0,,0
1.753089,725.9305,79.37205,-32.0248,22.50871,0.6795441,0,0,0,,0
1.953089,725.3892,79.47103,-36.66578,24.08686,0.8189468,0,0,0,,0
2.173089,724.4715,79.55637,-42.10677,25.89537,0.8789169,0,0,1,,0
2.393089,723.0457,79.58501,-47.847,27.65834,0.893277,0,0,1,,0
2.613089,720.969,79.55416,-53.78485,29.32849,0.9086624,0,0,1,,0
2.813089,718.4545,79.5343,-59.26021,30.65913,0.6199341,0,0,1,,0
3.033089,715.2359,79.53564,-64.90609,28.40361,0.1236572,0,0,1,,0
3.253088,711.8763,79.53956,-69.8353,26.15178,0,0.3090429,0,1,,0
3.453089,708.8984,79.53964,-73.69914,22.52023,0,0.8691878,0,1,,0
3.673089,706.1708,79.53904,-76.95792,16.5805,0,1,0,1,,0
3.893088,704.2301,79.539,-79.14921,10.57957,0,1,0,1,,0
4.113088,703.1393,79.53909,-80.33965,4.786851,0,0.729499,0,1,,0
4.313088,702.5076,79.53909,-81.01208,5.618119,1,0,0,1,,0
4.533088,701.4147,79.53909,-82.15828,8.173283,0.471035,0,0,1,,0
4.753088,700.0789,79.53909,-83.55199,9.150788,0.2087303,0,0,1,,0
4.973088,698.6541,79.53909,-85.04484,9.463439,0.1111427,0,0,1,,0
5.193088,697.2181,79.53909,-86.5703,9.609334,0.07287522,0,0,1,,0
5.413088,695.7852,79.53909,-88.14103,9.625315,0.04243851,0,0,1,,0
5.633088,694.4458,79.56452,-89.76195,9.602783,0.1056282,0,0,1,,0
5.853088,693.308,79.6868,-91.54833,9.69397,0.1646881,0,0,1,,0
6.073087,692.5373,79.80013,-93.5693,9.790351,0.117553,0,0,1,,0
6.273088,692.3205,79.81712,-95.5301,9.815531,0.1484055,0,0,1,,0
6.493087,692.6683,79.91234,-97.66878,9.818394,0.1455826,0,0,1,,0
6.713088,693.5668,80.09693,-99.63335,9.827524,0.1389389,0,0,1,,0
6.933087,695.0622,80.32903,-101.4961,12.13498,1,0,0,1,,0
7.133088,697.1252,80.59476,-103.2167,14.54633,1,0,0,1,,0
7.353087,700.1514,80.94289,-104.9567,17.06688,1,0,0,1,,0
7.573087,703.8861,81.34248,-106.4687,19.48912,1,0,0,1,,0
7.793087,708.2238,81.79184,-107.8256,21.79684,1,0,0,1,,0
8.013086,713.0722,82.29605,-109.1737,23.96229,1,0,0,1,,0
8.233088,718.3543,82.86234,-110.6563,25.97537,1,0,0,2,,0
8.453087,723.7053,83.46353,-112.2669,24.57937,0,0.3843241,0,2,,0
