time,x,y,z,speed,throttle,brake,lap,next,branch,recoveries
0.007411718,711.8605,79.50508,-71.66514,0.3598559,1,0,0,0,,0
0.2274115,711.5344,79.54727,-72.09729,4.171488,1,0,0,0,,0
0.4474115,710.6941,79.54396,-73.15217,7.7238,1,0,0,0,,0
0.6674113,709.3114,79.53783,-74.73378,11.03406,1,0,0,0,,0
0.8874114,707.3757,79.53837,-76.75995,14.12389,1,0,0,0,,0
1.107411,704.9236,79.53927,-79.18251,16.72465,0.5091812,0,0,0,,0
1.327411,702.2245,79.53918,-81.79713,17.23742,0.1117767,0,0,0,,0
1.527411,699.8277,79.53905,-84.14275,15.15534,0,1,0,0,,0
1.747411,697.8745,79.53905,-86.11049,11.00887,0,0.7031369,0,0,,0
1.967411,696.6843,79.53905,-87.35367,5.10887,0,1,0,0,,0
2.167411,696.0684,79.53905,-88.01897,5.422899,0.9167137,0,0,0,,0
2.387411,695.0477,79.53905,-89.14925,7.912216,0.509037,0,0,0,,0
2.607411,693.7879,79.61815,-90.66552,9.739465,0.2487206,0,0,0,,0
2.82741,692.6777,79.75764,-92.53208,9.841741,0.1262924,0,0,0,,0
3.027411,692.1049,79.78136,-94.43129,9.830453,0.1341438,0,0,0,,0
3.247411,692.0827,79.81486,-96.60223,9.808177,0.1534607,0,0,0,,0
3.46741,692.6837,79.96318,-98.67901,9.815905,0.1480995,0,0,0,,0
3.68741,693.8114,80.16785,-100.5374,10.35005,1,0,0,0,,0
3.88741,695.4463,80.39816,-102.2166,12.87153,1,0,0,0,,0
4.10741,698.017,80.7106,-104.0127,15.478,1,0,0,0,,0
4.32741,701.3473,81.07819,-105.6022,17.9686,1,0,0,0,,0
4.527411,704.9505,81.45503,-106.8625,20.14519,1,0,0,0,,0
4.74741,709.4539,81.9179,-108.1522,22.418,1,0,0,0,,0
4.96741,714.4396,82.43781,-109.4934,24.54081,1,0,0,0,,0
5.18741,719.8351,83.02213,-111.0186,26.51124,1,0,0,0,,0
5.40741,725.5859,83.67794,-112.7918,28.34153,1,0,0,0,,0
5.62741,731.6639,84.41306,-114.7904,30.04335,1,0,0,0,,0
5.84741,738.0105,85.30729,-116.898,31.13917,1,0,0,0,,0
6.06741,744.3087,87.13984,-118.917,31.22946,0.5646408,0,0,0,,0
6.28741,750.6429,88.65076,-120.9231,30.58154,0,1,0,0,,0
6.507409,756.9503,89.67989,-122.9209,30.06157,0,1,0,0,,0
6.70741,762.6593,90.19897,-124.7297,29.71254,0,1,0,0,,0
6.927409,768.9105,90.31409,-126.7107,29.47354,0,1,0,0,,0
7.147409,774.5038,90.57949,-128.1098,22.9731,0,1,0,0,,0
7.36741,778.6761,91.3465,-128.3479,16.06216,0,1,0,0,,0
7.587409,781.3944,91.78442,-127.6964,10.90169,0,0.2820232,0,0,,0
7.807409,783.2325,92.03156,-126.4623,9.805232,0.1573112,0,0,0,,0
8.027409,784.6412,92.22395,-124.6859,11.42595,1,0,0,0,,0
8.227409,785.7861,92.37601,-122.3848,14.03736,1,0,0,0,,0
8.447409,786.8918,92.47832,-119.1406,16.83387,1,0,0,0,,0
8.667409,787.9676,92.3363,-115.2698,18.83882,0,0,0,0,,0
8.887408,789.0664,91.73547,-111.275,19.00013,0,1,0,0,,0
9.087409,790.0635,90.78075,-107.6646,19.27367,0,1,0,0,,0
9.307408,791.4532,90.02439,-105.5914,7.638148,1,0,0,0,,0
9.527409,793.1603,89.80294,-104.8549,8.428046,0,0,0,0,,0
9.747409,794.6494,89.95768,-103.9953,7.869794,0.7999001,0,0,0,,0
9.967408,796.13,90.44277,-103.0112,9.088535,1,0,0,0,,0
10.18741,797.7783,91.35438,-101.7504,11.21436,1,0,0,0,,0
10.40741,799.6069,92.66986,-100.251,13.13162,1,0,0,0,,0
10.60741,801.4437,94.13626,-98.72907,14.72677,1,0,0,0,,0
10.82741,803.5486,95.72769,-96.89406,14.86075,1,0,0,0,,0
