course,vehicle,lip,direction,target,line,completed,minUp,recovered,awards
ForestLoopReverse,moto,213,-1,16,0,True,0.849,True,0
ForestLoopReverse,moto,213,-1,16,-2,True,0.832,True,0
ForestLoopReverse,moto,213,-1,16,2,True,0.872,True,0
ForestLoopReverse,moto,213,-1,16,-15.675,False,0.009,True,0
ForestLoopReverse,moto,213,-1,16,15.675,False,-0.477,True,0
ForestLoopReverse,moto,213,-1,24,0,False,0.511,True,0
ForestLoopReverse,moto,213,-1,24,-2,False,0.750,True,0
ForestLoopReverse,moto,213,-1,24,2,False,-0.106,True,0
ForestLoopReverse,moto,213,-1,24,-15.675,False,0.198,True,0
ForestLoopReverse,moto,213,-1,24,15.675,False,0.478,True,0
ForestLoopReverse,moto,213,-1,32,0,True,0.433,True,0
ForestLoopReverse,moto,213,-1,32,-2,True,-0.703,True,0
ForestLoopReverse,moto,213,-1,32,2,True,0.475,True,0
ForestLoopReverse,moto,213,-1,32,-15.675,False,0.639,True,0
ForestLoopReverse,moto,213,-1,32,15.675,False,-0.345,True,0
ForestLoopReverse,moto,537,-1,16,0,True,0.824,True,0
ForestLoopReverse,moto,537,-1,16,-2,True,0.820,True,0
ForestLoopReverse,moto,537,-1,16,2,True,0.836,True,0
ForestLoopReverse,moto,537,-1,16,-6.675,True,0.832,True,0
ForestLoopReverse,moto,537,-1,16,6.675,True,0.822,True,0
ForestLoopReverse,moto,537,-1,24,0,True,0.806,True,0
ForestLoopReverse,moto,537,-1,24,-2,True,0.813,True,0
ForestLoopReverse,moto,537,-1,24,2,True,0.533,True,0
ForestLoopReverse,moto,537,-1,24,-6.675,True,0.827,True,0
ForestLoopReverse,moto,537,-1,24,6.675,True,0.694,True,0
ForestLoopReverse,moto,537,-1,32,0,False,0.597,True,0
ForestLoopReverse,moto,537,-1,32,-2,False,-0.120,True,0
ForestLoopReverse,moto,537,-1,32,2,False,0.817,True,0
ForestLoopReverse,moto,537,-1,32,-6.675,False,0.811,True,0
ForestLoopReverse,moto,537,-1,32,6.675,False,0.807,True,0
ForestLoopReverse,atv,213,-1,16,0,True,0.858,True,0
ForestLoopReverse,atv,213,-1,16,-2,True,0.855,True,0
ForestLoopReverse,atv,213,-1,16,2,True,0.875,True,0
ForestLoopReverse,atv,213,-1,16,-15.275,True,0.378,True,0
ForestLoopReverse,atv,213,-1,16,15.275,False,0.135,True,0
ForestLoopReverse,atv,213,-1,24,0,False,0.748,True,0
ForestLoopReverse,atv,213,-1,24,-2,False,0.484,True,0
ForestLoopReverse,atv,213,-1,24,2,False,-0.519,True,0
ForestLoopReverse,atv,213,-1,24,-15.275,False,0.471,True,0
ForestLoopReverse,atv,213,-1,24,15.275,True,-0.886,True,0
ForestLoopReverse,atv,213,-1,32,0,False,0.228,True,0
ForestLoopReverse,atv,213,-1,32,-2,False,0.875,True,0
ForestLoopReverse,atv,213,-1,32,2,True,0.451,True,0
ForestLoopReverse,atv,213,-1,32,-15.275,False,0.297,True,0
ForestLoopReverse,atv,213,-1,32,15.275,False,0.243,True,0
ForestLoopReverse,atv,537,-1,16,0,True,0.830,True,0
ForestLoopReverse,atv,537,-1,16,-2,True,0.832,True,0
ForestLoopReverse,atv,537,-1,16,2,True,0.825,True,0
ForestLoopReverse,atv,537,-1,16,-6.275,True,0.830,True,0
ForestLoopReverse,atv,537,-1,16,6.275,True,0.823,True,0
ForestLoopReverse,atv,537,-1,24,0,True,0.803,True,0
ForestLoopReverse,atv,537,-1,24,-2,True,0.817,True,0
ForestLoopReverse,atv,537,-1,24,2,False,0.721,True,0
ForestLoopReverse,atv,537,-1,24,-6.275,True,0.800,True,0
ForestLoopReverse,atv,537,-1,24,6.275,True,0.704,True,0
ForestLoopReverse,atv,537,-1,32,0,True,-0.399,True,0
ForestLoopReverse,atv,537,-1,32,-2,False,0.729,True,0
ForestLoopReverse,atv,537,-1,32,2,False,0.032,True,0
ForestLoopReverse,atv,537,-1,32,-6.275,False,0.400,True,0
ForestLoopReverse,atv,537,-1,32,6.275,False,0.029,True,0
