"course","vehicle","speed","line","seconds","travel","air","minUp","recovered","outcome","scoredDistance","scoredAirtime","awards","contactCorrections","Matrix"
"Forest Loop Reverse","moto","43","-1.5","5.440","193.263","2.840","0.957","True","completed","111.193","2.840","0","220","high-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","43","-3","5.440","193.384","2.840","0.957","True","completed","111.261","2.840","0","216","high-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","43","0","5.460","194.123","2.860","0.957","True","completed","111.983","2.860","0","211","high-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","43","-4.7","4.560","158.677","2.320","-0.912","True","completed","0.000","0.000","0","126","high-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","43","1.7","22.640","412.075","20.480","-0.925","True","stalled/crashed","0.000","0.000","0","152","high-ForestLoopReverse-roam-no"
"Forest Loop Reverse","atv","43","-1.5","5.460","193.627","2.860","0.959","True","completed","111.533","2.860","0","207","high-ForestLoopReverse-roam-no"
"Forest Loop Reverse","atv","43","-3","5.460","193.204","2.860","0.960","True","completed","111.336","2.860","0","187","high-ForestLoopReverse-roam-no"
"Forest Loop Reverse","atv","43","0","5.460","193.257","2.860","0.960","True","completed","111.383","2.860","0","205","high-ForestLoopReverse-roam-no"
"Forest Loop Reverse","atv","43","-4.7","5.100","177.340","2.760","-0.730","True","completed","105.925","2.760","0","109","high-ForestLoopReverse-roam-no"
"Forest Loop Reverse","atv","43","1.7","4.940","172.939","2.540","-0.866","True","completed","98.987","2.540","0","120","high-ForestLoopReverse-roam-no"
"Forest Loop Reverse","moto","43","-1.5","5.860","200.795","3.280","0.934","True","completed","120.340","3.280","0","75","high-ForestLoopReverse-roam-yes"
"Forest Loop Reverse","moto","43","-3","5.880","201.844","3.300","0.933","True","completed","121.371","3.300","0","78","high-ForestLoopReverse-roam-yes"
"Forest Loop Reverse","moto","43","0","5.860","200.686","3.280","0.934","True","completed","120.279","3.280","0","78","high-ForestLoopReverse-roam-yes"
"Forest Loop Reverse","moto","43","-4.7","4.900","167.669","2.600","-0.607","True","completed","97.733","2.600","0","105","high-ForestLoopReverse-roam-yes"
"Forest Loop Reverse","moto","43","1.7","5.160","179.089","2.720","0.244","True","completed","0.000","0.000","0","98","high-ForestLoopReverse-roam-yes"
"Forest Loop Reverse","atv","43","-1.5","5.880","199.856","3.300","0.934","True","completed","119.552","3.300","0","75","high-ForestLoopReverse-roam-yes"
"Forest Loop Reverse","atv","43","-3","5.880","199.672","3.300","0.934","True","completed","119.363","3.300","0","73","high-ForestLoopReverse-roam-yes"
"Forest Loop Reverse","atv","43","0","5.900","200.366","3.320","0.934","True","completed","120.072","3.320","0","59","high-ForestLoopReverse-roam-yes"
"Forest Loop Reverse","atv","43","-4.7","5.040","171.406","2.740","0.726","True","completed","102.005","2.740","0","73","high-ForestLoopReverse-roam-yes"
"Forest Loop Reverse","atv","43","1.7","5.080","173.845","2.720","0.540","True","completed","101.939","2.720","0","95","high-ForestLoopReverse-roam-yes"
"Forest Loop","moto","43","-1.5","5.440","193.263","2.840","0.957","True","completed","111.193","2.840","0","220","high-LakeWoods-roam-no"
"Forest Loop","moto","43","-3","5.440","193.384","2.840","0.957","True","completed","111.261","2.840","0","216","high-LakeWoods-roam-no"
"Forest Loop","moto","43","0","5.460","194.123","2.860","0.957","True","completed","111.983","2.860","0","211","high-LakeWoods-roam-no"
"Forest Loop","moto","43","-4.7","4.560","158.677","2.320","-0.912","True","completed","0.000","0.000","0","126","high-LakeWoods-roam-no"
"Forest Loop","moto","43","1.7","5.140","176.225","2.960","-0.921","True","completed","0.000","0.000","0","157","high-LakeWoods-roam-no"
"Forest Loop","atv","43","-1.5","5.460","193.627","2.860","0.959","True","completed","111.533","2.860","0","207","high-LakeWoods-roam-no"
"Forest Loop","atv","43","-3","5.460","193.204","2.860","0.960","True","completed","111.336","2.860","0","187","high-LakeWoods-roam-no"
"Forest Loop","atv","43","0","5.460","193.257","2.860","0.960","True","completed","111.383","2.860","0","205","high-LakeWoods-roam-no"
"Forest Loop","atv","43","-4.7","5.100","177.340","2.760","-0.730","True","completed","105.925","2.760","0","109","high-LakeWoods-roam-no"
"Forest Loop","atv","43","1.7","4.940","172.939","2.540","-0.866","True","completed","98.987","2.540","0","118","high-LakeWoods-roam-no"
"Forest Loop","moto","43","-1.5","5.860","200.795","3.280","0.934","True","completed","120.340","3.280","0","75","high-LakeWoods-roam-yes"
"Forest Loop","moto","43","-3","5.880","201.844","3.300","0.933","True","completed","121.371","3.300","0","78","high-LakeWoods-roam-yes"
"Forest Loop","moto","43","0","5.860","200.686","3.280","0.934","True","completed","120.279","3.280","0","78","high-LakeWoods-roam-yes"
"Forest Loop","moto","43","-4.7","4.900","167.669","2.600","-0.607","True","completed","97.733","2.600","0","105","high-LakeWoods-roam-yes"
"Forest Loop","moto","43","1.7","5.080","176.413","2.660","0.261","True","completed","0.000","0.000","0","98","high-LakeWoods-roam-yes"
"Forest Loop","atv","43","-1.5","5.880","199.856","3.300","0.934","True","completed","119.551","3.300","0","75","high-LakeWoods-roam-yes"
"Forest Loop","atv","43","-3","5.880","199.672","3.300","0.934","True","completed","119.363","3.300","0","73","high-LakeWoods-roam-yes"
"Forest Loop","atv","43","0","5.900","200.366","3.320","0.934","True","completed","120.072","3.320","0","59","high-LakeWoods-roam-yes"
"Forest Loop","atv","43","-4.7","5.040","171.406","2.740","0.726","True","completed","102.005","2.740","0","73","high-LakeWoods-roam-yes"
"Forest Loop","atv","43","1.7","5.080","173.845","2.720","0.540","True","completed","101.939","2.720","0","95","high-LakeWoods-roam-yes"
"Street Loop","original","43","-1.5","5.438","191.248","2.820","0.964","True","completed","108.768","2.820","0","0","high-StreetLoopGreybox-race-no"
