"course","vehicle","speed","line","seconds","travel","air","minUp","recovered","outcome","scoredDistance","scoredAirtime","awards","contactCorrections","Matrix"
"Forest Loop Reverse","moto","24","1.7","10.200","150.287","2.120","-0.115","True","completed","0.000","0.000","0","137","ramp-ForestLoopReverse-roam-yes"
"Forest Loop Reverse","moto","36","-4.7","5.120","150.083","2.340","0.217","True","completed","75.437","2.340","0","103","ramp-ForestLoopReverse-roam-yes"
"Forest Loop Reverse","moto","36","1.7","5.200","153.595","2.460","0.169","True","completed","0.000","0.000","0","100","ramp-ForestLoopReverse-roam-yes"
"Forest Loop Reverse","atv","12","-4.7","14.460","150.230","2.660","0.420","True","completed","0.000","0.000","0","53","ramp-ForestLoopReverse-roam-yes"
"Forest Loop Reverse","atv","12","1.7","13.460","150.022","1.140","0.403","True","completed","0.000","0.000","0","71","ramp-ForestLoopReverse-roam-yes"
"Forest Loop Reverse","atv","24","1.7","7.220","150.022","1.960","0.332","True","completed","0.000","0.000","0","111","ramp-ForestLoopReverse-roam-yes"
"Forest Loop","moto","12","-4.7","14.460","150.107","0.840","0.151","True","completed","0.000","0.000","0","239","ramp-LakeWoods-roam-no"
"Forest Loop","moto","12","1.7","13.400","150.208","1.300","-0.136","True","completed","0.000","0.000","0","282","ramp-LakeWoods-roam-no"
"Forest Loop","moto","24","-4.7","9.440","150.065","2.000","-0.953","True","completed","0.000","0.000","0","153","ramp-LakeWoods-roam-no"
"Forest Loop","moto","36","-4.7","5.140","150.091","2.540","-0.887","True","completed","0.000","0.000","0","112","ramp-LakeWoods-roam-no"
"Forest Loop","moto","36","1.7","22.620","90.878","20.220","-1.000","True","stalled/crashed","0.000","0.000","0","117","ramp-LakeWoods-roam-no"
"Forest Loop","atv","12","-4.7","13.420","150.114","1.400","0.311","True","completed","0.000","0.000","0","182","ramp-LakeWoods-roam-no"
"Forest Loop","atv","12","1.7","13.440","150.167","1.480","0.331","True","completed","0.000","0.000","0","208","ramp-LakeWoods-roam-no"
"Forest Loop","atv","24","-4.7","7.640","150.275","2.100","-0.178","True","completed","0.000","0.000","0","120","ramp-LakeWoods-roam-no"
"Forest Loop","atv","24","1.7","7.320","150.292","2.160","-0.855","True","completed","0.000","0.000","0","105","ramp-LakeWoods-roam-no"
"Forest Loop","atv","36","-4.7","5.320","150.145","2.520","-0.344","True","completed","75.800","2.520","0","105","ramp-LakeWoods-roam-no"
"Forest Loop","atv","36","1.7","5.180","150.009","2.580","-0.727","True","completed","81.549","2.580","0","171","ramp-LakeWoods-roam-no"
"Forest Loop","moto","12","-4.7","14.480","150.186","2.100","0.165","True","completed","8.132","0.700","0","128","ramp-LakeWoods-roam-yes"
"Forest Loop","moto","12","1.7","16.560","150.134","2.460","-0.886","True","completed","0.000","0.000","0","198","ramp-LakeWoods-roam-yes"
"Forest Loop","moto","24","-4.7","7.020","150.006","1.340","0.228","True","completed","0.000","0.000","0","221","ramp-LakeWoods-roam-yes"
"Forest Loop","moto","24","1.7","10.200","150.271","2.120","-0.115","True","completed","0.000","0.000","0","139","ramp-LakeWoods-roam-yes"
"Forest Loop","moto","36","-4.7","5.120","150.083","2.340","0.217","True","completed","75.437","2.340","0","103","ramp-LakeWoods-roam-yes"
"Forest Loop","moto","36","1.7","5.580","165.705","2.680","-0.024","True","completed","0.000","0.000","0","114","ramp-LakeWoods-roam-yes"
"Forest Loop","atv","12","-4.7","22.640","93.290","1.700","0.486","True","stalled/crashed","0.000","0.000","0","50","ramp-LakeWoods-roam-yes"
"Forest Loop","atv","12","1.7","13.500","150.147","1.540","0.408","True","completed","0.000","0.000","0","269","ramp-LakeWoods-roam-yes"
"Forest Loop","atv","24","1.7","7.220","150.022","1.960","0.333","True","completed","0.000","0.000","0","111","ramp-LakeWoods-roam-yes"
"Street Loop","original","12","-4.7","13.399","150.149","1.140","0.327","True","completed","0.000","0.000","0","13","ramp-StreetLoopGreybox-race-no"
"Street Loop","original","12","1.7","13.361","150.216","1.140","0.361","True","completed","0.000","0.000","0","7","ramp-StreetLoopGreybox-race-no"
"Street Loop","original","24","-4.7","8.985","150.241","1.500","0.451","True","completed","0.000","0.000","0","15","ramp-StreetLoopGreybox-race-no"
"Street Loop","original","24","1.7","9.101","150.414","1.240","0.549","True","completed","0.000","0.000","0","9","ramp-StreetLoopGreybox-race-no"
"Street Loop","original","36","-4.7","5.086","150.187","1.820","0.523","True","completed","0.000","0.000","0","13","ramp-StreetLoopGreybox-race-no"
"Street Loop","original","36","1.7","5.255","150.213","1.920","0.317","True","completed","0.000","0.000","0","7","ramp-StreetLoopGreybox-race-no"
"Street Loop","tourer","12","-4.7","13.723","150.071","1.560","0.561","True","completed","0.000","0.000","0","32","ramp-StreetLoopGreybox-race-no"
"Street Loop","tourer","12","1.7","13.955","150.054","0.800","0.375","True","completed","0.000","0.000","0","14","ramp-StreetLoopGreybox-race-no"
"Street Loop","tourer","24","-4.7","7.150","150.039","1.240","0.534","True","completed","0.000","0.000","0","18","ramp-StreetLoopGreybox-race-no"
"Street Loop","tourer","24","1.7","9.060","150.425","1.420","0.577","True","completed","0.000","0.000","0","17","ramp-StreetLoopGreybox-race-no"
"Street Loop","tourer","36","0","5.438","162.725","2.460","0.964","True","cleared / unstable landing","80.659","2.460","0","0","ramp-StreetLoopGreybox-race-no"
"Street Loop","tourer","36","-4.7","7.482","150.315","1.020","0.381","True","completed","0.000","0.000","0","15","ramp-StreetLoopGreybox-race-no"
"Street Loop","tourer","36","1.7","5.120","150.399","2.080","0.387","True","completed","0.000","0.000","0","14","ramp-StreetLoopGreybox-race-no"
"Street Loop","moto","12","-4.7","13.627","150.168","1.880","0.105","True","completed","0.000","0.000","0","349","ramp-StreetLoopGreybox-race-no"
"Street Loop","moto","12","1.7","13.392","150.212","1.300","-0.136","True","completed","0.000","0.000","0","281","ramp-StreetLoopGreybox-race-no"
"Street Loop","moto","24","-4.7","9.426","150.109","2.000","-0.952","True","completed","0.000","0.000","0","152","ramp-StreetLoopGreybox-race-no"
"Street Loop","moto","36","-4.7","22.628","99.025","20.180","-1.000","True","stalled/crashed","0.000","0.000","0","118","ramp-StreetLoopGreybox-race-no"
"Street Loop","moto","36","1.7","8.290","150.468","2.640","-0.956","True","completed","0.000","0.000","0","115","ramp-StreetLoopGreybox-race-no"
"Street Loop","atv","12","-4.7","13.417","150.106","1.400","0.311","True","completed","0.000","0.000","0","201","ramp-StreetLoopGreybox-race-no"
"Street Loop","atv","12","1.7","13.559","150.037","1.520","0.245","True","completed","0.000","0.000","0","255","ramp-StreetLoopGreybox-race-no"
"Street Loop","atv","24","-4.7","7.256","150.464","1.580","0.274","True","completed","0.000","0.000","0","111","ramp-StreetLoopGreybox-race-no"
"Street Loop","atv","24","1.7","7.319","150.291","2.160","-0.855","True","completed","0.000","0.000","0","105","ramp-StreetLoopGreybox-race-no"
"Street Loop","atv","36","-4.7","5.311","150.124","2.520","-0.345","True","completed","75.785","2.520","0","106","ramp-StreetLoopGreybox-race-no"
"Street Loop","atv","36","1.7","5.141","152.705","2.360","-0.761","True","completed","76.672","2.360","0","122","ramp-StreetLoopGreybox-race-no"
"Street Loop","original","12","-4.7","13.400","150.149","1.140","0.327","True","completed","0.000","0.000","0","13","ramp-StreetLoopGreybox-roam-no"
"Street Loop","original","12","1.7","13.380","150.216","1.140","0.361","True","completed","0.000","0.000","0","7","ramp-StreetLoopGreybox-roam-no"
"Street Loop","original","24","-4.7","9.000","150.241","1.500","0.451","True","completed","0.000","0.000","0","15","ramp-StreetLoopGreybox-roam-no"
"Street Loop","original","24","1.7","9.120","150.414","1.240","0.549","True","completed","0.000","0.000","0","9","ramp-StreetLoopGreybox-roam-no"
"Street Loop","original","36","-4.7","5.100","150.187","1.820","0.523","True","completed","0.000","0.000","0","13","ramp-StreetLoopGreybox-roam-no"
"Street Loop","original","36","1.7","5.260","150.213","1.920","0.317","True","completed","0.000","0.000","0","7","ramp-StreetLoopGreybox-roam-no"
"Street Loop","tourer","12","-4.7","13.740","150.071","1.560","0.561","True","completed","0.000","0.000","0","32","ramp-StreetLoopGreybox-roam-no"
"Street Loop","tourer","12","1.7","13.960","150.054","0.800","0.375","True","completed","0.000","0.000","0","14","ramp-StreetLoopGreybox-roam-no"
"Street Loop","tourer","24","-4.7","7.160","150.039","1.240","0.534","True","completed","0.000","0.000","0","18","ramp-StreetLoopGreybox-roam-no"
"Street Loop","tourer","24","1.7","9.060","150.425","1.420","0.577","True","completed","0.000","0.000","0","17","ramp-StreetLoopGreybox-roam-no"
"Street Loop","tourer","36","0","5.440","162.725","2.460","0.964","True","cleared / unstable landing","80.659","2.460","0","0","ramp-StreetLoopGreybox-roam-no"
"Street Loop","tourer","36","-4.7","7.500","150.315","1.020","0.381","True","completed","0.000","0.000","0","15","ramp-StreetLoopGreybox-roam-no"
"Street Loop","tourer","36","1.7","5.120","150.399","2.080","0.387","True","completed","0.000","0.000","0","14","ramp-StreetLoopGreybox-roam-no"
"Street Loop","moto","12","-4.7","13.640","150.168","1.880","0.105","True","completed","0.000","0.000","0","349","ramp-StreetLoopGreybox-roam-no"
"Street Loop","moto","12","1.7","13.400","150.212","1.300","-0.136","True","completed","0.000","0.000","0","281","ramp-StreetLoopGreybox-roam-no"
"Street Loop","moto","24","-4.7","9.440","150.090","2.000","-0.953","True","completed","0.000","0.000","0","151","ramp-StreetLoopGreybox-roam-no"
"Street Loop","moto","36","-4.7","22.640","99.025","20.180","-1.000","True","stalled/crashed","0.000","0.000","0","118","ramp-StreetLoopGreybox-roam-no"
"Street Loop","moto","36","1.7","8.300","150.468","2.640","-0.956","True","completed","0.000","0.000","0","115","ramp-StreetLoopGreybox-roam-no"
"Street Loop","atv","12","-4.7","13.420","150.106","1.400","0.311","True","completed","0.000","0.000","0","201","ramp-StreetLoopGreybox-roam-no"
"Street Loop","atv","12","1.7","13.560","150.037","1.520","0.245","True","completed","0.000","0.000","0","255","ramp-StreetLoopGreybox-roam-no"
"Street Loop","atv","24","-4.7","7.260","150.464","1.580","0.274","True","completed","0.000","0.000","0","111","ramp-StreetLoopGreybox-roam-no"
"Street Loop","atv","24","1.7","7.320","150.291","2.160","-0.855","True","completed","0.000","0.000","0","105","ramp-StreetLoopGreybox-roam-no"
"Street Loop","atv","36","-4.7","5.320","150.124","2.520","-0.345","True","completed","75.785","2.520","0","106","ramp-StreetLoopGreybox-roam-no"
"Street Loop","atv","36","1.7","5.160","152.705","2.360","-0.761","True","completed","76.672","2.360","0","122","ramp-StreetLoopGreybox-roam-no"
"Street Loop","original","12","-4.7","13.500","150.166","1.320","0.491","True","completed","0.000","0.000","0","8","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","original","12","1.7","13.520","150.061","1.400","0.348","True","completed","0.000","0.000","0","10","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","original","24","1.7","7.540","150.014","1.780","0.596","True","completed","0.000","0.000","0","11","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","original","36","-4.7","5.500","158.385","2.600","0.329","True","completed","0.000","0.000","0","14","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","original","36","1.7","5.440","157.820","2.500","0.359","True","completed","0.000","0.000","0","10","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","tourer","12","-4.7","13.580","150.122","1.440","0.428","True","completed","0.000","0.000","0","18","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","tourer","12","1.7","13.520","150.182","1.140","0.361","True","completed","0.000","0.000","0","8","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","tourer","24","1.7","7.260","150.252","1.920","0.416","True","completed","0.000","0.000","0","7","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","tourer","36","1.7","5.480","158.685","2.620","0.464","True","completed","0.000","0.000","0","10","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","moto","12","-4.7","22.620","102.237","16.020","-0.678","True","stalled/crashed","0.000","0.000","0","113","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","moto","12","1.7","13.620","150.194","1.460","0.084","True","completed","0.000","0.000","0","337","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","moto","24","-4.7","7.020","150.006","1.340","0.228","True","completed","0.000","0.000","0","218","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","moto","24","1.7","10.200","150.286","2.120","-0.115","True","completed","0.000","0.000","0","137","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","moto","36","-4.7","5.260","155.010","2.520","0.198","True","completed","0.000","0.000","0","114","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","moto","36","1.7","5.200","153.599","2.460","0.160","True","completed","0.000","0.000","0","99","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","atv","12","-4.7","13.720","150.222","1.620","0.446","True","completed","0.000","0.000","0","118","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","atv","12","1.7","13.480","150.027","1.240","0.417","True","completed","0.000","0.000","0","68","ramp-StreetLoopGreybox-roam-yes"
"Street Loop","atv","24","1.7","7.220","150.022","1.960","0.333","True","completed","0.000","0.000","0","111","ramp-StreetLoopGreybox-roam-yes"
