lap-seam,False,0,False,(-1.00, 0.00, -0.01)
lap-seam,True,5.979995,True,(0.03, 0.00, 1.00)
ordinary,False,0,False,(-1.00, 0.00, 0.00)
ordinary,True,5.979995,True,(-0.98, 0.00, -0.19)
bounded-reacquisition,False,0,False,(-1.00, 0.00, 0.00)
bounded-reacquisition,True,5.479995,True,(-0.98, 0.00, -0.19)
hairpin,False,0,False,(0.62, 0.00, 0.79)
hairpin,True,5.979995,True,(0.56, 0.00, -0.83)
Granite Creek Cut,False,0,False,(-0.71, 0.00, -0.71)
Granite Creek Cut,True,5.979995,True,(-0.31, 0.00, -0.95)
Laurel Switchbacks,False,0,False,(0.28, 0.00, 0.96)
Laurel Switchbacks,True,5.979995,True,(0.92, 0.00, 0.39)
