time,speed,grounded,timer,visible
0.000,0.000,0,0.000,False
0.008,0.000,0,0.000,False
0.017,0.288,2,0.000,False
0.030,0.290,2,0.000,False
0.039,0.575,2,0.000,False
0.047,0.576,2,0.000,False
0.056,0.856,4,0.000,False
0.064,0.858,4,0.000,False
0.072,1.134,4,0.000,False
0.081,1.135,4,0.000,False
0.089,1.136,4,0.000,False
0.097,1.408,4,0.000,False
0.106,1.408,4,0.000,False
0.114,1.676,4,0.000,False
0.122,1.676,4,0.000,False
0.131,1.677,4,0.000,False
0.139,1.940,4,0.000,False
0.148,1.941,4,0.000,False
0.156,2.200,4,0.000,False
0.164,2.200,4,0.000,False
0.173,2.457,4,0.000,False
0.181,2.457,4,0.000,False
0.189,2.457,4,0.000,False
0.198,2.710,4,0.000,False
0.206,2.710,4,0.000,False
0.214,2.960,4,0.000,False
0.223,2.960,4,0.000,False
0.231,2.960,4,0.000,False
0.240,3.208,4,0.000,False
0.248,3.208,4,0.000,False
0.257,3.453,4,0.000,False
0.265,3.453,4,0.000,False
0.273,3.696,4,0.000,False
0.282,3.696,4,0.000,False
0.290,3.696,4,0.000,False
0.298,3.937,4,0.000,False
0.307,3.937,4,0.000,False
0.315,4.176,4,0.000,False
0.323,4.176,4,0.000,False
0.332,4.413,4,0.000,False
0.341,4.413,4,0.000,False
0.349,4.413,4,0.000,False
0.357,4.649,4,0.000,False
0.366,4.649,4,0.000,False
0.374,4.882,4,0.020,False
0.383,4.882,4,0.020,False
0.391,4.882,4,0.020,False
0.399,5.114,4,0.040,False
0.408,5.114,4,0.040,False
0.416,5.345,4,0.060,False
0.424,5.345,4,0.060,False
0.433,5.574,4,0.080,False
0.441,5.574,4,0.080,False
0.449,5.574,4,0.080,False
0.458,5.801,4,0.100,False
0.466,5.801,4,0.100,False
0.474,6.027,4,0.120,False
0.483,6.027,4,0.120,False
0.491,6.027,4,0.120,False
0.499,6.251,4,0.140,False
0.508,6.251,4,0.140,False
0.516,6.474,4,0.160,False
0.524,6.474,4,0.160,False
0.533,6.695,4,0.180,False
0.541,6.695,4,0.180,False
0.550,6.695,4,0.180,False
0.558,6.915,4,0.200,False
0.566,6.915,4,0.200,False
0.575,7.133,4,0.220,False
0.583,7.133,4,0.220,False
0.591,7.133,4,0.220,False
0.600,7.350,4,0.240,False
0.608,7.350,4,0.240,False
0.616,7.565,4,0.260,False
0.625,7.565,4,0.260,False
0.633,7.779,4,0.280,False
0.641,7.779,4,0.280,False
0.650,7.779,4,0.280,False
0.658,7.991,4,0.300,False
0.666,7.991,4,0.300,False
0.675,8.202,4,0.320,False
0.683,8.202,4,0.320,False
0.691,8.202,4,0.320,False
0.700,8.411,4,0.340,False
0.708,8.411,4,0.340,False
0.716,8.619,4,0.360,False
0.725,8.619,4,0.360,False
0.733,8.826,4,0.380,False
0.741,8.826,4,0.380,False
0.750,8.826,4,0.380,False
0.758,9.031,4,0.400,False
0.766,9.031,4,0.400,False
0.775,9.234,4,0.420,False
0.783,9.234,4,0.420,False
0.791,9.234,4,0.420,False
0.800,9.436,4,0.440,False
0.808,9.436,4,0.440,False
0.816,9.637,4,0.460,False
0.825,9.637,4,0.460,False
0.833,9.836,4,0.480,False
0.841,9.836,4,0.480,False
0.850,9.836,4,0.480,False
0.858,10.034,4,0.500,False
0.866,10.034,4,0.500,False
0.875,10.230,4,0.520,False
0.883,10.230,4,0.520,False
0.891,10.230,4,0.520,False
0.900,10.425,4,0.540,False
0.908,10.425,4,0.540,False
0.916,10.619,4,0.560,False
0.925,10.619,4,0.560,False
0.933,10.811,4,0.580,False
0.942,10.811,4,0.580,False
0.950,10.811,4,0.580,False
0.958,11.001,4,0.600,False
0.967,11.001,4,0.600,False
0.975,11.191,4,0.620,False
0.983,11.191,4,0.620,False
0.992,11.191,4,0.620,False
1.000,11.378,4,0.640,False
1.008,11.378,4,0.640,False
1.017,11.565,4,0.660,False
1.025,11.565,4,0.660,False
1.033,11.750,4,0.680,False
1.042,11.750,4,0.680,False
1.050,11.750,4,0.680,False
1.058,11.933,4,0.700,False
1.067,11.933,4,0.700,False
1.075,12.116,4,0.720,False
1.083,12.116,4,0.720,False
1.092,12.116,4,0.720,False
1.100,12.297,4,0.740,False
1.108,12.297,4,0.740,False
1.117,12.476,4,0.760,False
1.125,12.476,4,0.760,False
1.133,12.654,4,0.780,False
1.142,12.654,4,0.780,False
1.150,12.654,4,0.780,False
1.158,12.831,4,0.800,False
1.167,12.831,4,0.800,False
1.175,13.006,4,0.820,False
1.183,13.006,4,0.820,False
1.192,13.006,4,0.820,False
1.200,13.180,4,0.840,False
1.211,13.180,4,0.840,False
1.219,13.353,4,0.860,False
1.228,13.353,4,0.860,False
1.236,13.524,4,0.880,False
1.244,13.524,4,0.880,False
1.253,13.693,4,0.900,False
1.261,13.694,4,0.900,False
1.269,13.694,4,0.900,False
1.278,13.862,4,0.920,False
1.286,13.862,4,0.920,False
1.294,14.029,4,0.940,False
1.303,14.029,4,0.940,False
1.311,14.029,4,0.940,False
1.319,14.195,4,0.960,False
1.328,14.195,4,0.960,False
1.336,14.359,4,0.980,False
1.344,14.359,4,0.980,False
1.353,14.522,4,1.000,False
1.361,14.522,4,1.000,False
1.369,14.522,4,1.000,False
1.378,14.684,4,1.020,False
1.386,14.684,4,1.020,False
1.395,14.844,4,1.040,False
1.407,14.844,4,1.040,False
1.415,15.003,4,1.060,False
1.424,15.003,4,1.060,False
1.432,15.003,4,1.060,False
1.440,15.161,4,1.080,False
1.449,15.161,4,1.080,False
1.457,15.317,4,1.100,False
1.465,15.317,4,1.100,False
1.474,15.472,4,1.120,False
1.482,15.472,4,1.120,False
1.490,15.472,4,1.120,False
1.499,15.626,4,1.140,False
1.507,15.626,4,1.140,False
1.515,15.779,4,1.160,False
1.524,15.779,4,1.160,False
1.532,15.930,4,1.180,False
1.540,15.930,4,1.180,False
1.549,15.930,4,1.180,False
1.557,16.080,4,1.200,False
1.565,16.080,4,1.200,False
1.574,16.228,4,1.220,False
1.582,16.228,4,1.220,False
1.591,16.228,4,1.220,False
1.599,16.376,4,1.240,False
1.607,16.376,4,1.240,False
1.616,16.522,4,1.260,False
1.624,16.522,4,1.260,False
1.632,16.666,4,1.280,False
1.641,16.666,4,1.280,False
1.649,16.667,4,1.280,False
1.657,16.810,4,1.300,False
1.666,16.810,4,1.300,False
1.674,16.952,4,1.320,False
1.682,16.952,4,1.320,False
1.691,16.952,4,1.320,False
1.699,17.093,4,1.340,False
1.707,17.093,4,1.340,False
1.716,17.233,4,1.360,False
1.724,17.233,4,1.360,False
1.733,17.371,4,1.380,False
1.741,17.371,4,1.380,False
1.749,17.372,4,1.380,False
1.758,17.509,4,1.400,False
1.766,17.509,4,1.400,False
1.776,17.645,4,1.420,False
1.784,17.645,4,1.420,False
1.792,17.779,4,1.440,False
1.801,17.780,4,1.440,False
1.809,17.780,4,1.440,False
1.817,17.913,4,1.460,False
1.826,17.913,4,1.460,False
1.834,18.045,4,1.480,False
1.842,18.046,4,1.480,False
1.851,18.046,4,1.480,False
1.859,18.177,4,1.500,False
1.867,18.177,4,1.500,False
1.876,18.306,4,1.520,False
1.884,18.307,4,1.520,False
1.892,18.435,4,1.540,False
1.901,18.435,4,1.540,False
1.909,18.435,4,1.540,False
1.917,18.563,4,1.560,False
1.926,18.563,4,1.560,False
1.934,18.689,4,1.580,False
1.942,18.689,4,1.580,False
1.951,18.689,4,1.580,False
1.959,18.814,4,1.600,False
1.967,18.814,4,1.600,False
1.976,18.938,4,1.620,False
1.984,18.938,4,1.620,False
1.992,19.060,4,1.640,False
2.001,19.061,4,1.640,False
2.009,19.061,4,1.640,False
2.017,19.182,4,1.660,False
2.026,19.182,4,1.660,False
2.034,19.302,4,1.680,False
2.042,19.303,4,1.680,False
2.051,19.303,4,1.680,False
2.059,19.422,4,1.700,False
2.067,19.422,4,1.700,False
2.076,19.540,4,1.720,False
2.084,19.540,4,1.720,False
2.092,19.657,4,1.740,False
2.101,19.657,4,1.740,False
2.109,19.657,4,1.740,False
2.117,19.773,4,1.760,False
2.126,19.773,4,1.760,False
2.134,19.887,4,1.780,False
2.142,19.887,4,1.780,False
2.151,19.888,4,1.780,False
2.161,20.001,4,1.800,False
2.170,20.001,4,1.800,False
2.178,20.113,4,1.820,False
2.186,20.113,4,1.820,False
2.195,20.224,4,1.840,False
2.207,20.225,4,1.840,False
2.215,20.335,4,1.860,False
2.224,20.335,4,1.860,False
2.232,20.444,4,1.880,False
2.240,20.444,4,1.880,False
2.249,20.444,4,1.880,False
2.257,20.552,4,1.900,False
2.265,20.552,4,1.900,False
2.274,20.658,4,1.920,False
2.282,20.659,4,1.920,False
2.290,20.659,4,1.920,False
2.299,20.764,4,1.940,False
2.307,20.765,4,1.940,False
2.316,20.869,4,1.960,False
2.324,20.869,4,1.960,False
2.333,20.972,4,1.980,False
2.341,20.973,4,1.980,False
2.350,20.973,4,1.980,False
2.358,21.075,4,2.000,False
2.384,21.177,4,2.020,False
2.392,21.277,4,2.040,False
2.400,21.277,4,2.040,False
2.410,21.277,4,2.040,False
