lap-seam,False,0,False,(-0.04, 0.00, -1.00)
lap-seam,True,3.479997,True,(0.99, 0.00, -0.15)
ordinary,False,0,False,(0.34, 0.00, -0.94)
ordinary,True,3.479997,True,(0.10, 0.00, -0.99)
hairpin,False,0,False,(-0.48, 0.00, 0.88)
hairpin,True,3.479997,True,(-0.89, 0.00, -0.46)
Creek Leap,False,0,False,(-1.00, 0.00, -0.07)
Creek Leap,True,3.479997,True,(-0.85, 0.00, -0.53)
Fox Gully,False,0,False,(-0.49, 0.00, -0.87)
Fox Gully,True,3.479997,True,(-0.55, 0.00, -0.84)
Pine Ridge,False,0,False,(-0.70, 0.00, 0.71)
Pine Ridge,True,3.479997,True,(-0.78, 0.00, 0.63)
Existing Southwest Cut,False,0,False,(-0.24, 0.00, 0.97)
Existing Southwest Cut,True,3.479997,True,(-0.57, 0.00, 0.82)
