vehicle,speed,line,launchX,launchY,launchZ,launchSpeed,crestX,crestY,crestZ,crestGround,crestClearance,landingX,landingY,landingZ,landingSpeed,longestFlight,peakY
original,24,0,968.698,180.293,190.000,22.276,944.585,189.228,190.000,157.161,31.562,899.645,154.353,190.000,16.874,4.040,189.230
original,24,-6,968.699,180.293,184.000,22.276,944.585,189.228,184.000,157.161,31.562,899.645,154.353,184.000,16.874,4.040,189.230
original,24,6,968.698,180.293,196.000,22.276,944.585,189.228,196.000,157.161,31.562,899.644,154.353,196.000,16.874,4.040,189.230
original,24,-11.075,968.698,180.293,178.925,22.276,944.585,189.228,178.925,157.161,31.562,899.645,154.353,178.925,16.874,4.040,189.230
original,24,11.075,968.699,180.293,201.075,22.276,944.585,189.228,201.075,157.161,31.562,899.645,154.353,201.075,16.875,4.040,189.230
original,32,0,968.435,180.424,190.000,29.650,944.493,193.570,189.998,157.091,36.145,859.442,151.751,189.994,23.789,4.860,196.559
original,32,-6,968.435,180.424,184.000,29.650,944.493,193.569,183.996,157.091,36.145,859.364,151.647,183.985,21.056,4.860,196.558
original,32,6,968.435,180.424,195.999,29.650,944.494,193.570,195.996,157.092,36.144,860.177,153.333,195.939,25.147,4.820,196.559
original,32,-11.075,968.437,180.423,178.926,29.650,944.497,193.570,178.924,157.094,36.142,858.940,151.640,178.910,21.048,4.880,196.560
original,32,11.075,968.435,180.424,201.075,29.650,944.494,193.570,201.072,157.092,36.145,860.766,153.529,201.064,25.068,4.800,196.559
original,40,0,968.169,180.581,190.002,35.770,944.052,195.854,190.007,156.753,38.564,822.043,153.078,190.028,26.100,5.500,204.744
original,40,-6,968.151,180.595,184.002,35.787,944.024,195.877,184.008,156.731,38.609,821.902,153.076,184.036,25.803,5.500,204.782
original,40,6,968.174,180.576,196.002,35.768,944.058,195.847,196.003,156.758,38.552,822.071,153.079,196.010,25.752,5.500,204.734
original,40,-11.075,968.153,180.594,178.928,35.787,944.026,195.876,178.931,156.733,38.606,821.905,153.077,178.949,25.766,5.500,204.780
original,40,11.075,968.170,180.579,201.077,35.771,944.053,195.852,201.083,156.753,38.562,822.043,153.079,201.113,25.755,5.500,204.742
tourer,24,0,968.398,180.504,190.000,22.223,944.383,189.044,190.000,157.007,31.084,899.262,154.272,190.000,17.119,4.000,189.048
tourer,24,-6,968.398,180.504,184.000,22.223,944.383,189.044,184.000,157.007,31.084,899.262,154.272,184.000,17.119,4.000,189.048
tourer,24,6,968.398,180.504,196.000,22.223,944.383,189.044,196.000,157.007,31.084,899.262,154.272,196.000,17.119,4.000,189.048
tourer,24,-11,968.398,180.504,179.000,22.223,944.383,189.044,179.000,157.007,31.084,899.262,154.272,179.000,17.119,4.000,189.048
tourer,24,11,968.398,180.504,201.000,22.223,944.383,189.044,201.000,157.007,31.084,899.262,154.272,201.000,17.119,4.000,189.048
tourer,32,0,968.508,180.378,190.004,29.686,944.502,193.563,190.005,157.098,35.836,858.994,151.855,190.006,21.059,4.880,196.586
tourer,32,-6,968.507,180.379,184.003,29.686,944.500,193.565,184.005,157.096,35.839,858.952,151.803,184.006,21.060,4.880,196.588
tourer,32,6,968.502,180.367,196.004,29.687,944.412,193.446,196.005,157.029,35.790,855.358,152.305,195.439,26.041,5.000,196.391
tourer,32,-11,968.507,180.379,179.000,29.686,944.500,193.565,179.000,157.096,35.839,858.981,151.803,179.070,19.290,4.880,196.589
tourer,32,11,968.502,180.367,201.004,29.687,944.413,193.446,201.005,157.030,35.789,860.562,153.428,201.011,25.612,4.800,196.390
tourer,40,0,968.221,180.538,189.994,35.910,943.915,195.840,190.008,156.663,38.772,821.210,153.097,190.077,26.273,5.500,204.773
tourer,40,-6,968.203,180.553,183.995,35.929,943.891,195.873,184.008,156.649,38.821,821.050,153.100,184.072,25.963,5.500,204.836
tourer,40,6,968.236,180.525,195.997,35.895,943.940,195.818,196.005,156.677,38.737,821.344,153.105,196.046,25.908,5.500,204.739
tourer,40,-11,968.224,180.536,179.000,35.910,943.923,195.844,179.008,156.667,38.773,821.218,153.103,179.044,25.912,5.500,204.787
tourer,40,11,968.246,180.517,200.997,35.884,943.958,195.805,201.005,156.688,38.713,821.434,153.107,201.045,25.901,5.500,204.718
moto,24,0,968.991,179.881,190.001,22.751,944.352,189.542,189.994,156.983,32.153,897.747,154.267,189.982,17.169,4.120,189.542
moto,24,-6,968.991,179.881,183.998,22.751,944.352,189.542,184.003,156.983,32.153,897.747,154.267,184.011,17.169,4.120,189.542
moto,24,6,968.992,179.880,196.002,22.751,944.353,189.541,195.999,156.983,32.151,897.748,154.267,195.993,17.169,4.120,189.541
moto,24,-11.675,968.991,179.881,178.324,22.751,944.352,189.542,178.332,156.983,32.153,897.747,154.267,178.345,17.170,4.120,189.542
moto,24,11.675,968.989,179.883,201.676,22.751,944.350,189.544,201.670,156.981,32.157,897.746,154.267,201.657,17.169,4.120,189.545
moto,32,0,968.661,180.084,189.993,30.461,944.377,194.004,190.006,157.002,36.484,855.088,151.813,190.047,21.357,4.980,197.619
moto,32,-6,968.660,180.084,184.001,30.461,944.378,194.007,184.008,157.003,36.485,855.098,151.769,184.030,21.258,4.980,197.623
moto,32,6,968.659,180.084,195.997,30.461,944.376,194.005,196.006,157.001,36.486,855.042,151.883,196.037,23.202,4.980,197.621
moto,32,-11.675,968.656,180.086,178.323,30.461,944.368,194.001,178.316,156.995,36.485,855.144,151.893,178.396,18.535,4.980,197.611
moto,32,11.675,968.661,180.097,201.676,30.457,944.451,194.110,201.669,157.059,36.538,854.954,151.876,201.645,23.175,5.000,197.800
moto,40,0,968.728,180.018,189.977,37.971,943.849,196.189,189.972,156.623,38.927,807.730,152.927,189.966,27.343,5.720,207.323
moto,40,-6,968.725,180.020,184.015,37.971,943.848,196.194,184.021,156.623,38.931,807.752,152.979,184.062,26.668,5.720,207.331
moto,40,6,968.726,180.020,195.980,37.971,943.847,196.193,195.974,156.623,38.931,807.185,152.691,195.966,27.545,5.740,207.329
moto,40,-11.675,968.715,180.028,178.335,37.971,943.832,196.194,178.339,156.614,38.938,807.691,152.948,178.365,26.994,5.720,207.319
moto,40,11.675,968.730,180.016,201.669,37.972,943.846,196.183,201.666,156.622,38.921,807.150,152.515,201.651,27.817,5.740,207.309
atv,24,0,969.145,179.773,189.999,22.627,944.325,189.420,190.003,156.962,31.958,898.503,154.201,190.012,16.978,4.120,189.420
atv,24,-6,969.145,179.773,183.999,22.627,944.325,189.420,183.993,156.962,31.958,898.503,154.201,183.980,16.978,4.120,189.420
atv,24,6,969.146,179.773,196.000,22.627,944.325,189.419,195.995,156.963,31.957,898.506,154.201,195.985,16.919,4.120,189.419
atv,24,-11.275,969.144,179.774,178.725,22.627,944.324,189.420,178.720,156.962,31.959,898.502,154.201,178.710,17.006,4.120,189.420
atv,24,11.275,969.145,179.773,201.275,22.627,944.325,189.419,201.267,156.962,31.957,898.507,154.203,201.254,16.876,4.120,189.419
atv,32,0,968.794,179.949,190.002,30.278,944.101,193.902,190.000,156.790,36.748,856.212,151.711,189.986,21.359,4.960,197.243
atv,32,-6,968.793,179.949,184.002,30.278,944.100,193.902,184.004,156.790,36.748,856.209,151.662,184.004,21.377,4.960,197.242
atv,32,6,968.796,179.948,196.001,30.278,944.102,193.901,196.007,156.792,36.745,856.067,151.891,195.955,24.799,4.960,197.242
atv,32,-11.275,968.791,179.951,178.727,30.278,944.098,193.905,178.727,156.788,36.752,856.250,151.704,178.799,19.543,4.960,197.246
atv,32,11.275,968.795,179.948,201.277,30.278,944.102,193.901,201.280,156.791,36.745,856.586,151.980,201.289,24.277,4.940,197.241
atv,40,0,968.298,180.262,190.002,37.577,943.983,195.723,189.992,156.703,38.711,809.792,152.919,189.941,27.099,5.640,206.416
atv,40,-6,968.300,180.261,183.996,37.576,943.986,195.721,184.005,156.705,38.707,809.810,152.925,184.053,26.724,5.640,206.414
atv,40,6,968.301,180.261,195.998,37.576,943.987,195.723,196.001,156.706,38.707,809.259,152.669,196.051,27.502,5.660,206.418
atv,40,-11.275,968.292,180.267,178.723,37.580,943.975,195.727,178.732,156.698,38.721,809.773,152.924,178.778,27.029,5.640,206.419
atv,40,11.275,968.301,180.262,201.275,37.576,943.986,195.722,201.281,156.705,38.707,809.235,152.528,201.316,28.341,5.660,206.414
