course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards
Forest Loop,moto,12,-1.5,13.780,150.200,1.520,0.911,True,completed,14.659,1.300,0
Forest Loop,moto,12,-3,13.520,150.107,1.280,0.932,True,completed,14.527,1.280,0
Forest Loop,moto,12,0,13.460,150.052,1.360,0.888,True,completed,15.290,1.360,0
Forest Loop,moto,12,-4.7,14.440,150.107,0.840,0.151,True,completed,0.000,0.000,0
Forest Loop,moto,12,1.7,13.380,150.208,1.300,-0.136,True,completed,0.000,0.000,0
Forest Loop,moto,24,-1.5,7.780,150.019,2.020,0.943,True,completed,44.889,2.020,0
Forest Loop,moto,24,-3,7.440,150.206,2.060,0.933,True,completed,45.568,2.060,0
Forest Loop,moto,24,0,8.440,150.169,2.020,0.944,True,completed,44.856,2.020,0
Forest Loop,moto,24,-4.7,9.420,150.065,2.000,-0.953,True,completed,0.000,0.000,0
Forest Loop,moto,24,1.7,7.340,150.289,2.460,0.792,True,completed,13.814,0.400,0
Forest Loop,moto,36,-1.5,5.480,165.714,2.540,0.958,True,completed,84.004,2.540,0
Forest Loop,moto,36,-3,5.480,165.710,2.540,0.958,True,completed,84.001,2.540,0
Forest Loop,moto,36,0,5.480,165.720,2.540,0.958,True,completed,84.005,2.540,0
Forest Loop,moto,36,-4.7,5.200,150.182,2.400,-0.887,True,completed,0.000,0.000,0
Forest Loop,moto,36,1.7,22.620,90.878,20.240,-1.000,True,stalled/crashed,0.000,0.000,0
Forest Loop,atv,12,-1.5,13.680,150.114,1.380,0.935,True,completed,14.241,1.260,0
Forest Loop,atv,12,-3,13.540,150.091,1.460,0.907,True,completed,14.863,1.320,0
Forest Loop,atv,12,0,13.580,150.213,1.280,0.924,True,completed,14.417,1.280,0
Forest Loop,atv,12,-4.7,13.400,150.114,1.400,0.311,True,completed,0.000,0.000,0
Forest Loop,atv,12,1.7,13.420,150.167,1.480,0.331,True,completed,0.000,0.000,0
Forest Loop,atv,24,-1.5,8.500,150.324,2.040,0.937,True,completed,45.054,2.040,0
Forest Loop,atv,24,-3,8.480,150.315,2.040,0.937,True,completed,45.037,2.040,0
Forest Loop,atv,24,0,7.260,150.254,2.040,0.937,True,completed,45.039,2.040,0
Forest Loop,atv,24,-4.7,7.620,150.270,2.100,-0.178,True,completed,0.000,0.000,0
Forest Loop,atv,24,1.7,7.300,150.292,2.160,-0.855,True,completed,0.000,0.000,0
Forest Loop,atv,36,-1.5,5.480,165.216,2.540,0.961,True,completed,83.658,2.540,0
Forest Loop,atv,36,-3,5.480,165.221,2.540,0.962,True,completed,83.660,2.540,0
Forest Loop,atv,36,0,5.480,165.215,2.540,0.961,True,completed,83.658,2.540,0
Forest Loop,atv,36,-4.7,5.300,150.145,2.520,-0.344,True,completed,75.800,2.520,0
Forest Loop,atv,36,1.7,5.160,150.009,2.580,-0.727,True,completed,81.549,2.580,0
