t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.140,829.719,100.812,-120.841,23.477,20.360,0.745,11.699,0.000,0.000,-0.170,2,14.167,4.527,0.997,"Ground_Mountain_0_1:(-0.171, 0.978, -0.116);Ground_Mountain_0_1:(-0.171, 0.978, -0.116);Ground_Mountain_0_1:(-0.171, 0.978, -0.116);"
0.040,148.570,830.111,100.835,-120.617,23.317,20.259,1.080,11.597,0.262,0.000,-0.176,2,7.679,7.418,0.994,"Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);"
0.060,149.016,830.507,100.865,-120.393,23.279,20.226,1.492,11.573,0.341,0.000,-0.182,4,27.924,7.915,0.990,"Ground_Mountain_0_1:(-0.165, 0.979, -0.116);Ground_Mountain_0_1:(-0.165, 0.979, -0.116);Ground_Mountain_0_1:(-0.165, 0.979, -0.116);Ground_Mountain_0_1:(-0.165, 0.979, -0.116);Ground_Mountain_0_1:(-0.165, 0.979, -0.116);"
0.080,149.467,830.903,100.906,-120.168,23.229,20.150,2.087,11.507,0.361,0.000,-0.189,4,33.895,5.867,0.986,"Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);"
0.100,149.921,831.299,100.959,-119.943,23.201,20.060,2.697,11.450,0.385,0.000,-0.195,4,36.470,4.884,0.983,"Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);"
0.120,150.373,831.695,101.024,-119.717,23.189,19.959,3.299,11.409,0.400,0.000,-0.199,4,37.664,3.931,0.980,"Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);"
0.140,150.831,832.087,101.109,-119.491,23.109,19.707,4.269,11.300,0.406,0.000,-0.202,4,37.924,3.010,0.979,"Ground_Mountain_0_1:(-0.164, 0.979, -0.117);Ground_Mountain_0_1:(-0.164, 0.979, -0.117);Ground_Mountain_0_1:(-0.164, 0.979, -0.117);Ground_Mountain_0_1:(-0.164, 0.979, -0.117);Ground_Mountain_0_1:(-0.164, 0.979, -0.117);Ground_Mountain_0_1:(-0.164, 0.979, -0.117);"
0.160,151.290,832.478,101.203,-119.264,23.123,19.617,4.714,11.306,0.446,0.000,-0.206,4,31.625,1.460,0.979,"Ground_Mountain_0_1:(-0.166, 0.978, -0.122);Ground_Mountain_0_1:(-0.166, 0.978, -0.122);Ground_Mountain_0_1:(-0.166, 0.978, -0.122);Ground_Mountain_0_1:(-0.166, 0.978, -0.122);Ground_Mountain_0_1:(-0.166, 0.978, -0.122);Ground_Mountain_0_1:(-0.166, 0.978, -0.122);"
0.180,151.742,832.867,101.305,-119.037,23.137,19.531,5.089,11.330,0.438,0.000,-0.209,4,28.517,1.112,0.979,"Ground_Mountain_0_1:(-0.165, 0.979, -0.121);Ground_Mountain_0_1:(-0.165, 0.979, -0.121);Ground_Mountain_0_1:(-0.165, 0.979, -0.121);Ground_Mountain_0_1:(-0.165, 0.979, -0.121);Ground_Mountain_0_1:(-0.165, 0.979, -0.121);Ground_Mountain_0_1:(-0.165, 0.979, -0.121);"
0.200,152.202,833.256,101.413,-118.809,23.149,19.448,5.399,11.372,0.431,0.000,-0.211,4,25.243,0.868,0.979,"Ground_Mountain_0_1:(-0.164, 0.979, -0.119);Ground_Mountain_0_1:(-0.164, 0.979, -0.119);Ground_Mountain_0_1:(-0.164, 0.979, -0.119);Ground_Mountain_0_1:(-0.164, 0.979, -0.119);Ground_Mountain_0_1:(-0.164, 0.979, -0.119);Ground_Mountain_0_1:(-0.164, 0.979, -0.119);"
