time,station,active,visible,sightings,calls
3.12,6.4,5,0,0,0
4.12,12.1,5,0,0,0
5.14,27.3,5,0,0,0
6.14,49.3,5,0,0,0
7.14,76.0,5,0,0,0
8.14,105.9,5,0,0,0
9.14,137.2,5,0,0,0
10.14,168.5,5,0,0,0
11.16,199.8,5,0,0,0
12.16,231.3,5,0,0,0
13.16,262.8,5,0,0,0
14.16,294.6,5,0,0,0
15.18,327.6,5,0,0,0
16.18,359.3,5,0,0,0
17.18,386.0,6,0,0,0
18.18,415.8,7,0,0,0
19.18,446.9,7,0,0,0
20.18,478.1,7,0,0,0
21.18,508.8,8,0,0,1
22.18,538.8,8,0,0,1
23.20,570.3,8,0,0,1
24.20,602.3,8,0,0,1
25.20,633.9,7,0,0,1
26.20,666.6,7,0,0,1
27.20,701.6,7,0,0,1
28.20,738.1,7,0,0,1
29.20,769.1,7,0,0,1
30.20,800.9,7,0,0,1
31.22,832.8,7,0,0,1
32.22,864.6,7,0,0,1
33.22,896.4,7,0,0,1
34.22,925.0,7,0,0,1
35.22,958.5,7,0,0,1
36.22,995.5,7,0,0,1
37.22,1034.6,7,0,0,1
38.22,1074.9,7,0,0,1
39.22,1110.2,7,0,0,1
40.22,1143.3,7,1,1,1
41.24,1172.1,7,2,1,2
42.24,1195.0,7,2,1,2
43.24,1212.6,7,0,1,2
44.24,1229.8,7,0,1,2
45.24,1252.2,7,0,1,2
46.24,1279.8,7,0,1,2
47.26,1311.6,6,0,1,2
48.26,1344.8,6,0,1,2
49.26,1370.7,6,1,1,2
50.26,1398.8,6,1,2,2
51.26,1421.6,6,1,2,2
52.28,1445.7,6,2,2,3
53.28,1465.0,6,0,2,3
54.28,1489.1,6,0,2,3
55.28,1519.6,6,0,2,3
56.28,1551.4,6,0,2,3
57.28,1583.0,6,0,2,3
58.28,1613.7,6,0,2,3
59.28,1645.6,6,1,3,3
60.30,1678.2,6,1,3,3
61.30,1710.2,6,0,3,3
62.30,1737.2,6,0,3,3
63.30,1758.5,6,0,3,3
64.30,1785.4,5,0,3,3
65.30,1813.5,5,0,3,3
66.30,1845.9,5,0,3,3
67.30,1878.6,5,0,3,3
68.30,1910.7,5,0,3,3
69.30,1944.4,5,0,3,3
70.32,1981.7,5,0,3,3
71.32,2016.9,5,0,3,3
72.32,2048.3,5,0,3,3
73.32,2077.6,5,0,3,3
74.32,2110.0,5,0,4,3
75.32,2145.8,5,2,4,4
76.32,2184.1,5,0,4,4
77.32,2224.1,5,0,4,4
78.32,2265.6,5,0,4,4
79.32,2299.6,5,0,4,4
80.32,2331.5,4,0,4,4
81.32,2363.3,4,0,4,4
82.32,2396.1,4,0,4,4
83.32,2433.0,4,0,4,4
84.34,2472.8,4,0,4,4
85.34,2514.1,4,0,4,4
86.34,2556.4,4,0,4,4
87.34,2599.8,4,0,4,4
88.34,2634.6,4,0,4,4
89.34,2649.8,4,0,4,4
90.34,2663.3,4,0,4,4
91.34,2681.4,4,0,4,4
92.34,2707.0,4,0,4,4
93.34,2738.2,4,0,4,4
94.34,2773.3,4,0,4,4
95.36,2811.6,4,0,4,4
96.36,2851.9,4,1,5,4
97.36,2893.9,4,0,5,5
98.38,2936.7,4,0,5,5
99.38,2980.7,4,0,5,5
100.38,3025.2,4,0,5,5
101.40,3070.0,4,0,5,5
102.40,3115.1,4,0,5,5
103.40,3160.4,4,0,5,5
104.40,3205.8,4,0,5,5
105.40,3251.4,4,0,5,5
106.40,3297.0,4,0,5,5
107.40,3342.6,4,0,5,5
108.42,3388.4,4,0,5,5
109.42,3434.2,4,0,5,5
110.42,3480.2,4,0,5,5
111.42,3526.2,4,0,5,5
112.42,3572.2,4,0,5,5
113.42,3618.1,4,0,5,5
114.44,3659.4,4,0,5,5
115.44,3699.0,4,0,5,5
116.44,3726.0,4,0,5,5
117.44,3744.2,4,0,5,5
118.44,3764.4,4,0,5,5
119.44,3791.3,4,0,5,5
120.46,3823.6,4,0,5,5
121.46,3859.6,4,0,5,5
122.46,3898.4,4,0,5,5
123.48,3939.1,4,0,5,5
124.48,3981.4,4,0,5,5
125.48,4024.6,4,0,5,5
126.50,4068.4,4,0,5,5
127.50,4112.9,4,0,5,5
128.50,4157.9,4,0,5,5
129.50,4203.3,4,0,5,5
130.52,4248.9,4,0,5,5
131.52,4294.7,4,0,5,5
132.52,4340.7,4,0,5,5
133.52,4384.8,4,0,5,5
134.54,4424.6,4,0,5,5
135.54,4465.3,4,0,5,5
136.54,4507.2,4,0,5,5
137.54,4550.1,4,0,5,5
138.54,4593.5,4,0,5,5
139.54,4633.1,4,0,5,5
140.54,4654.4,4,0,5,5
141.56,4665.6,4,0,5,5
142.56,5.7,4,0,5,5
143.56,27.3,4,0,5,5
144.58,54.1,4,0,5,5
145.58,84.3,4,0,5,5
146.58,115.6,4,0,5,5
147.58,146.4,4,0,5,5
148.60,170.4,4,0,5,5
149.60,189.3,4,0,5,5
150.60,206.2,4,0,5,5
151.60,222.4,4,0,5,5
152.60,238.4,4,0,5,5
