course,vehicle,lip,direction,target,line,completed,minUp,recovered,awards
LakeWoods,moto,213,1,16,0,True,0.887,True,1
LakeWoods,moto,213,1,16,-2,True,0.915,True,1
LakeWoods,moto,213,1,16,2,True,0.908,True,1
LakeWoods,moto,213,1,16,-15.675,False,0.060,True,0
LakeWoods,moto,213,1,16,15.675,True,0.267,True,0
LakeWoods,moto,213,1,24,0,True,0.932,True,1
LakeWoods,moto,213,1,24,-2,True,0.910,True,1
LakeWoods,moto,213,1,24,2,True,0.909,True,1
LakeWoods,moto,213,1,24,-15.675,False,0.959,True,0
LakeWoods,moto,213,1,24,15.675,False,0.975,True,0
LakeWoods,moto,213,1,32,0,True,0.934,True,1
LakeWoods,moto,213,1,32,-2,True,0.878,True,1
LakeWoods,moto,213,1,32,2,True,0.929,True,1
LakeWoods,moto,213,1,32,-15.675,False,0.960,True,0
LakeWoods,moto,213,1,32,15.675,True,0.342,True,0
LakeWoods,moto,537,1,16,0,True,0.836,True,1
LakeWoods,moto,537,1,16,-2,True,0.929,True,1
LakeWoods,moto,537,1,16,2,True,0.887,True,1
LakeWoods,moto,537,1,16,-6.675,True,0.840,True,1
