time,x,y,z,speed,wheels,target,throttle,brake,steer
0.01999999,990.007,162.5747,115.0022,0.3597752,4,1,1,0,1.608418E-07
0.03999998,990.021,162.573,115.0067,0.7174681,4,1,1,0,0.00014818
0.05999998,990.0418,162.5706,115.0134,1.073193,4,1,1,0,0.0004272483
0.07999997,990.0693,162.5678,115.0223,1.42702,4,1,1,0,0.0008183301
0.09999996,990.1036,162.5646,115.0334,1.778983,4,1,1,0,0.001301983
0.12,990.1446,162.5612,115.0466,2.129104,4,1,1,0,0.00185602
0.14,990.1921,162.5576,115.062,2.477387,4,1,1,0,0.002462611
0.1599999,990.2463,162.5539,115.0796,2.823828,4,1,1,0,0.003101616
0.1799999,990.307,162.5501,115.0993,3.168419,4,1,1,0,0.003755963
0.1999999,990.3741,162.5463,115.1212,3.511147,4,1,1,0,0.004411803
0.2199999,990.4478,162.5425,115.1451,3.852,4,1,1,0,0.005055212
0.2399999,990.5278,162.5388,115.1712,4.190965,4,1,1,0,0.00567231
0.2599999,990.6141,162.535,115.1994,4.528027,4,1,1,0,0.006253412
0.2799999,990.7068,162.5313,115.2296,4.863176,4,1,1,0,0.006789254
0.2999999,990.8058,162.5275,115.2619,5.196401,4,1,1,0,0.007271327
0.3199999,990.9111,162.5238,115.2962,5.527692,4,1,1,0,0.007693798
0.3399999,991.0226,162.5201,115.3326,5.857037,4,1,1,0,0.008050463
0.3599999,991.1403,162.5164,115.371,6.18443,4,1,1,0,0.008339182
0.3799999,991.2641,162.5126,115.4114,6.509861,4,1,1,0,0.008555191
0.3999999,991.3941,162.5089,115.4538,6.833329,4,1,1,0,0.008699239
0.4199998,991.5302,162.5051,115.4982,7.154828,4,1,1,0,0.008770499
0.4399998,991.6723,162.5012,115.5446,7.474359,4,1,1,0,0.008771498
0.4599998,991.8205,162.4973,115.593,7.791919,4,1,1,0,0.008700396
0.4799998,991.9746,162.4933,115.6433,8.107515,4,1,1,0,0.008560976
0.4999998,992.1347,162.4892,115.6955,8.421148,4,1,1,0,0.008360402
0.5199998,992.3007,162.485,115.7496,8.732823,4,1,1,0,0.008103989
0.5399998,992.4725,162.4806,115.8056,9.042546,4,1,1,0,0.00779789
0.5599998,992.6503,162.4762,115.8635,9.350322,4,1,1,0,0.0074483
0.5799998,992.8339,162.4716,115.9233,9.656157,4,1,1,0,0.007060489
0.5999998,993.0233,162.4669,115.9849,9.960057,4,1,1,0,0.006643506
0.6199998,993.2183,162.4621,116.0483,10.26203,4,1,1,0,0.006203853
