time,vehicle,lap,gate,speed,recoveries,misses,x,y,z,verified,finishArmed,roadPosition
3.012,atv,0,0,0.00,0,0,316.80,23.25,481.02,0.000,False,0.000
3.012,original,0,0,0.00,0,0,321.22,21.50,488.65,0.000,False,0.000
3.012,tourer,0,0,0.00,0,0,316.93,19.87,495.52,0.000,False,0.000
3.012,moto,0,0,0.00,0,0,321.50,18.14,502.22,0.000,False,0.000
5.100,atv,0,1,26.97,0,0,317.40,15.58,513.91,1.053,False,1.053
5.100,original,0,1,25.56,0,0,321.41,14.87,517.88,5.260,False,5.260
5.100,tourer,0,1,24.78,0,0,317.76,13.71,523.63,11.020,False,11.020
5.100,moto,0,1,24.94,0,0,321.73,10.96,536.75,24.476,False,24.476
7.100,atv,0,1,8.86,0,0,316.23,8.60,549.99,39.041,False,39.041
7.100,original,0,1,11.66,0,0,318.00,8.63,555.59,43.896,False,43.896
7.100,tourer,0,1,9.85,0,0,313.49,8.69,556.52,48.879,False,48.879
7.100,moto,0,1,21.19,0,0,306.18,8.55,562.99,57.118,False,57.118
9.100,atv,0,1,22.87,0,0,293.53,8.58,563.15,69.801,False,69.801
9.100,original,0,1,23.65,0,0,285.06,8.69,564.02,78.193,False,78.193
9.100,tourer,0,1,25.82,0,0,278.12,8.70,564.26,85.000,False,85.000
9.100,moto,0,1,37.86,0,0,245.66,8.65,561.91,117.069,False,117.069
11.100,atv,0,1,33.40,0,0,232.72,8.83,556.56,130.670,False,130.670
11.100,original,0,1,33.97,0,0,226.42,9.07,559.50,136.483,False,136.483
11.100,tourer,0,1,35.32,0,0,216.33,9.19,558.09,146.637,False,146.637
11.100,moto,0,1,46.72,0,0,160.83,9.54,550.47,202.527,False,202.527
13.100,atv,0,1,-8.79,0,0,229.13,8.88,559.91,145.024,False,134.529
13.100,original,0,1,39.36,0,0,152.75,9.71,554.37,210.436,False,210.436
13.100,tourer,0,1,40.74,0,0,140.33,9.75,548.64,223.293,False,223.293
13.100,moto,0,2,45.06,0,0,65.26,9.37,541.73,298.276,False,298.276
15.100,atv,0,1,9.85,0,0,229.25,8.88,555.92,145.024,False,134.718
15.100,original,0,2,39.61,0,0,71.67,9.61,547.53,291.136,False,291.136
15.100,tourer,0,2,39.14,0,0,58.86,9.35,540.26,304.750,False,304.750
15.100,moto,0,2,45.98,0,0,-20.61,8.37,530.49,386.043,False,386.043
17.100,atv,0,1,27.22,0,0,194.56,9.22,554.90,168.808,False,168.808
17.100,original,0,2,39.53,0,0,-4.34,8.53,534.48,369.826,False,369.826
17.100,tourer,0,2,37.25,0,0,-13.27,8.52,530.37,378.874,False,378.874
17.100,moto,0,2,26.68,0,0,-90.35,8.18,515.59,456.327,False,456.327
19.100,atv,0,1,39.17,0,0,127.23,9.63,547.81,236.465,False,236.465
19.100,original,0,2,42.49,0,0,-86.69,8.64,535.18,452.206,False,452.206
19.100,tourer,0,2,41.96,0,0,-92.96,8.66,531.17,458.484,False,458.484
19.100,moto,0,6,36.68,0,0,-107.46,11.02,452.31,458.559,False,558.727
21.100,atv,0,2,43.12,0,0,44.16,8.70,535.82,320.339,False,320.339
21.100,original,0,3,44.00,0,0,-173.36,9.19,535.26,538.869,False,538.869
21.100,tourer,0,3,44.57,0,0,-179.77,9.24,531.22,545.251,False,545.251
21.100,moto,0,6,42.88,0,0,-144.82,13.35,386.24,458.559,False,660.903
23.100,atv,0,2,43.75,0,0,-37.93,8.38,530.53,403.425,False,403.425
23.100,original,0,3,44.58,0,0,-262.11,9.65,536.01,627.688,False,627.688
23.100,tourer,0,3,46.09,0,0,-270.57,9.66,532.14,636.051,False,636.051
23.100,moto,0,6,49.02,0,0,-218.72,15.89,331.23,458.559,False,784.797
25.100,atv,0,6,0.00,0,0,-92.05,8.22,515.19,459.112,False,475.445
25.100,original,0,3,44.73,0,0,-351.40,9.38,538.39,717.116,False,717.116
25.100,tourer,0,3,47.08,0,0,-363.78,9.31,534.93,729.317,False,729.317
25.100,moto,0,6,48.63,0,0,-300.50,16.21,275.53,458.559,False,917.764
27.100,atv,0,6,25.20,0,0,-99.37,8.10,487.93,459.112,False,510.007
27.100,original,0,4,44.83,0,0,-440.90,8.80,541.69,806.677,False,806.677
27.100,tourer,0,4,47.69,0,0,-458.55,8.70,538.43,824.135,False,824.135
27.100,moto,0,6,44.90,0,0,-372.92,19.38,220.05,458.559,False,1040.391
29.100,atv,0,6,29.67,0,0,-113.04,10.77,440.20,459.112,False,576.729
29.100,original,0,4,44.85,0,0,-530.49,8.73,545.72,896.544,False,896.544
29.100,tourer,0,4,42.90,0,0,-553.35,8.74,543.29,919.181,False,919.181
29.100,moto,0,6,47.97,0,0,-446.68,12.01,168.00,458.559,False,1161.566
31.100,atv,0,6,39.79,0,0,-149.73,13.57,380.46,459.112,False,671.134
31.100,original,0,4,16.38,0,0,-595.36,8.74,543.41,960.410,False,960.410
31.100,tourer,0,4,15.53,0,0,-601.12,8.74,536.38,967.626,False,967.626
31.100,moto,0,6,51.54,0,0,-533.67,9.93,117.40,458.559,False,1296.625
33.100,atv,0,6,45.39,0,0,-219.36,15.90,330.85,459.112,False,785.898
33.100,original,0,5,23.74,0,0,-610.51,8.58,513.81,991.158,False,991.158
33.100,tourer,0,5,26.72,0,0,-608.50,8.66,498.30,1006.163,False,1006.163
33.100,moto,0,6,39.83,0,0,-614.53,8.96,60.25,458.559,False,1430.338
35.100,atv,0,6,42.75,0,0,-295.49,16.30,279.32,459.112,False,909.484
35.100,original,0,5,33.62,0,0,-621.64,9.20,457.23,1049.184,False,1049.184
35.100,tourer,0,5,35.56,0,0,-624.03,9.43,437.34,1069.203,False,1069.203
35.100,moto,0,6,39.38,0,0,-630.10,8.69,-6.39,1513.734,False,1513.734
37.100,atv,0,6,24.10,0,0,-343.69,18.04,242.38,459.112,False,991.546
37.100,original,0,5,39.16,0,0,-630.96,9.70,384.69,1122.583,False,1122.583
37.100,tourer,0,5,40.71,0,0,-635.64,9.75,361.68,1145.678,False,1145.678
37.100,moto,0,6,43.42,0,0,-627.82,14.10,-92.40,1599.671,False,1599.671
39.100,atv,0,6,31.05,0,0,-383.93,13.78,211.84,459.112,False,1059.193
39.100,original,0,5,42.30,0,0,-630.72,9.77,302.89,1204.427,False,1204.427
39.100,tourer,0,6,43.95,0,0,-634.16,9.76,276.70,1230.527,False,1230.527
39.100,moto,0,6,45.45,0,0,-627.14,8.05,-179.49,1686.750,True,1686.750
41.100,atv,0,6,41.60,0,0,-444.39,12.07,169.46,459.112,False,1158.085
41.100,original,0,6,44.00,0,0,-629.33,9.67,216.41,1290.881,False,1290.881
41.100,tourer,0,6,45.84,0,0,-632.83,9.59,186.73,1320.477,False,1320.477
41.100,moto,0,7,50.97,0,0,-625.39,7.71,-276.52,1783.682,True,1783.682
43.100,atv,0,6,47.12,0,0,-521.49,10.20,124.34,459.112,False,1277.926
43.100,original,0,6,44.86,0,0,-628.13,9.39,127.40,1379.896,False,1379.896
43.100,tourer,0,6,46.94,0,0,-631.39,9.26,93.86,1413.328,False,1413.328
43.100,moto,0,8,53.92,0,0,-623.21,7.26,-381.72,1888.840,True,1888.840
45.100,atv,0,6,41.76,0,0,-602.07,9.02,72.41,459.112,False,1406.936
45.100,original,0,6,39.18,0,0,-629.27,9.05,44.41,1462.964,False,1462.964
45.100,tourer,0,6,47.58,0,0,-629.64,8.86,-0.70,1507.896,False,1507.896
45.100,moto,0,8,49.53,0,0,-620.22,6.66,-490.22,1997.416,True,1997.416
47.100,atv,0,6,34.76,0,0,-630.44,8.77,12.31,1495.127,False,1495.127
47.100,original,0,6,42.31,0,0,-628.92,9.07,-37.37,1544.675,False,1544.675
47.100,tourer,0,6,45.93,0,0,-628.05,14.25,-95.15,1602.369,False,1602.369
47.100,moto,0,8,13.37,0,0,-614.31,6.42,-542.82,2050.976,True,2050.976
49.100,atv,0,6,33.10,0,0,-628.55,11.16,-59.21,1566.701,False,1566.701
49.100,original,0,6,41.67,0,0,-627.77,10.81,-121.05,1628.386,False,1628.386
49.100,tourer,0,6,45.22,0,0,-626.78,8.18,-185.87,1693.141,True,1693.141
49.100,moto,0,8,29.96,0,0,-578.02,6.66,-554.76,2090.386,True,2090.386
51.100,atv,0,6,33.11,0,0,-627.71,8.29,-125.01,1632.519,False,1632.519
51.100,original,0,6,41.50,0,0,-626.56,8.13,-201.46,1708.803,True,1708.803
51.100,tourer,0,7,46.59,0,0,-625.37,7.86,-277.81,1785.058,True,1785.058
51.100,moto,0,8,42.52,0,0,-504.20,7.42,-551.25,2163.981,True,2163.981
53.100,atv,0,6,42.31,0,0,-624.99,7.98,-201.51,1708.867,True,1708.867
53.100,original,0,7,43.61,0,0,-625.21,7.82,-286.80,1794.106,True,1794.106
53.100,tourer,0,7,47.38,0,0,-623.40,7.46,-371.83,1879.082,True,1879.082
53.100,moto,0,9,49.47,0,0,-411.80,6.60,-558.17,2256.656,True,2256.656
55.100,atv,0,7,47.08,0,0,-621.95,7.66,-291.34,1798.645,True,1798.645
55.100,original,0,7,44.57,0,0,-623.34,7.44,-375.20,1882.505,True,1882.505
55.100,tourer,0,8,47.84,0,0,-621.22,6.94,-467.07,1974.313,True,1974.313
55.100,moto,0,9,31.48,0,0,-326.41,12.51,-568.08,2343.450,True,2343.450
57.100,atv,0,8,49.68,0,0,-623.02,7.22,-388.21,1895.418,True,1895.418
57.100,original,0,8,44.71,0,0,-621.30,6.96,-464.50,1971.799,True,1971.799
57.100,tourer,0,8,14.03,0,0,-616.29,6.58,-535.34,2043.337,True,2043.337
57.100,moto,0,10,31.65,0,0,-264.94,23.93,-577.92,2406.737,True,2406.737
59.100,atv,0,8,49.01,0,0,-620.28,6.67,-488.95,1996.163,True,1996.163
59.100,original,0,8,16.54,0,0,-613.80,6.59,-533.68,2041.900,True,2041.900
59.100,tourer,0,8,18.68,0,0,-600.45,6.74,-553.45,2068.552,True,2068.552
59.100,moto,0,10,39.13,0,0,-197.41,31.22,-584.12,2474.631,True,2474.631
61.100,atv,0,8,13.15,0,0,-614.64,6.42,-542.54,2050.648,True,2050.648
61.100,original,0,8,18.75,0,0,-600.53,6.74,-554.07,2068.558,True,2068.558
61.100,tourer,0,8,31.15,0,0,-549.57,7.12,-552.57,2118.709,True,2118.709
61.100,moto,0,10,47.65,0,0,-109.84,30.40,-582.50,2561.917,True,2561.917
63.100,atv,0,8,27.89,0,0,-581.21,6.65,-554.80,2087.298,True,2087.298
63.100,original,0,8,31.22,0,0,-549.45,7.12,-552.48,2118.831,True,2118.831
63.100,tourer,0,9,38.35,0,0,-479.40,7.68,-552.27,2188.950,True,2188.950
63.100,moto,0,10,32.04,0,0,-28.35,30.86,-570.22,2644.750,True,2644.750
65.100,atv,0,8,39.50,0,0,-512.57,7.34,-551.23,2155.650,True,2155.650
65.100,original,0,9,37.96,0,0,-479.56,7.69,-552.30,2188.802,True,2188.802
65.100,tourer,0,9,42.75,0,0,-398.14,6.86,-559.51,2270.525,True,2270.525
65.100,moto,0,10,33.71,0,0,-2.11,36.14,-515.60,2705.490,True,2705.490
67.100,atv,0,9,45.74,0,0,-426.88,6.71,-552.13,2241.147,True,2241.147
67.100,original,0,9,41.83,0,0,-399.61,6.84,-559.36,2269.067,True,2269.067
67.100,tourer,0,9,31.24,0,0,-322.59,13.30,-568.67,2347.399,True,2347.399
67.100,moto,0,10,36.42,0,0,-1.30,32.36,-436.72,2784.552,True,2784.552
69.100,atv,0,9,30.00,0,0,-339.49,10.44,-561.48,2329.422,True,2329.422
69.100,original,0,9,31.03,0,0,-324.37,13.01,-568.41,2345.578,True,2345.578
69.100,tourer,0,10,31.44,0,0,-261.57,24.68,-578.44,2410.219,True,2410.219
69.100,moto,0,11,32.63,0,0,7.33,40.66,-373.25,2849.447,True,2849.447
71.100,atv,0,10,31.58,0,0,-281.88,20.59,-570.41,2388.542,True,2388.542
71.100,original,0,10,31.42,0,0,-263.41,24.35,-578.16,2408.336,True,2408.336
71.100,tourer,0,10,35.87,0,0,-196.23,31.37,-584.19,2475.872,True,2475.872
71.100,moto,0,11,32.69,0,0,32.29,35.77,-303.24,2925.051,True,2925.051
73.100,atv,0,10,35.14,0,0,-218.61,30.17,-578.27,2453.224,True,2453.224
73.100,original,0,10,35.43,0,0,-198.55,31.30,-584.11,2473.561,True,2473.561
73.100,tourer,0,10,41.30,0,0,-118.68,30.61,-582.90,2553.187,True,2553.187
73.100,moto,0,11,24.18,0,0,73.27,44.51,-284.49,2973.788,True,2973.788
75.100,atv,0,10,43.25,0,0,-139.65,30.84,-579.35,2532.317,True,2532.317
75.100,original,0,10,40.43,0,0,-122.33,30.65,-583.06,2549.557,True,2549.557
75.100,tourer,0,10,29.42,0,0,-41.02,30.33,-576.48,2631.061,True,2631.061
75.100,moto,0,12,37.96,0,0,134.41,37.41,-296.58,3036.863,True,3036.863
77.100,atv,0,10,36.70,0,0,-51.31,30.04,-574.49,2621.397,True,2621.397
77.100,original,0,10,30.72,0,0,-44.16,30.26,-577.30,2627.891,True,2627.891
77.100,tourer,0,10,30.26,0,0,-5.67,36.50,-536.33,2685.095,True,2685.095
77.100,moto,0,12,19.82,0,0,188.65,45.74,-315.14,3095.382,True,3095.382
79.100,atv,0,10,28.53,0,0,-11.06,35.77,-541.99,2678.138,True,2678.138
79.100,original,0,10,30.36,0,0,-6.22,36.36,-538.42,2682.973,True,2682.973
79.100,tourer,0,10,38.41,0,0,-2.00,31.91,-468.43,2752.570,True,2752.570
79.100,moto,0,12,19.53,0,0,220.22,45.40,-327.20,3128.653,True,3128.653
81.100,atv,0,10,39.90,0,0,-4.22,32.19,-474.63,2746.316,True,2746.316
81.100,original,0,10,37.91,0,0,-0.95,32.10,-471.23,2749.747,True,2749.747
81.100,tourer,0,10,31.50,0,0,2.48,37.90,-401.07,2820.997,True,2820.997
81.100,moto,0,14,19.86,0,0,243.92,48.55,-296.47,3131.886,True,3230.928
83.100,atv,0,10,25.00,0,0,-1.56,34.46,-421.42,2800.169,True,2800.169
83.100,original,0,10,31.33,0,0,1.96,36.85,-407.68,2814.271,True,2814.271
83.100,tourer,0,11,37.33,0,0,17.18,37.99,-335.69,2888.382,True,2888.382
83.100,moto,0,14,27.68,0,0,286.16,56.73,-273.94,3131.886,True,3322.191
85.100,atv,0,11,34.58,0,0,6.03,40.45,-361.26,2860.751,True,2860.751
85.100,original,0,11,36.15,0,0,14.76,38.95,-343.47,2880.159,True,2880.159
85.100,tourer,0,11,21.91,0,0,50.87,42.14,-287.92,2950.823,True,2950.823
85.100,moto,0,14,27.72,0,0,329.45,66.31,-243.39,3131.886,True,3425.102
87.100,atv,0,11,18.80,0,0,31.85,36.28,-297.83,2929.268,True,2929.268
87.100,original,0,11,23.95,0,0,46.47,40.55,-290.47,2945.419,True,2945.419
87.100,tourer,0,11,30.18,0,0,98.09,41.15,-287.21,2999.060,True,2999.060
87.100,moto,0,14,19.12,0,0,344.76,69.95,-192.87,3131.886,True,3525.390
89.100,atv,0,11,21.64,0,0,66.49,44.62,-285.06,2966.966,True,2966.966
89.100,original,0,11,28.73,0,0,91.65,42.24,-285.99,2992.413,True,2992.413
89.100,tourer,0,12,28.21,0,0,159.07,40.77,-304.50,3063.346,True,3063.346
89.100,moto,0,14,14.91,0,0,375.34,72.58,-182.47,3131.886,True,3590.412
91.100,atv,0,11,30.03,0,0,124.03,37.53,-293.64,3026.180,True,3026.180
91.100,original,0,12,24.54,0,0,151.98,39.49,-302.19,3055.810,True,3055.810
91.100,tourer,0,12,32.51,0,0,213.73,46.04,-330.01,3124.329,True,3124.329
91.100,moto,0,14,-12.41,0,0,414.29,45.85,-187.11,3131.886,True,3655.068
93.100,atv,0,12,24.61,0,0,166.27,41.97,-305.99,3070.817,True,3070.817
93.100,original,0,12,30.19,0,0,203.79,46.75,-324.15,3112.777,True,3112.777
93.100,tourer,0,12,33.21,0,0,265.03,36.52,-367.68,3188.713,True,3188.713
93.100,moto,0,14,-0.31,0,0,446.81,33.77,-183.95,3131.886,True,3655.068
95.100,atv,0,12,15.25,0,0,203.81,46.55,-324.84,3113.434,True,3113.434
95.100,original,0,12,31.78,0,0,255.38,38.21,-360.55,3176.651,True,3176.651
95.100,tourer,0,12,18.38,0,0,312.52,42.24,-393.23,3243.406,True,3243.406
95.100,moto,0,14,9.89,0,0,432.30,33.52,-191.56,3131.886,True,3655.068
97.100,atv,0,14,19.83,0,0,232.46,46.41,-314.85,3131.781,True,3189.691
97.100,original,0,12,20.00,0,0,305.44,40.71,-390.62,3235.864,True,3235.864
97.100,tourer,0,12,24.39,0,0,356.24,33.66,-395.30,3287.752,True,3287.752
97.100,moto,0,14,3.85,0,0,431.17,33.99,-193.78,3131.886,True,3655.068
99.100,atv,0,14,24.36,0,0,258.65,50.86,-284.64,3131.781,True,3266.547
99.100,original,0,12,27.94,0,0,346.55,37.03,-396.19,3277.194,True,3277.194
99.100,tourer,0,12,25.23,0,0,396.59,37.05,-417.54,3338.662,True,3338.662
99.100,moto,0,14,1.41,0,0,431.11,34.01,-193.83,3131.886,True,3655.068
101.100,atv,0,14,27.61,0,0,308.11,61.67,-264.76,3131.781,True,3367.374
101.100,original,0,12,26.94,0,0,391.57,35.12,-410.87,3330.123,True,3330.123
101.100,tourer,0,12,33.76,0,0,428.57,35.47,-464.34,3395.272,True,3395.272
101.100,moto,0,14,-0.40,0,0,431.13,34.17,-194.23,3131.886,True,3655.068
103.100,atv,0,14,27.81,0,0,337.08,68.08,-220.49,3131.781,True,3470.560
103.100,original,0,12,31.95,0,0,422.43,36.74,-455.55,3384.501,True,3384.501
103.100,tourer,0,12,28.49,0,0,466.72,26.70,-525.25,3467.971,True,3467.971
103.100,moto,0,14,2.88,1,0,359.23,72.52,-181.41,3131.886,True,3564.624
105.100,atv,0,14,14.99,0,0,353.28,71.43,-182.72,3131.781,True,3551.953
105.100,original,0,12,35.56,0,0,461.54,27.98,-515.95,3457.125,True,3457.125
105.100,tourer,0,12,17.16,0,0,491.16,23.17,-546.60,3501.207,True,3501.207
105.100,moto,0,14,11.74,1,0,374.19,61.40,-186.03,3131.886,True,3592.911
107.100,atv,0,14,3.80,0,0,389.98,66.24,-184.48,3131.781,True,3613.510
107.100,original,0,12,15.51,0,0,486.33,23.42,-546.05,3497.041,True,3497.041
107.100,tourer,0,13,28.95,0,0,521.58,25.10,-513.78,3545.120,True,3545.120
107.100,moto,0,14,16.16,1,0,389.67,33.43,-194.60,3131.886,True,3605.215
109.100,atv,0,14,-15.19,0,0,425.97,33.56,-187.78,3131.781,True,3654.644
109.100,original,0,13,28.01,0,0,518.49,24.40,-520.49,3537.906,True,3537.906
109.100,tourer,0,13,33.05,0,0,540.33,33.71,-454.67,3607.139,True,3607.139
109.100,moto,0,14,12.04,1,0,404.54,48.59,-215.17,3131.886,True,3670.002
111.100,atv,0,14,3.42,0,0,446.52,33.76,-183.40,3131.781,True,3654.644
111.100,original,0,13,32.76,0,0,538.57,33.27,-462.91,3598.814,True,3598.814
111.100,tourer,0,13,40.42,0,0,545.63,27.01,-382.18,3679.761,True,3679.761
111.100,moto,0,14,13.58,1,0,420.68,49.63,-222.60,3131.886,True,3691.594
113.100,atv,0,14,11.69,0,0,444.45,33.38,-169.67,3131.781,True,3654.644
113.100,original,0,13,39.14,0,0,545.26,28.22,-392.63,3669.222,True,3669.222
113.100,tourer,0,14,36.84,0,0,561.27,26.48,-300.07,3763.940,True,3763.940
113.100,moto,0,14,15.27,1,0,447.20,62.19,-189.54,3131.886,True,3761.950
115.100,atv,0,14,-0.10,0,0,456.42,34.17,-166.74,3131.781,True,3654.644
115.100,original,0,14,42.26,0,0,558.61,25.82,-311.41,3752.270,True,3752.270
115.100,tourer,0,14,31.47,0,0,556.07,34.36,-232.55,3832.131,True,3832.131
115.100,moto,0,14,19.39,2,0,360.46,72.65,-180.19,3131.886,True,3565.698
117.100,atv,0,14,-0.08,0,0,456.23,34.15,-166.60,3131.781,True,3654.644
117.100,original,0,14,31.59,0,0,558.58,32.25,-241.56,3822.583,True,3822.583
117.100,tourer,0,14,30.82,0,0,537.01,59.45,-179.31,3894.133,True,3894.133
117.100,moto,0,14,-2.96,2,0,399.97,59.91,-186.53,3131.886,True,3631.386
119.100,atv,0,14,-0.10,0,0,456.02,34.14,-166.53,3131.781,True,3654.644
119.100,original,0,14,30.83,0,0,540.12,54.96,-186.99,3884.728,True,3884.728
119.100,tourer,0,14,29.64,0,0,515.10,83.55,-128.59,3954.377,True,3954.377
119.100,moto,0,14,-15.47,2,0,435.45,33.51,-188.31,3131.886,True,3657.896
121.100,atv,0,14,9.53,1,0,371.18,65.83,-184.88,3131.781,True,3587.208
121.100,original,0,14,28.82,0,0,518.61,81.14,-136.51,3945.467,True,3945.467
121.100,tourer,0,14,36.09,0,0,485.84,89.37,-70.36,4019.648,True,4019.648
121.100,moto,0,14,9.95,2,0,441.86,33.50,-186.32,3131.886,True,3657.896
123.100,atv,0,14,8.02,1,0,385.20,33.49,-189.51,3131.781,True,3603.569
123.100,original,0,14,34.81,0,0,490.79,89.38,-80.32,4008.502,True,4008.502
123.100,tourer,0,15,31.69,0,0,472.82,82.91,-5.19,4087.832,True,4087.832
123.100,moto,0,14,-2.25,2,0,433.62,34.34,-194.26,3131.886,True,3657.896
125.100,atv,0,14,10.87,1,0,400.71,44.99,-207.49,3131.781,True,3603.569
125.100,original,0,14,31.72,0,0,471.77,84.79,-15.05,4077.783,True,4077.783
125.100,tourer,0,15,22.48,0,0,476.37,78.42,49.04,4142.258,True,4142.258
125.100,moto,0,14,-3.42,2,0,433.32,33.99,-193.53,3131.886,True,3657.896
127.100,atv,0,14,7.21,1,0,404.08,47.35,-221.08,3131.781,True,3603.569
127.100,original,0,15,17.66,0,0,477.88,77.71,40.85,4134.028,True,4134.028
