time,x,y,z,speed,wheels,target,throttle,brake,steer
0.02000427,989.9995,110.9389,-160.0845,0.3053445,2,1,1,0,0
0.03999329,989.9997,110.9453,-160.1105,0.6528237,2,2,1,0,-0.00209391
0.05999756,989.9997,110.9371,-160.1344,1.009312,2,3,1,0,-0.001488225
0.08000183,989.9997,110.9246,-160.1654,1.371253,2,4,1,0,-0.001346024
0.1000061,989.9997,110.9075,-160.2034,1.739333,2,5,1,0,-0.001251873
0.1199951,989.9997,110.8858,-160.2481,2.113744,2,6,1,0,-0.00118043
0.1399994,989.9997,110.8593,-160.2995,2.494291,2,7,1,0,-0.001120969
0.1600037,989.9996,110.8279,-160.3573,2.880491,2,8,1,0,-0.001068162
0.1799927,989.9996,110.7916,-160.4214,3.271665,2,9,1,0,-0.00104506
0.1999969,989.9996,110.7503,-160.4917,3.667017,2,10,1,0,-0.0009955439
0.2200012,989.9996,110.7041,-160.5682,4.06575,2,11,1,0,-0.0009475372
0.2400055,989.9995,110.6561,-160.6512,4.461665,4,12,1,0,-0.00092006
0.2599945,989.9995,110.6061,-160.7408,4.854943,4,12,1,0,-0.0009044106
0.2799988,989.9994,110.5541,-160.8369,5.245823,4,12,1,0,-0.0008876417
0.3000031,989.9993,110.4998,-160.9397,5.63452,4,12,1,0,-0.0008697261
0.3199921,989.9993,110.4432,-161.0489,6.007696,4,12,0.9558359,0,-0.0008507511
0.3399963,989.9992,110.3847,-161.163,6.299869,4,13,0.6946127,0,-0.0008079644
0.3600006,989.9991,110.325,-161.281,6.529573,4,13,0.490092,0,-0.0007848482
0.3800049,989.9991,110.2641,-161.402,6.710775,4,13,0.3292986,0,-0.0007613818
0.3999939,989.999,110.2024,-161.5254,6.854082,4,13,0.2024572,0,-0.0007379943
0.4199982,989.999,110.1401,-161.6507,6.967614,4,14,0.1021429,0,-0.0006853573
0.4400024,989.9989,110.0779,-161.7763,6.995,4,14,0.02267008,0,-0.0006606875
