time,x,y,z,speed,wheels,target,throttle,brake,steer
1.299999,989.9997,107.4384,-167.6031,7.596581,4,25,0,0,-2.816954E-06
1.32,989.9997,107.3772,-167.7422,7.604845,4,26,0,0,4.083526E-06
1.339996,989.9997,107.3161,-167.8815,7.612928,4,26,0,0,1.483483E-06
1.359997,989.9997,107.2551,-168.021,7.620833,4,26,0,0,-1.264182E-06
1.379997,989.9997,107.194,-168.1607,7.628564,4,27,0,0,5.362959E-06
1.399998,989.9997,107.133,-168.3005,7.63612,4,27,0,0,2.761552E-06
1.419998,989.9997,107.072,-168.4405,7.643501,4,27,0,0,4.248173E-09
1.439999,989.9997,107.0111,-168.5807,7.650711,4,27,0,0,-2.863439E-06
1.459999,989.9997,106.9502,-168.7211,7.657754,4,28,0,0,3.884645E-06
1.48,989.9997,106.8893,-168.8616,7.664628,4,28,0,0,1.233983E-06
1.499996,989.9997,106.8285,-169.0023,7.671332,4,28,0,0,-1.555862E-06
1.519997,989.9997,106.7678,-169.1431,7.677873,4,29,0,0,4.972539E-06
1.539997,989.9997,106.707,-169.2841,7.684246,4,29,0,0,2.346067E-06
1.559998,989.9997,106.6464,-169.4253,7.690456,4,29,0,0,-4.273415E-07
1.579998,989.9997,106.5857,-169.5666,7.696501,4,29,0,0,-3.304768E-06
1.599998,989.9997,106.5251,-169.708,7.702384,4,30,0,0,3.394362E-06
1.619999,989.9997,106.4646,-169.8496,7.70811,4,30,0,0,7.448895E-07
1.639999,989.9997,106.4041,-169.9914,7.713675,4,30,0,0,-2.038943E-06
1.659996,989.9997,106.3436,-170.1333,7.719082,4,30,0,0,-4.918863E-06
1.679996,989.9997,106.2832,-170.2753,7.724331,4,31,0,0,2.0335E-06
1.699997,989.9997,106.2229,-170.4174,7.729421,4,31,0,0,-5.947787E-07
1.719997,989.9997,106.1626,-170.5597,7.734359,4,31,0,0,-3.363041E-06
1.739998,989.9997,106.1023,-170.7021,7.739143,4,32,0,0,3.406662E-06
1.759998,989.9997,106.0421,-170.8446,7.743777,4,32,0,0,8.147202E-07
1.779999,989.9997,105.982,-170.9872,7.748255,4,32,0,0,-1.934336E-06
1.799999,989.9997,105.9219,-171.13,7.752588,4,32,0,0,-4.796546E-06
1.819996,989.9997,105.8619,-171.2729,7.756768,4,33,0,0,2.168938E-06
1.839996,989.9997,105.8019,-171.4158,7.760801,4,33,0,0,-4.621384E-07
1.859997,989.9997,105.742,-171.5589,7.764687,4,33,0,0,-3.241886E-06
1.879997,989.9997,105.6821,-171.7021,7.768427,4,34,0,0,3.529527E-06
1.899998,989.9997,105.6223,-171.8454,7.772027,4,34,0,0,9.174366E-07
1.919998,989.9997,105.5625,-171.9888,7.775482,4,34,0,0,-1.856519E-06
1.939999,989.9997,105.5028,-172.1323,7.778794,4,34,0,0,-4.746907E-06
1.959999,989.9997,105.4432,-172.2759,7.78197,4,35,0,0,2.223273E-06
1.98,989.9997,105.3837,-172.4195,7.785001,4,35,0,0,-4.355535E-07
1.999996,989.9997,105.3242,-172.5633,7.787894,4,35,0,0,-3.244923E-06
2.019997,989.9997,105.2647,-172.7072,7.790651,4,36,0,0,3.540585E-06
2.039997,989.9997,105.2054,-172.8511,7.79327,4,36,0,0,9.055579E-07
2.059998,989.9997,105.1461,-172.9951,7.795759,4,36,0,0,-1.892366E-06
2.079998,989.9997,105.0869,-173.1392,7.798111,4,36,0,0,-4.808024E-06
2.099998,989.9997,105.0277,-173.2834,7.80033,4,37,0,0,2.188447E-06
2.119999,989.9997,104.9686,-173.4276,7.802421,4,37,0,0,-4.926321E-07
2.139999,989.9997,104.9096,-173.572,7.804377,4,37,0,0,-3.325338E-06
2.159996,989.9997,104.8507,-173.7164,7.806206,4,38,0,0,3.491866E-06
2.179996,989.9997,104.7919,-173.8608,7.807907,4,38,0,0,8.342225E-07
2.199997,989.9997,104.7331,-174.0053,7.809479,4,38,0,0,-1.98778E-06
2.219997,989.9997,104.6744,-174.1499,7.81093,4,39,0,0,4.603024E-06
2.239998,989.9997,104.6158,-174.2946,7.812254,4,39,0,0,1.92904E-06
2.259998,989.9997,104.5573,-174.4393,7.813452,4,39,0,0,-9.094537E-07
2.279999,989.9997,104.4988,-174.584,7.814528,4,39,0,0,-3.864333E-06
2.299999,989.9997,104.4404,-174.7289,7.815481,4,40,0,0,2.927173E-06
2.319996,989.9997,104.3822,-174.8737,7.81631,4,40,0,0,2.03847E-07
2.339996,989.9997,104.324,-175.0186,7.817021,4,40,0,0,-2.665547E-06
2.359997,989.9997,104.2659,-175.1636,7.817613,4,41,0,0,3.965354E-06
2.379997,989.9997,104.2078,-175.3086,7.818083,4,41,0,0,1.273755E-06
2.399998,989.9997,104.1499,-175.4537,7.818439,4,41,0,0,-1.573758E-06
2.419998,989.9997,104.0921,-175.5988,7.818676,4,41,0,0,-4.532056E-06
2.439999,989.9997,104.0343,-175.7439,7.818801,4,42,0,0,2.342678E-06
2.459999,989.9997,103.9767,-175.8891,7.818812,4,42,0,0,-3.710248E-07
2.479996,989.9997,103.9191,-176.0343,7.818706,4,42,0,0,-3.230314E-06
2.499996,989.9997,103.8616,-176.1796,7.818487,4,43,0,0,3.493483E-06
2.519997,989.9997,103.8042,-176.3248,7.818161,4,43,0,0,8.16505E-07
2.539997,989.9997,103.747,-176.4701,7.817721,4,43,0,0,-2.018935E-06
2.559998,989.9997,103.6898,-176.6154,7.817174,4,43,0,0,-4.967607E-06
2.579998,989.9997,103.6327,-176.7608,7.816516,4,44,0,0,2.003818E-06
2.599998,989.9997,103.5757,-176.9062,7.81575,4,44,0,0,-7.002682E-07
2.619999,989.9997,103.5188,-177.0515,7.814874,4,44,0,0,-3.553677E-06
2.639996,989.9997,103.462,-177.197,7.813893,4,45,0,0,3.261802E-06
2.659996,989.9997,103.4053,-177.3424,7.812809,4,45,0,0,5.888302E-07
2.679996,989.9997,103.3487,-177.4878,7.811621,4,45,0,0,-2.246768E-06
2.699997,989.9997,103.2922,-177.6333,7.810328,4,45,0,0,-5.197207E-06
2.719997,989.9997,103.2359,-177.7787,7.808934,4,46,0,0,1.864317E-06
2.739998,989.9997,103.1796,-177.9242,7.807436,4,46,0,0,-8.432389E-07
2.759998,989.9997,103.1234,-178.0696,7.805835,4,46,0,0,-3.703994E-06
2.779999,989.9997,103.0673,-178.2151,7.804139,4,47,0,0,3.193128E-06
2.799999,989.9997,103.0113,-178.3606,7.802337,4,47,0,0,5.114459E-07
2.819996,989.9997,102.9555,-178.5061,7.800442,4,47,0,0,-2.336781E-06
2.839996,989.9997,102.8997,-178.6516,7.798447,4,48,0,0,4.346984E-06
2.859997,989.9997,102.8441,-178.797,7.796356,4,48,0,0,1.651315E-06
2.879997,989.9997,102.7885,-178.9425,7.794167,4,48,0,0,-1.211177E-06
2.899998,989.9997,102.7331,-179.088,7.791884,4,48,0,0,-4.192965E-06
2.919998,989.9997,102.6778,-179.2334,7.789508,4,49,0,0,2.706696E-06
2.939999,989.9997,102.6226,-179.3788,7.787035,4,49,0,0,-3.68498E-08
2.959999,989.9997,102.5675,-179.5243,7.784472,4,49,0,0,-2.9295E-06
2.979996,989.9997,102.5125,-179.6697,7.781815,4,50,0,0,3.811241E-06
2.999996,989.9997,102.4576,-179.8151,7.779069,4,50,0,0,1.101462E-06
3.019997,989.9997,102.4028,-179.9604,7.776235,4,50,0,0,-1.767691E-06
3.039997,989.9997,102.3482,-180.1058,7.773309,4,50,0,0,-4.750562E-06
3.059998,989.9997,102.2936,-180.2511,7.770294,4,51,0,0,2.242417E-06
3.079998,989.9997,102.2392,-180.3964,7.767189,4,51,0,0,-4.914647E-07
3.099998,989.9997,102.1849,-180.5417,7.763999,4,51,0,0,-3.373868E-06
3.119999,989.9997,102.1307,-180.687,7.760719,4,52,0,0,3.462517E-06
3.139996,989.9997,102.0767,-180.8322,7.757355,4,52,0,0,7.660923E-07
3.159996,989.9997,102.0227,-180.9774,7.753904,4,52,0,0,-2.092179E-06
3.179996,989.9997,101.9689,-181.1226,7.750372,4,52,0,0,-5.066684E-06
3.199997,989.9997,101.9152,-181.2677,7.746758,4,53,0,0,2.017659E-06
3.219997,989.9997,101.8616,-181.4128,7.743056,4,53,0,0,-7.10135E-07
3.239998,989.9997,101.8081,-181.5579,7.739274,4,53,0,0,-3.589547E-06
3.259998,989.9997,101.7547,-181.7029,7.735407,4,54,0,0,3.332526E-06
3.279999,989.9997,101.7015,-181.8479,7.73146,4,54,0,0,6.379506E-07
3.299995,989.9997,101.6483,-181.9929,7.727432,4,54,0,0,-2.221799E-06
3.319996,989.9997,101.5953,-182.1378,7.723327,4,54,0,0,-5.200528E-06
3.339996,989.9997,101.5425,-182.2826,7.719141,4,55,0,0,1.963173E-06
3.359997,989.9997,101.4897,-182.4274,7.714878,4,55,0,0,-7.647371E-07
3.379997,989.9997,101.4371,-182.5722,7.710536,4,55,0,0,-3.647508E-06
3.399998,989.9997,101.3846,-182.7169,7.706118,4,56,0,0,3.343088E-06
3.419998,989.9997,101.3322,-182.8616,7.701624,4,56,0,0,6.416529E-07
3.439999,989.9997,101.2799,-183.0062,7.697052,4,56,0,0,-2.22728E-06
3.459995,989.9997,101.2278,-183.1507,7.692408,4,57,0,0,4.537575E-06
3.479996,989.9997,101.1758,-183.2952,7.687691,4,57,0,0,1.823901E-06
3.499996,989.9997,101.1239,-183.4397,7.682897,4,57,0,0,-1.054648E-06
3.519997,989.9997,101.0721,-183.5841,7.678032,4,57,0,0,-4.052402E-06
3.539997,989.9997,101.0205,-183.7284,7.673098,4,58,0,0,2.923143E-06
3.559998,989.9997,100.969,-183.8727,7.668089,4,58,0,0,1.65384E-07
3.579998,989.9997,100.9176,-184.0169,7.663008,4,58,0,0,-2.740755E-06
3.599998,989.9997,100.8663,-184.161,7.657862,4,59,0,0,4.063229E-06
3.619999,989.9997,100.8152,-184.3051,7.652645,4,59,0,0,1.342256E-06
3.639996,989.9997,100.7642,-184.4491,7.647355,4,59,0,0,-1.53705E-06
3.659996,989.9997,100.7134,-184.593,7.642004,4,59,0,0,-4.528874E-06
3.679996,989.9997,100.6626,-184.7369,7.636578,4,60,0,0,2.51323E-06
3.699997,989.9997,100.612,-184.8807,7.631087,4,60,0,0,-2.293745E-07
3.719997,989.9997,100.5615,-185.0244,7.625526,4,60,0,0,-3.118344E-06
3.739998,989.9997,100.5112,-185.1681,7.619902,4,61,0,0,3.756008E-06
3.759998,989.9997,100.4609,-185.3116,7.614212,4,61,0,0,1.055926E-06
3.779999,989.9997,100.4108,-185.4551,7.608455,4,61,0,0,-1.802753E-06
3.799995,989.9997,100.3609,-185.5985,7.602636,4,61,0,0,-4.772102E-06
3.819996,989.9997,100.311,-185.7419,7.596753,4,62,0,0,2.337641E-06
3.839996,989.9997,100.2613,-185.8851,7.590807,4,62,0,0,-3.842658E-07
3.859997,989.9997,100.2118,-186.0283,7.584796,4,62,0,0,-3.254064E-06
3.879997,989.9997,100.1623,-186.1714,7.578722,4,63,0,0,3.676522E-06
3.899998,989.9997,100.113,-186.3144,7.572587,4,63,0,0,9.9096E-07
3.919998,989.9997,100.0638,-186.4574,7.566395,4,63,0,0,-1.855016E-06
3.939999,989.9997,100.0148,-186.6002,7.56014,4,63,0,0,-4.815322E-06
3.959995,989.9997,99.96589,-186.743,7.553825,4,64,0,0,2.335612E-06
3.979996,989.9997,99.91711,-186.8856,7.54745,4,64,0,0,-3.786385E-07
