time,x,y,z,speed,wheels,up,trafficNearJoin
0.0199995,175.2113,9.482141,547.7988,0.3598558,4,1,2
0.03999996,175.2256,9.483088,547.8002,0.7174452,4,1,2
0.05999947,175.247,9.484368,547.8021,1.072783,4,1,2
0.07999992,175.2754,9.485894,547.8047,1.425882,4,1,2
0.09999943,175.3108,9.487587,547.808,1.776759,4,1,2
0.1199999,175.3531,9.489376,547.812,2.125427,4,1,2
0.1399994,175.4023,9.491199,547.8165,2.471899,4,1,2
0.1599998,175.4584,9.493004,547.8217,2.816189,4,1,2
0.1799994,175.5213,9.494746,547.8276,3.158312,4,1,2
0.1999998,175.591,9.49639,547.834,3.498279,4,1,2
0.2199993,175.6674,9.49791,547.8411,3.836106,4,1,2
0.2399998,175.7505,9.499287,547.8488,4.171804,4,1,2
0.2599993,175.8402,9.500506,547.8571,4.505387,4,1,2
0.2799997,175.9365,9.501563,547.866,4.836868,4,1,2
0.2999992,176.0394,9.502457,547.8755,5.16626,4,1,2
0.3199997,176.1488,9.50319,547.8857,5.493575,4,1,2
0.3399992,176.2647,9.50377,547.8964,5.818824,4,1,2
0.3599997,176.387,9.504207,547.9077,6.142023,4,1,2
0.3799992,176.5157,9.504513,547.9196,6.463182,4,1,2
0.3999996,176.6508,9.504702,547.9321,6.782314,4,1,2
0.4199991,176.7921,9.50479,547.9451,7.099431,4,1,2
0.4399996,176.9398,9.504796,547.9587,7.414546,4,1,2
0.4599991,177.0937,9.504733,547.973,7.72767,4,1,2
0.4799995,177.2538,9.504622,547.9877,8.038815,4,1,2
0.499999,177.42,9.504476,548.0031,8.347992,4,1,2
0.5199995,177.5924,9.50431,548.0189,8.655214,4,0.9999999,2
0.539999,177.7708,9.504137,548.0353,8.960494,4,0.9999999,2
0.5599995,177.9553,9.503968,548.0523,9.263841,4,0.9999999,2
0.579999,178.1458,9.503813,548.0698,9.565266,4,0.9999999,2
0.5999994,178.3422,9.503678,548.0878,9.864784,4,0.9999999,2
0.6199989,178.5446,9.503572,548.1064,10.16241,4,0.9999999,2
0.6399994,178.7529,9.503498,548.1255,10.45814,4,0.9999998,2
0.6599998,178.967,9.503464,548.1451,10.75201,4,0.9999998,2
0.6799994,179.187,9.503472,548.1652,11.04401,4,0.9999998,2
0.6999998,179.4127,9.503531,548.1858,11.33416,4,0.9999997,2
0.7199993,179.6442,9.503642,548.2069,11.62246,4,0.9999996,2
0.7399998,179.8813,9.503807,548.2285,11.90895,4,0.9999996,2
0.7599993,180.1242,9.504025,548.2506,12.19361,4,0.9999995,2
0.7799997,180.3727,9.504296,548.2732,12.47646,4,0.9999995,2
0.7999992,180.6268,9.504619,548.2963,12.75752,4,0.9999994,2
0.8199997,180.8864,9.504992,548.3198,13.0368,4,0.9999993,2
0.8399992,181.1516,9.505417,548.3438,13.3143,4,0.9999992,2
0.8599997,181.4223,9.505894,548.3682,13.59004,4,0.9999991,2
0.8799992,181.6984,9.506423,548.3931,13.86403,4,0.999999,2
0.8999996,181.9799,9.507005,548.4185,14.13627,4,0.9999989,2
0.9199991,182.2669,9.507636,548.4443,14.40678,4,0.9999987,2
0.9399996,182.5592,9.508316,548.4706,14.67557,4,0.9999986,2
0.9599991,182.8568,9.509042,548.4973,14.94265,4,0.9999985,2
0.9799995,183.1598,9.509815,548.5245,15.20803,4,0.9999983,2
0.999999,183.4679,9.510639,548.5521,15.47172,4,0.9999981,2
1.02,183.7813,9.511514,548.5801,15.73373,4,0.9999979,2
1.039999,184.0999,9.51244,548.6085,15.99407,4,0.9999977,2
1.059999,184.4237,9.513416,548.6373,16.25275,4,0.9999974,2
1.079999,184.7525,9.514442,548.6665,16.50978,4,0.9999973,2
1.099999,185.0865,9.51552,548.6961,16.76518,4,0.999997,2
1.119999,185.4255,9.516653,548.7261,17.01894,4,0.9999967,2
1.139999,185.7696,9.517843,548.7565,17.27109,4,0.9999964,2
1.159999,186.1186,9.519092,548.7873,17.52162,4,0.9999961,2
1.179999,186.4726,9.520399,548.8184,17.77056,4,0.9999958,2
1.199999,186.8316,9.521765,548.85,18.01791,4,0.9999955,2
1.219999,187.1954,9.523191,548.8819,18.26367,4,0.9999952,2
1.239999,187.5641,9.524684,548.9141,18.50787,4,0.9999948,2
1.259999,187.9377,9.526245,548.9467,18.7505,4,0.9999944,2
1.279999,188.3161,9.527876,548.9797,18.99159,4,0.999994,2
1.299999,188.6992,9.529575,549.013,19.23113,4,0.9999936,2
1.319999,189.0871,9.531347,549.0466,19.46914,4,0.9999931,2
1.339999,189.4797,9.533195,549.0806,19.70562,4,0.9999927,2
1.359999,189.877,9.53512,549.1149,19.9406,4,0.9999921,2
1.379999,190.2789,9.537126,549.1495,20.17406,4,0.9999917,2
1.399999,190.6855,9.539211,549.1844,20.40603,4,0.9999911,2
1.419999,191.0967,9.541379,549.2197,20.63652,4,0.9999905,2
1.439999,191.5124,9.543631,549.2553,20.86552,4,0.99999,2
1.459999,191.9327,9.545972,549.2912,21.09306,4,0.9999893,2
1.48,192.3575,9.548403,549.3274,21.31914,4,0.9999887,2
1.499999,192.7868,9.550922,549.3638,21.54376,4,0.9999881,2
1.52,193.2206,9.553534,549.4006,21.76695,4,0.9999874,2
1.539999,193.6587,9.556239,549.4376,21.9887,4,0.9999867,2
1.559999,194.1013,9.559043,549.4749,22.20904,4,0.9999859,2
1.579999,194.5482,9.561944,549.5125,22.42795,4,0.9999852,2
1.599999,194.9995,9.564943,549.5504,22.64546,4,0.9999844,2
1.619999,195.4551,9.568043,549.5884,22.86156,4,0.9999835,2
1.639999,195.9149,9.571248,549.6268,23.07628,4,0.9999827,2
1.659999,196.3791,9.574558,549.6655,23.28962,4,0.9999818,2
1.679999,196.8474,9.577973,549.7043,23.50159,4,0.9999809,2
1.699999,197.32,9.581493,549.7435,23.71219,4,0.99998,2
1.719999,197.7968,9.585125,549.7827,23.92143,4,0.9999791,2
1.739999,198.2777,9.588869,549.8223,24.12933,4,0.9999781,2
1.759999,198.7627,9.592725,549.8621,24.33589,4,0.9999771,2
1.779999,199.2518,9.596692,549.9021,24.54111,4,0.999976,2
1.799999,199.745,9.600777,549.9423,24.74502,4,0.9999749,2
1.819999,200.2423,9.60498,549.9828,24.94761,4,0.9999738,2
1.839999,200.7435,9.6093,550.0234,25.14889,4,0.9999726,2
1.859999,201.2488,9.613739,550.0643,25.34888,4,0.9999715,2
1.879999,201.758,9.618301,550.1053,25.54757,4,0.9999703,2
1.899999,202.2712,9.622988,550.1466,25.74498,4,0.999969,2
1.919999,202.7883,9.627799,550.188,25.94112,4,0.9999678,2
1.939999,203.3093,9.632735,550.2297,26.13599,4,0.9999664,2
1.959999,203.8342,9.637801,550.2715,26.32959,4,0.9999651,2
1.979999,204.3629,9.642999,550.3135,26.52195,4,0.9999637,2
1.999999,204.8954,9.648325,550.3556,26.71306,4,0.9999623,2
2.019999,205.4317,9.653785,550.3979,26.90294,4,0.9999608,2
