time,x,y,z,speed,wheels,up,trafficNearJoin
0.9199997,-802.9068,8.608797,536.878,14.41002,4,1,2
0.9399996,-802.6132,8.608884,536.8781,14.67911,4,1,2
0.9599997,-802.3143,8.608959,536.8782,14.94649,4,1,2
0.9799997,-802.01,8.609023,536.8784,15.2122,4,1,2
0.9999996,-801.7005,8.609076,536.8785,15.47622,4,1,2
1.02,-801.3857,8.609119,536.8787,15.73859,4,1,2
1.04,-801.0657,8.609152,536.8788,15.99931,4,1,2
1.06,-800.7405,8.609175,536.879,16.25838,4,1,2
1.08,-800.4102,8.609189,536.8793,16.51582,4,1,2
1.1,-800.0748,8.609196,536.8795,16.77164,4,1,2
1.12,-799.7343,8.609195,536.8798,17.02584,4,1,2
1.14,-799.3887,8.609188,536.8801,17.27845,4,1,2
1.16,-799.0381,8.609177,536.8804,17.52946,4,1,2
1.18,-798.6825,8.60916,536.8807,17.7789,4,1,2
1.2,-798.322,8.60914,536.8811,18.02676,4,1,2
1.22,-797.9565,8.609118,536.8815,18.27306,4,1,2
1.24,-797.5861,8.609092,536.882,18.51781,4,1,2
1.26,-797.2109,8.609064,536.8824,18.76102,4,1,2
1.279999,-796.8308,8.609035,536.883,19.0027,4,1,2
1.3,-796.446,8.609003,536.8835,19.24286,4,1,2
1.32,-796.0563,8.60897,536.8842,19.4815,4,1,2
1.34,-795.662,8.608934,536.8848,19.71864,4,1,2
1.36,-795.2629,8.608898,536.8855,19.95429,4,1,2
1.38,-794.8591,8.60886,536.8862,20.18845,4,1,2
1.399999,-794.4507,8.60882,536.887,20.42114,4,1,2
1.419999,-794.0377,8.608778,536.8879,20.65237,4,1,2
1.439999,-793.62,8.608733,536.8888,20.88214,4,1,2
1.459999,-793.1978,8.608686,536.8898,21.11046,4,1,2
1.479999,-792.7711,8.608637,536.8908,21.33735,4,1,2
1.5,-792.3398,8.608584,536.8919,21.56281,4,1,2
1.52,-791.9041,8.608529,536.8931,21.78685,4,1,2
1.539999,-791.4639,8.608471,536.8943,22.00948,4,1,2
1.559999,-791.0192,8.608409,536.8956,22.23071,4,1,2
1.579999,-790.5702,8.608343,536.8969,22.45055,4,1,2
1.599999,-790.1168,8.608274,536.8983,22.669,4,1,2
1.619999,-789.6591,8.6082,536.8998,22.88607,4,1,2
1.639999,-789.197,8.608123,536.9014,23.10179,4,1,2
1.659999,-788.7307,8.608042,536.903,23.31614,4,1,2
1.679999,-788.2601,8.607956,536.9047,23.52915,4,1,2
1.699999,-787.7853,8.607866,536.9066,23.74081,4,1,2
1.719999,-787.3063,8.607772,536.9084,23.95114,4,1,2
1.739999,-786.8231,8.607673,536.9104,24.16015,4,1,2
1.759999,-786.3358,8.60757,536.9125,24.36784,4,1,2
1.779999,-785.8443,8.607462,536.9146,24.57423,4,1,2
1.799999,-785.3487,8.607349,536.9169,24.77931,4,1,2
1.819999,-784.8491,8.607232,536.9193,24.98311,4,1,2
1.839999,-784.3453,8.60711,536.9217,25.18562,4,1,2
1.859999,-783.8376,8.606983,536.9243,25.38687,4,1,2
1.879999,-783.3259,8.606852,536.9269,25.58684,4,1,2
1.899999,-782.8102,8.606714,536.9296,25.78555,4,1,2
1.919999,-782.2905,8.606572,536.9325,25.98302,4,1,2
1.939999,-781.767,8.606425,536.9355,26.17924,4,1,2
1.959999,-781.2395,8.606273,536.9385,26.37423,4,1,2
1.979999,-780.7081,8.606115,536.9417,26.56799,4,1,2
1.999999,-780.1729,8.605952,536.945,26.76052,4,0.9999999,2
2.019999,-779.6339,8.605784,536.9484,26.95186,4,0.9999999,2
2.039999,-779.0911,8.605611,536.952,27.14198,4,0.9999999,2
2.059999,-778.5447,8.605432,536.9556,27.31673,4,0.9999999,2
2.079999,-777.9953,8.605247,536.9594,27.47309,4,0.9999999,2
2.099999,-777.4431,8.605058,536.9632,27.61316,4,0.9999999,2
2.119999,-776.8883,8.604863,536.9672,27.73874,4,0.9999999,2
2.139999,-776.3313,8.604663,536.9713,27.85144,4,0.9999999,2
2.159999,-775.7723,8.604458,536.9755,27.95265,4,0.9999999,2
2.179999,-775.2114,8.604248,536.9798,28.04362,4,0.9999999,2
2.199999,-774.6489,8.604033,536.9842,28.12543,4,0.9999999,2
2.219999,-774.0849,8.603812,536.9887,28.19905,4,0.9999999,2
2.239999,-773.5196,8.603587,536.9933,28.26532,4,0.9999999,2
2.259999,-772.9531,8.603356,536.9981,28.32502,4,0.9999999,2
2.279999,-772.3856,8.603121,537.0029,28.37881,4,0.9999999,2
2.299999,-771.817,8.60288,537.0079,28.42729,4,0.9999999,2
2.319999,-771.2476,8.602635,537.0129,28.47101,4,0.9999999,2
2.339999,-770.6774,8.602386,537.0181,28.51045,4,0.9999999,2
2.359999,-770.1065,8.602132,537.0234,28.54603,4,0.9999999,2
2.379999,-769.535,8.601873,537.0287,28.57814,4,0.9999999,2
2.399999,-768.9628,8.60161,537.0342,28.60712,4,0.9999999,2
2.419999,-768.3902,8.601343,537.0398,28.63329,4,0.9999999,2
