t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,276.802,940.301,119.206,-61.700,29.438,-28.662,5.156,-6.011,0.000,0.000,0.000,1,11.250,0.000,0.994,"Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Mountain trunk:(0.085, 0.000, -0.996);Mountain trunk:(0.085, 0.000, -0.996);Mountain trunk:(0.085, 0.000, -0.996);Mountain trunk:(0.085, 0.000, -0.996);"
0.040,276.299,939.757,119.387,-61.857,28.856,-27.969,8.380,-5.511,1.000,0.000,0.097,1,0.000,4.086,0.986,"Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.060,275.800,939.215,119.587,-62.046,28.474,-27.724,10.374,-4.816,1.000,0.000,0.169,2,2.509,15.784,0.977,"Ground_Mountain_1_2:(-0.204, 0.688, 0.697);Ground_Mountain_1_2:(-0.204, 0.688, 0.697);Ground_Mountain_1_2:(-0.204, 0.688, 0.697);Ground_Mountain_1_2:(-0.204, 0.688, 0.697);Ground_Mountain_1_2:(-0.204, 0.688, 0.697);Ground_Mountain_1_2:(-0.204, 0.688, 0.697);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.080,275.257,938.678,119.785,-62.249,28.508,-27.985,10.072,-4.124,1.000,0.000,0.235,2,0.000,11.580,0.975,"Ground_Mountain_1_2:(-0.206, 0.688, 0.696);Ground_Mountain_1_2:(-0.206, 0.688, 0.696);Ground_Mountain_1_2:(-0.206, 0.688, 0.696);Ground_Mountain_1_2:(-0.206, 0.688, 0.696);Ground_Mountain_1_2:(-0.206, 0.688, 0.696);Ground_Mountain_1_2:(-0.206, 0.688, 0.696);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.100,274.769,938.140,119.970,-62.421,28.878,-28.207,9.528,-3.852,1.000,0.000,0.260,2,0.000,11.757,0.973,"Ground_Mountain_1_2:(-0.203, 0.687, 0.698);Ground_Mountain_1_2:(-0.203, 0.687, 0.698);Ground_Mountain_1_2:(-0.203, 0.687, 0.698);Ground_Mountain_1_2:(-0.203, 0.687, 0.698);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.120,274.280,937.587,120.153,-62.528,29.152,-28.421,8.984,-3.577,1.000,0.000,0.241,2,0.000,10.787,0.965,"Ground_Mountain_1_2:(-0.203, 0.688, 0.697);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.140,273.779,937.027,120.327,-62.608,29.249,-28.410,8.785,-3.576,1.000,0.000,0.222,1,0.000,4.941,0.949,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.160,273.273,936.457,120.490,-62.656,29.281,-28.399,8.585,-3.574,1.000,0.000,0.213,0,0.000,5.037,0.922,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.180,272.733,935.886,120.645,-62.703,29.300,-28.387,8.385,-3.573,1.000,0.000,0.231,0,0.000,5.226,0.888,""
0.200,272.217,935.315,120.796,-62.751,29.312,-28.376,8.186,-3.571,1.000,0.000,0.255,0,0.000,5.404,0.850,""
0.220,271.700,934.745,120.941,-62.800,29.316,-28.365,7.987,-3.570,1.000,0.000,0.278,0,0.000,5.560,0.808,""
0.240,271.181,934.174,121.081,-62.852,29.314,-28.353,7.787,-3.568,1.000,0.000,0.303,0,0.000,5.693,0.764,""
0.260,270.654,933.604,121.217,-62.905,29.306,-28.342,7.588,-3.567,1.000,0.000,0.328,0,0.000,5.802,0.717,""
