t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,601.973,963.148,163.877,133.687,31.700,26.640,-0.069,-17.182,0.000,0.000,0.055,4,7.113,1.128,1.000,"Mountain trunk:(-0.890, -0.404, 0.210);Mountain trunk:(0.244, -0.033, 0.969);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.890, -0.404, 0.210);Mountain trunk:(0.244, -0.033, 0.969);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.890, -0.404, 0.210);Mountain trunk:(0.244, -0.033, 0.969);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.890, -0.404, 0.210);Mountain trunk:(0.244, -0.033, 0.969);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.890, -0.404, 0.210);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.890, -0.404, 0.210);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.890, -0.404, 0.210);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.890, -0.404, 0.210);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.890, -0.404, 0.210);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.890, -0.404, 0.210);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.887, -0.411, 0.211);Mountain trunk:(-0.887, -0.411, 0.211);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.887, -0.411, 0.211);Mountain trunk:(-0.887, -0.411, 0.211);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.887, -0.411, 0.211);Mountain trunk:(-0.887, -0.411, 0.211);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.887, -0.411, 0.211);Mountain trunk:(-0.887, -0.411, 0.211);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.887, -0.411, 0.211);Mountain trunk:(-0.887, -0.411, 0.211);Mountain trunk:(0.244, -0.033, 0.969);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.887, -0.411, 0.211);Mountain trunk:(-0.887, -0.411, 0.211);Mountain trunk:(0.250, -0.040, 0.967);Mountain trunk:(0.250, -0.040, 0.967);Mountain trunk:(0.250, -0.040, 0.967);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Mountain trunk:(-0.884, -0.418, 0.211);Mountain trunk:(-0.884, -0.418, 0.211);Mountain trunk:(0.250, -0.040, 0.967);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Mountain trunk:(-0.884, -0.418, 0.211);Mountain trunk:(-0.884, -0.418, 0.211);Mountain trunk:(0.250, -0.040, 0.967);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Mountain trunk:(-0.884, -0.418, 0.211);Mountain trunk:(-0.884, -0.418, 0.211);Mountain trunk:(0.250, -0.040, 0.967);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Mountain trunk:(-0.884, -0.418, 0.211);Mountain trunk:(-0.884, -0.418, 0.211);Mountain trunk:(0.250, -0.040, 0.967);Ground_Mountain_2_2:(0.660, 0.726, -0.194);Ground_Mountain_2_2:(0.816, 0.555, -0.160);Ground_Mountain_2_2:(0.816, 0.555, -0.160);"
0.040,601.341,963.679,163.876,133.344,31.701,26.640,-0.054,-17.186,0.150,0.000,0.058,4,10.500,0.092,1.000,""
0.060,600.709,964.210,163.876,133.001,31.701,26.637,0.015,-17.193,0.149,0.000,0.061,4,13.255,0.452,1.000,""
0.080,600.059,964.742,163.879,132.658,31.700,26.628,0.125,-17.205,0.149,0.000,0.064,4,15.279,0.619,1.000,""
0.100,599.426,965.273,163.884,132.314,31.699,26.614,0.260,-17.223,0.150,0.000,0.066,4,16.535,0.630,1.000,""
0.120,598.793,965.805,163.892,131.969,31.698,26.594,0.403,-17.247,0.150,0.000,0.068,4,16.940,0.664,1.000,""
0.140,598.143,966.336,163.903,131.624,31.696,26.569,0.539,-17.278,0.151,0.000,0.070,4,16.602,0.550,1.000,""
0.160,597.510,966.867,163.916,131.278,31.694,26.540,0.654,-17.316,0.152,0.000,0.071,4,15.597,0.408,1.000,""
0.180,596.876,967.397,163.931,130.930,31.692,26.506,0.741,-17.362,0.153,0.000,0.073,4,14.174,0.282,1.000,""
0.200,596.242,967.927,163.947,130.582,31.690,26.468,0.795,-17.416,0.154,0.000,0.074,4,12.486,0.136,1.000,""
