t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,278.149,941.790,124.945,-76.510,15.855,-15.799,0.100,-1.350,0.000,0.000,0.001,2,13.303,2.607,1.000,"Ground_Mountain_1_1:(-0.210, 0.978, -0.018);Ground_Mountain_1_1:(-0.210, 0.978, -0.018);Ground_Mountain_1_1:(-0.210, 0.978, -0.018);Ground_Mountain_1_1:(-0.210, 0.978, -0.018);Ground_Mountain_1_1:(-0.210, 0.978, -0.018);Ground_Mountain_1_1:(-0.210, 0.978, -0.018);"
0.040,277.837,941.470,124.946,-76.538,15.861,-15.808,0.054,-1.351,0.072,0.000,0.001,2,7.650,0.928,1.000,""
0.060,277.533,941.149,124.945,-76.565,15.867,-15.816,-0.083,-1.352,0.069,0.000,0.001,2,3.115,0.075,0.999,""
0.080,277.219,940.827,124.939,-76.592,15.876,-15.823,-0.282,-1.352,0.066,0.000,0.001,2,0.000,0.544,0.999,""
0.100,276.904,940.506,124.929,-76.620,15.886,-15.828,-0.481,-1.353,0.062,0.000,0.001,2,0.000,0.649,0.998,""
0.120,276.588,940.185,124.915,-76.647,15.886,-15.822,-0.676,-1.352,0.057,0.000,0.001,0,0.000,0.605,0.997,""
0.140,276.272,939.865,124.897,-76.675,15.889,-15.815,-0.872,-1.351,0.057,0.000,0.001,0,0.000,0.622,0.996,""
0.160,275.954,939.544,124.875,-76.702,15.895,-15.809,-1.068,-1.351,0.055,0.000,0.001,0,0.000,0.639,0.995,""
0.180,275.636,939.224,124.850,-76.730,15.903,-15.803,-1.264,-1.350,0.053,0.000,0.000,0,0.000,0.654,0.994,""
0.200,275.330,938.904,124.820,-76.757,15.914,-15.797,-1.459,-1.350,0.048,0.000,0.000,0,0.000,0.669,0.993,""
0.220,275.011,938.584,124.786,-76.784,15.927,-15.790,-1.655,-1.349,0.043,0.000,0.000,0,0.000,0.682,0.991,""
0.240,274.692,938.265,124.749,-76.811,15.943,-15.784,-1.850,-1.349,0.036,0.000,0.000,0,0.000,0.695,0.990,""
0.260,274.371,937.946,124.707,-76.839,15.961,-15.778,-2.046,-1.348,0.029,0.000,0.000,0,0.000,0.707,0.988,""
0.280,274.050,937.627,124.662,-76.866,15.982,-15.771,-2.241,-1.348,0.019,0.000,0.000,0,0.000,0.718,0.986,""
0.300,273.729,937.308,124.613,-76.893,16.005,-15.765,-2.436,-1.347,0.009,0.000,0.000,0,0.000,0.729,0.985,""
0.320,273.406,936.989,124.559,-76.920,16.030,-15.759,-2.631,-1.347,0.000,0.000,0.000,0,0.000,0.738,0.983,""
0.340,273.083,936.671,124.502,-76.948,16.058,-15.752,-2.826,-1.346,0.000,0.000,0.000,0,0.000,0.747,0.981,""
0.360,272.772,936.353,124.441,-76.975,16.088,-15.746,-3.021,-1.346,0.000,0.000,0.000,0,0.000,0.754,0.979,""
0.380,272.448,936.035,124.376,-77.002,16.120,-15.740,-3.216,-1.345,0.000,0.000,0.000,0,0.000,0.761,0.978,""
0.400,272.123,935.718,124.307,-77.029,16.155,-15.733,-3.411,-1.344,0.000,0.000,-0.001,0,0.000,0.767,0.976,""
0.420,271.797,935.401,124.235,-77.056,16.191,-15.727,-3.606,-1.344,0.000,0.000,-0.001,0,0.000,0.773,0.974,""
0.440,271.470,935.084,124.158,-77.083,16.229,-15.721,-3.801,-1.343,0.000,0.000,-0.001,0,0.000,0.777,0.972,""
0.460,271.143,934.767,124.078,-77.110,16.270,-15.715,-3.995,-1.343,0.000,0.000,-0.001,0,0.000,0.781,0.971,""
0.480,270.815,934.450,123.993,-77.137,16.312,-15.708,-4.190,-1.342,0.000,0.000,-0.001,0,0.000,0.784,0.969,""
