t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,276.783,940.265,119.136,-61.531,30.123,-29.141,2.366,-7.651,0.000,0.000,0.000,1,11.250,0.000,0.994,"Mountain trunk:(0.932, 0.001, -0.361);Mountain trunk:(0.932, 0.001, -0.361);Mountain trunk:(0.932, 0.001, -0.361);Mountain trunk:(0.932, 0.001, -0.361);Mountain trunk:(0.932, 0.001, -0.361);Mountain trunk:(0.932, 0.001, -0.361);Mountain trunk:(0.932, 0.001, -0.361);Mountain trunk:(0.932, 0.001, -0.361);Mountain trunk:(0.930, 0.008, -0.367);Mountain trunk:(0.930, 0.008, -0.367);Mountain trunk:(0.930, 0.008, -0.367);Mountain trunk:(0.930, 0.008, -0.367);Mountain trunk:(0.930, 0.008, -0.367);Mountain trunk:(0.930, 0.008, -0.367);Mountain trunk:(0.930, 0.008, -0.367);Mountain trunk:(0.930, 0.008, -0.367);Mountain trunk:(0.930, 0.018, -0.368);Mountain trunk:(0.930, 0.018, -0.368);Mountain trunk:(0.930, 0.018, -0.368);Mountain trunk:(0.930, 0.018, -0.368);Mountain trunk:(0.930, 0.018, -0.368);Mountain trunk:(0.930, 0.018, -0.368);Mountain trunk:(0.930, 0.018, -0.368);Mountain trunk:(0.929, 0.025, -0.369);Mountain trunk:(0.929, 0.025, -0.369);Mountain trunk:(0.929, 0.025, -0.369);Mountain trunk:(0.085, 0.000, -0.996);Mountain trunk:(0.085, 0.000, -0.996);Mountain trunk:(0.085, 0.000, -0.996);Mountain trunk:(0.085, 0.000, -0.996);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);Ground_Mountain_1_2:(-0.197, 0.682, 0.704);"
0.040,276.263,939.692,119.263,-61.632,30.103,-28.926,2.849,-7.892,0.939,0.000,0.086,1,7.211,2.863,0.984,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.200, 0.684, 0.702);Ground_Mountain_1_2:(-0.195, 0.687, 0.700);"
0.060,275.728,939.119,119.321,-61.810,30.076,-29.023,2.954,-7.821,0.948,0.000,0.179,2,17.395,17.677,0.983,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Ground_Mountain_1_2:(-0.202, 0.686, 0.700);Ground_Mountain_1_2:(-0.202, 0.686, 0.700);Ground_Mountain_1_2:(-0.202, 0.686, 0.700);Ground_Mountain_1_2:(-0.202, 0.686, 0.700);"
0.080,275.121,938.553,119.389,-62.020,30.021,-29.027,3.412,-7.832,0.962,0.000,0.252,2,16.847,15.295,0.983,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Ground_Mountain_1_2:(-0.205, 0.688, 0.697);Ground_Mountain_1_2:(-0.205, 0.688, 0.697);Ground_Mountain_1_2:(-0.205, 0.688, 0.697);Ground_Mountain_1_2:(-0.205, 0.688, 0.697);Ground_Mountain_1_2:(-0.205, 0.688, 0.697);Ground_Mountain_1_2:(-0.205, 0.688, 0.697);"
0.100,274.573,937.985,119.464,-62.230,30.067,-28.981,3.757,-8.064,0.990,0.000,0.292,2,12.785,11.711,0.984,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Ground_Mountain_1_2:(-0.209, 0.689, 0.694);Ground_Mountain_1_2:(-0.209, 0.689, 0.694);Ground_Mountain_1_2:(-0.209, 0.689, 0.694);Ground_Mountain_1_2:(-0.209, 0.689, 0.694);Ground_Mountain_1_2:(-0.209, 0.689, 0.694);Ground_Mountain_1_2:(-0.209, 0.689, 0.694);"
0.120,274.024,937.414,119.543,-62.431,30.145,-28.934,4.032,-8.296,0.967,0.000,0.309,2,9.776,10.074,0.984,"Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);Mountain trunk:(0.000, 0.000, -1.000);"
0.140,273.473,936.831,119.627,-62.600,30.103,-28.905,4.200,-8.502,0.927,0.000,0.318,2,6.514,8.694,0.984,"Mountain trunk:(-0.916, 0.000, -0.402);"
0.160,272.886,936.249,119.713,-62.773,30.074,-28.864,4.315,-8.745,0.949,0.000,0.348,2,2.465,7.553,0.983,""
0.180,272.331,935.666,119.800,-62.951,30.061,-28.810,4.397,-9.017,0.963,0.000,0.372,2,0.281,6.376,0.982,""
0.200,271.775,935.084,119.889,-63.134,30.062,-28.766,4.455,-9.275,0.970,0.000,0.390,2,0.000,5.829,0.981,""
