course,vehicle,lip,direction,target,line,completed,minUp,recovered,awards
StreetLoopGreybox,original,213,-1,16,0,True,0.883,True,0
StreetLoopGreybox,original,213,-1,16,-2,True,0.885,True,0
StreetLoopGreybox,original,213,-1,16,2,True,0.880,True,0
StreetLoopGreybox,original,213,-1,16,-15.075,False,0.427,True,0
StreetLoopGreybox,original,213,-1,16,15.075,True,0.378,True,0
StreetLoopGreybox,original,213,-1,24,0,True,-0.105,True,0
StreetLoopGreybox,original,213,-1,24,-2,True,-0.176,True,0
StreetLoopGreybox,original,213,-1,24,2,True,0.875,True,0
StreetLoopGreybox,original,213,-1,24,-15.075,False,-0.355,True,0
StreetLoopGreybox,original,213,-1,24,15.075,False,-0.989,True,0
StreetLoopGreybox,original,213,-1,32,0,True,0.519,True,0
StreetLoopGreybox,original,213,-1,32,-2,True,0.675,True,0
StreetLoopGreybox,original,213,-1,32,2,False,-0.363,True,0
StreetLoopGreybox,original,213,-1,32,-15.075,True,0.872,True,0
StreetLoopGreybox,original,213,-1,32,15.075,True,0.314,True,0
StreetLoopGreybox,original,537,-1,16,0,True,0.838,True,0
StreetLoopGreybox,original,537,-1,16,-2,True,0.835,True,0
StreetLoopGreybox,original,537,-1,16,2,True,0.835,True,0
StreetLoopGreybox,original,537,-1,16,-6.075,True,0.834,True,0
StreetLoopGreybox,original,537,-1,16,6.075,True,0.838,True,0
StreetLoopGreybox,original,537,-1,24,0,True,0.840,True,0
StreetLoopGreybox,original,537,-1,24,-2,True,0.821,True,0
StreetLoopGreybox,original,537,-1,24,2,True,0.832,True,0
StreetLoopGreybox,original,537,-1,24,-6.075,True,0.831,True,0
StreetLoopGreybox,original,537,-1,24,6.075,True,0.806,True,0
StreetLoopGreybox,original,537,-1,32,0,False,0.361,True,0
StreetLoopGreybox,original,537,-1,32,-2,False,-0.231,True,0
StreetLoopGreybox,original,537,-1,32,2,False,0.513,True,0
StreetLoopGreybox,original,537,-1,32,-6.075,False,-0.683,True,0
StreetLoopGreybox,original,537,-1,32,6.075,False,0.819,True,0
StreetLoopGreybox,tourer,213,-1,16,0,True,0.885,True,0
StreetLoopGreybox,tourer,213,-1,16,-2,True,0.888,True,0
StreetLoopGreybox,tourer,213,-1,16,2,True,0.883,True,0
StreetLoopGreybox,tourer,213,-1,16,-15,True,0.371,True,0
StreetLoopGreybox,tourer,213,-1,16,15,False,0.430,True,0
StreetLoopGreybox,tourer,213,-1,24,0,True,-0.182,True,0
StreetLoopGreybox,tourer,213,-1,24,-2,False,-0.182,True,0
StreetLoopGreybox,tourer,213,-1,24,2,False,0.456,True,0
StreetLoopGreybox,tourer,213,-1,24,-15,False,-0.176,True,0
StreetLoopGreybox,tourer,213,-1,24,15,False,-0.368,True,0
StreetLoopGreybox,tourer,213,-1,32,0,False,0.589,True,0
StreetLoopGreybox,tourer,213,-1,32,-2,False,0.244,True,0
StreetLoopGreybox,tourer,213,-1,32,2,False,0.723,True,0
StreetLoopGreybox,tourer,213,-1,32,-15,True,-0.154,True,0
StreetLoopGreybox,tourer,213,-1,32,15,True,0.392,True,0
StreetLoopGreybox,tourer,537,-1,16,0,True,0.841,True,0
StreetLoopGreybox,tourer,537,-1,16,-2,True,0.838,True,0
StreetLoopGreybox,tourer,537,-1,16,2,True,0.838,True,0
StreetLoopGreybox,tourer,537,-1,16,-6,True,0.838,True,0
StreetLoopGreybox,tourer,537,-1,16,6,True,0.842,True,0
StreetLoopGreybox,tourer,537,-1,24,0,True,0.835,True,0
StreetLoopGreybox,tourer,537,-1,24,-2,True,0.845,True,0
StreetLoopGreybox,tourer,537,-1,24,2,True,0.836,True,0
StreetLoopGreybox,tourer,537,-1,24,-6,True,0.835,True,0
StreetLoopGreybox,tourer,537,-1,24,6,True,0.836,True,0
StreetLoopGreybox,tourer,537,-1,32,0,False,0.025,True,0
StreetLoopGreybox,tourer,537,-1,32,-2,False,-0.254,True,0
StreetLoopGreybox,tourer,537,-1,32,2,True,-0.579,True,0
StreetLoopGreybox,tourer,537,-1,32,-6,True,0.840,True,0
StreetLoopGreybox,tourer,537,-1,32,6,False,-0.788,True,0
StreetLoopGreybox,moto,213,-1,16,0,True,0.848,True,0
StreetLoopGreybox,moto,213,-1,16,-2,True,0.832,True,0
StreetLoopGreybox,moto,213,-1,16,2,True,0.872,True,0
StreetLoopGreybox,moto,213,-1,16,-15.675,False,0.210,True,0
StreetLoopGreybox,moto,213,-1,16,15.675,False,-0.405,True,0
StreetLoopGreybox,moto,213,-1,24,0,False,0.152,True,0
StreetLoopGreybox,moto,213,-1,24,-2,False,-0.181,True,0
StreetLoopGreybox,moto,213,-1,24,2,False,-0.103,True,0
StreetLoopGreybox,moto,213,-1,24,-15.675,False,-0.083,True,0
StreetLoopGreybox,moto,213,-1,24,15.675,False,0.442,True,0
StreetLoopGreybox,moto,213,-1,32,0,True,0.381,True,0
StreetLoopGreybox,moto,213,-1,32,-2,True,0.139,True,0
StreetLoopGreybox,moto,213,-1,32,2,True,0.478,True,0
StreetLoopGreybox,moto,213,-1,32,-15.675,False,0.665,True,0
StreetLoopGreybox,moto,213,-1,32,15.675,False,-0.464,True,0
StreetLoopGreybox,moto,537,-1,16,0,True,0.824,True,0
StreetLoopGreybox,moto,537,-1,16,-2,True,0.820,True,0
StreetLoopGreybox,moto,537,-1,16,2,True,0.800,True,0
StreetLoopGreybox,moto,537,-1,16,-6.675,True,0.833,True,0
StreetLoopGreybox,moto,537,-1,16,6.675,True,0.822,True,0
StreetLoopGreybox,moto,537,-1,24,0,True,0.806,True,0
StreetLoopGreybox,moto,537,-1,24,-2,True,0.813,True,0
StreetLoopGreybox,moto,537,-1,24,2,True,0.357,True,0
StreetLoopGreybox,moto,537,-1,24,-6.675,True,0.835,True,0
StreetLoopGreybox,moto,537,-1,24,6.675,False,0.697,True,0
StreetLoopGreybox,moto,537,-1,32,0,False,0.087,True,0
StreetLoopGreybox,moto,537,-1,32,-2,False,0.380,True,0
StreetLoopGreybox,moto,537,-1,32,2,False,0.817,True,0
StreetLoopGreybox,moto,537,-1,32,-6.675,True,0.602,True,0
StreetLoopGreybox,moto,537,-1,32,6.675,False,0.807,True,0
StreetLoopGreybox,atv,213,-1,16,0,True,0.858,True,0
StreetLoopGreybox,atv,213,-1,16,-2,True,0.861,True,0
StreetLoopGreybox,atv,213,-1,16,2,True,0.875,True,0
StreetLoopGreybox,atv,213,-1,16,-15.275,False,0.300,True,0
StreetLoopGreybox,atv,213,-1,16,15.275,False,0.130,True,0
StreetLoopGreybox,atv,213,-1,24,0,True,0.565,True,0
StreetLoopGreybox,atv,213,-1,24,-2,True,0.647,True,0
StreetLoopGreybox,atv,213,-1,24,2,False,-0.449,True,0
StreetLoopGreybox,atv,213,-1,24,-15.275,False,0.228,True,0
StreetLoopGreybox,atv,213,-1,24,15.275,False,-0.330,True,0
StreetLoopGreybox,atv,213,-1,32,0,False,0.333,True,0
StreetLoopGreybox,atv,213,-1,32,-2,True,0.733,True,0
StreetLoopGreybox,atv,213,-1,32,2,True,0.456,True,0
StreetLoopGreybox,atv,213,-1,32,-15.275,False,0.312,True,0
StreetLoopGreybox,atv,213,-1,32,15.275,False,-0.241,True,0
StreetLoopGreybox,atv,537,-1,16,0,True,0.830,True,0
StreetLoopGreybox,atv,537,-1,16,-2,True,0.831,True,0
StreetLoopGreybox,atv,537,-1,16,2,True,0.837,True,0
StreetLoopGreybox,atv,537,-1,16,-6.275,True,0.830,True,0
StreetLoopGreybox,atv,537,-1,16,6.275,True,0.825,True,0
StreetLoopGreybox,atv,537,-1,24,0,True,0.821,True,0
StreetLoopGreybox,atv,537,-1,24,-2,True,0.820,True,0
StreetLoopGreybox,atv,537,-1,24,2,False,0.740,True,0
StreetLoopGreybox,atv,537,-1,24,-6.275,True,0.830,True,0
StreetLoopGreybox,atv,537,-1,24,6.275,True,0.704,True,0
StreetLoopGreybox,atv,537,-1,32,0,False,-0.372,True,0
StreetLoopGreybox,atv,537,-1,32,-2,False,0.691,True,0
StreetLoopGreybox,atv,537,-1,32,2,False,0.412,True,0
StreetLoopGreybox,atv,537,-1,32,-6.275,False,0.481,True,0
StreetLoopGreybox,atv,537,-1,32,6.275,True,0.452,True,0
