t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,601.973,963.965,163.879,135.540,15.850,13.320,-0.062,-8.591,0.000,0.000,0.038,4,7.071,1.113,1.000,"Ground_Mountain_0_1:(-0.057, 0.576, -0.815);Ground_Mountain_0_1:(-0.057, 0.576, -0.815);Ground_Mountain_0_1:(-0.057, 0.576, -0.815);Ground_Mountain_0_1:(-0.057, 0.576, -0.815);Ground_Mountain_0_1:(-0.100, 0.572, -0.814);Ground_Mountain_0_1:(-0.100, 0.572, -0.814);Ground_Mountain_0_1:(-0.100, 0.572, -0.814);Ground_Mountain_0_1:(-0.049, 0.558, -0.828);Ground_Mountain_0_1:(-0.059, 0.582, -0.811);"
0.040,601.657,964.230,163.877,135.369,15.856,13.325,-0.077,-8.596,0.075,0.000,0.040,4,9.026,0.086,1.000,""
0.060,601.342,964.496,163.876,135.198,15.861,13.329,-0.057,-8.600,0.072,0.000,0.042,4,10.758,0.380,1.000,""
0.080,601.027,964.761,163.876,135.026,15.864,13.330,-0.010,-8.605,0.070,0.000,0.043,4,12.145,0.636,1.000,""
0.100,600.712,965.026,163.877,134.855,15.866,13.329,0.058,-8.610,0.068,0.000,0.045,4,13.206,0.724,1.000,""
0.120,600.396,965.292,163.880,134.683,15.867,13.325,0.139,-8.617,0.067,0.000,0.046,4,13.829,0.620,1.000,""
0.140,600.088,965.558,163.884,134.511,15.868,13.319,0.225,-8.624,0.067,0.000,0.047,4,14.123,0.574,1.000,""
0.160,599.771,965.823,163.890,134.339,15.868,13.312,0.311,-8.633,0.066,0.000,0.047,4,14.095,0.413,1.000,""
0.180,599.454,966.089,163.898,134.166,15.869,13.303,0.391,-8.644,0.066,0.000,0.048,4,13.803,0.388,1.000,""
0.200,599.137,966.355,163.907,133.993,15.869,13.293,0.461,-8.656,0.066,0.000,0.049,4,13.281,0.218,1.000,""
0.220,598.820,966.621,163.918,133.819,15.869,13.282,0.517,-8.669,0.066,0.000,0.050,4,12.639,0.169,1.000,""
0.240,598.502,966.886,163.929,133.645,15.869,13.271,0.559,-8.685,0.066,0.000,0.050,4,11.903,0.082,1.000,""
0.260,598.185,967.152,163.941,133.471,15.869,13.260,0.585,-8.702,0.065,0.000,0.051,4,11.121,0.049,1.000,""
0.280,597.877,967.417,163.952,133.297,15.869,13.248,0.595,-8.720,0.065,0.000,0.051,4,10.325,0.050,1.000,""
0.300,597.559,967.683,163.964,133.121,15.870,13.235,0.590,-8.740,0.065,0.000,0.051,4,9.561,0.041,1.000,""
0.320,597.241,967.948,163.976,132.946,15.870,13.223,0.571,-8.762,0.065,0.000,0.051,4,8.878,0.128,1.000,""
0.340,596.923,968.212,163.986,132.770,15.871,13.210,0.540,-8.785,0.065,0.000,0.052,4,8.247,0.131,1.000,""
0.360,596.605,968.477,163.996,132.593,15.872,13.197,0.498,-8.809,0.064,0.000,0.052,4,7.730,0.203,1.000,""
0.380,596.287,968.741,164.005,132.416,15.874,13.184,0.447,-8.833,0.064,0.000,0.052,4,7.282,0.192,1.000,""
0.400,595.980,969.005,164.013,132.239,15.875,13.170,0.390,-8.859,0.063,0.000,0.052,4,6.952,0.196,1.000,""
0.420,595.661,969.269,164.020,132.061,15.877,13.156,0.327,-8.886,0.062,0.000,0.052,4,6.656,0.219,1.000,""
0.440,595.343,969.532,164.025,131.882,15.880,13.141,0.260,-8.913,0.061,0.000,0.052,4,6.478,0.247,1.000,""
0.460,595.025,969.795,164.029,131.703,15.882,13.126,0.191,-8.941,0.060,0.000,0.052,4,6.353,0.195,1.000,""
0.480,594.707,970.058,164.031,131.523,15.885,13.111,0.120,-8.969,0.059,0.000,0.052,4,6.280,0.175,1.000,""
0.500,594.388,970.321,164.032,131.343,15.888,13.096,0.049,-8.998,0.058,0.000,0.052,4,6.246,0.203,1.000,""
0.520,594.070,970.583,164.032,131.162,15.891,13.080,-0.022,-9.027,0.056,0.000,0.052,4,6.284,0.185,1.000,""
0.540,593.760,970.845,164.030,130.980,15.894,13.063,-0.091,-9.057,0.055,0.000,0.052,4,6.372,0.219,1.000,""
0.560,593.441,971.106,164.027,130.798,15.898,13.046,-0.157,-9.086,0.053,0.000,0.052,4,6.499,0.184,1.000,""
0.580,593.122,971.367,164.022,130.615,15.901,13.029,-0.220,-9.116,0.051,0.000,0.052,4,6.661,0.229,1.000,""
0.600,592.804,971.626,164.017,130.434,15.762,12.896,-0.277,-9.063,0.049,0.000,0.052,4,6.874,0.214,1.000,""
0.620,592.488,971.884,164.010,130.251,15.779,12.889,-0.331,-9.101,0.119,0.000,0.052,4,7.078,0.248,1.000,""
0.640,592.171,972.143,164.003,130.068,15.795,12.881,-0.382,-9.138,0.110,0.000,0.052,4,7.293,0.207,1.000,""
0.660,591.867,972.401,163.994,129.884,15.810,12.873,-0.429,-9.175,0.102,0.000,0.051,4,7.499,0.210,1.000,""
0.680,591.550,972.658,163.985,129.700,15.824,12.862,-0.471,-9.211,0.095,0.000,0.051,4,7.699,0.209,1.000,""
0.700,591.233,972.916,163.974,129.514,15.837,12.852,-0.510,-9.247,0.088,0.000,0.051,4,7.883,0.209,1.000,""
0.720,590.916,973.173,163.963,129.328,15.849,12.840,-0.546,-9.282,0.081,0.000,0.051,4,8.020,0.168,1.000,""
0.740,590.598,973.430,163.952,129.142,15.861,12.827,-0.579,-9.317,0.075,0.000,0.051,4,8.174,0.208,1.000,""
0.760,590.280,973.687,163.940,128.954,15.871,12.814,-0.608,-9.351,0.070,0.000,0.050,4,8.340,0.188,1.000,""
0.780,589.962,973.943,163.927,128.766,15.881,12.800,-0.635,-9.385,0.064,0.000,0.050,4,8.494,0.215,1.000,""
0.800,589.650,974.200,163.914,128.577,15.891,12.786,-0.659,-9.419,0.059,0.000,0.050,4,8.624,0.193,1.000,""
0.820,589.332,974.456,163.900,128.388,15.899,12.771,-0.680,-9.452,0.055,0.000,0.049,4,8.754,0.220,1.000,""
0.840,589.013,974.711,163.886,128.198,15.908,12.756,-0.699,-9.485,0.050,0.000,0.049,4,8.873,0.213,1.000,""
0.860,588.695,974.964,163.872,128.009,15.772,12.626,-0.710,-9.431,0.046,0.000,0.049,4,8.956,0.167,1.000,""
0.880,588.379,975.217,163.857,127.819,15.793,12.621,-0.727,-9.471,0.114,0.000,0.049,4,8.987,0.162,1.000,""
0.900,588.062,975.470,163.843,127.629,15.812,12.615,-0.743,-9.510,0.104,0.000,0.048,4,9.056,0.192,0.999,""
0.920,587.753,975.722,163.827,127.438,15.830,12.607,-0.757,-9.548,0.094,0.000,0.048,4,9.119,0.152,0.999,""
0.940,587.436,975.974,163.812,127.246,15.846,12.598,-0.771,-9.586,0.085,0.000,0.048,4,9.153,0.160,0.999,""
0.960,587.118,976.227,163.796,127.053,15.861,12.588,-0.784,-9.622,0.077,0.000,0.047,4,9.164,0.135,0.999,""
0.980,586.800,976.478,163.780,126.859,15.875,12.577,-0.797,-9.657,0.070,0.000,0.047,4,9.188,0.159,0.999,""
1.000,586.482,976.730,163.764,126.665,15.887,12.565,-0.809,-9.692,0.063,0.000,0.047,4,9.212,0.156,0.999,""
1.020,586.164,976.981,163.748,126.470,15.899,12.553,-0.821,-9.726,0.056,0.000,0.047,4,9.233,0.150,0.999,""
1.040,585.846,977.233,163.731,126.275,15.910,12.540,-0.833,-9.760,0.051,0.000,0.046,4,9.245,0.172,0.999,""
1.060,585.534,977.481,163.714,126.080,15.777,12.415,-0.837,-9.703,0.045,0.000,0.046,4,9.266,0.156,0.999,""
1.080,585.218,977.730,163.697,125.885,15.800,12.411,-0.849,-9.744,0.112,0.000,0.046,4,9.272,0.128,0.999,""
1.100,584.901,977.978,163.680,125.689,15.821,12.406,-0.860,-9.783,0.100,0.000,0.045,4,9.281,0.144,0.999,""
1.120,584.584,978.226,163.663,125.493,15.840,12.399,-0.872,-9.821,0.090,0.000,0.045,4,9.271,0.108,0.999,""
1.140,584.267,978.474,163.645,125.295,15.857,12.392,-0.883,-9.858,0.080,0.000,0.045,4,9.253,0.111,0.999,""
1.160,583.950,978.722,163.627,125.097,15.873,12.383,-0.895,-9.894,0.071,0.000,0.045,4,9.239,0.104,0.999,""
1.180,583.632,978.970,163.609,124.898,15.888,12.373,-0.907,-9.928,0.063,0.000,0.044,4,9.231,0.098,0.999,""
1.200,583.319,979.217,163.590,124.699,15.902,12.362,-0.920,-9.962,0.056,0.000,0.044,4,9.229,0.114,0.999,""
1.220,583.000,979.463,163.572,124.501,15.771,12.241,-0.923,-9.904,0.049,0.000,0.044,4,9.246,0.125,0.999,""
1.240,582.685,979.707,163.553,124.301,15.796,12.239,-0.935,-9.945,0.115,0.000,0.043,4,9.275,0.127,0.999,""
1.260,582.368,979.952,163.534,124.102,15.819,12.236,-0.946,-9.984,0.102,0.000,0.043,4,9.312,0.115,0.999,""
1.280,582.052,980.197,163.515,123.901,15.840,12.231,-0.957,-10.022,0.091,0.000,0.043,4,9.320,0.096,0.999,""
1.300,581.735,980.442,163.496,123.700,15.859,12.225,-0.967,-10.058,0.080,0.000,0.042,4,9.334,0.108,0.999,""
1.320,581.417,980.686,163.476,123.497,15.876,12.217,-0.976,-10.093,0.071,0.000,0.042,4,9.358,0.090,0.998,""
1.340,581.104,980.931,163.456,123.295,15.892,12.209,-0.986,-10.128,0.062,0.000,0.042,4,9.361,0.072,0.998,""
1.360,580.786,981.175,163.437,123.091,15.906,12.200,-0.995,-10.161,0.054,0.000,0.041,4,9.363,0.081,0.998,""
1.380,580.467,981.417,163.417,122.889,15.776,12.081,-0.996,-10.100,0.047,0.000,0.041,4,9.383,0.085,0.998,""
1.400,580.151,981.659,163.397,122.686,15.802,12.080,-1.005,-10.140,0.112,0.000,0.041,4,9.412,0.087,0.998,""
1.420,579.835,981.900,163.376,122.483,15.825,12.078,-1.013,-10.178,0.099,0.000,0.040,4,9.454,0.084,0.998,""
1.440,579.518,982.142,163.356,122.278,15.847,12.074,-1.020,-10.215,0.087,0.000,0.040,4,9.497,0.078,0.998,""
1.460,579.205,982.383,163.335,122.073,15.866,12.069,-1.026,-10.250,0.077,0.000,0.040,4,9.538,0.068,0.998,""
1.480,578.887,982.625,163.315,121.867,15.884,12.062,-1.032,-10.284,0.067,0.000,0.039,4,9.571,0.067,0.998,""
1.500,578.569,982.866,163.294,121.661,15.900,12.055,-1.036,-10.317,0.058,0.000,0.039,4,9.609,0.061,0.998,""
1.520,578.251,983.107,163.273,121.454,15.914,12.046,-1.040,-10.349,0.050,0.000,0.038,4,9.642,0.052,0.998,""
1.540,577.933,983.346,163.252,121.248,15.784,11.930,-1.035,-10.286,0.043,0.000,0.038,4,9.667,0.047,0.998,""
1.560,577.617,983.584,163.232,121.041,15.810,11.930,-1.038,-10.325,0.108,0.000,0.038,4,9.692,0.046,0.998,""
1.580,577.301,983.823,163.211,120.834,15.833,11.928,-1.041,-10.362,0.095,0.000,0.037,4,9.727,0.053,0.998,""
1.600,576.986,984.061,163.190,120.626,15.855,11.925,-1.043,-10.397,0.083,0.000,0.037,4,9.764,0.045,0.998,""
