t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,601.973,965.316,163.875,137.049,31.700,26.639,-0.059,-17.182,0.000,0.000,0.046,4,7.516,0.539,1.000,"Mountain trunk:(0.062, -0.278, -0.959);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(0.055, -0.275, -0.960);Mountain trunk:(0.055, -0.275, -0.960);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(0.055, -0.275, -0.960);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(0.055, -0.275, -0.960);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(0.055, -0.275, -0.960);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(0.050, -0.269, -0.962);Mountain trunk:(0.050, -0.269, -0.962);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(0.050, -0.269, -0.962);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);"
0.040,601.340,965.848,163.874,136.705,31.701,26.639,-0.044,-17.186,0.150,0.000,0.048,4,10.517,0.040,1.000,""
0.060,600.708,966.379,163.875,136.362,31.702,26.635,0.020,-17.195,0.149,0.000,0.051,4,12.976,0.325,1.000,""
0.080,600.110,966.911,163.877,136.019,31.701,26.626,0.123,-17.209,0.149,0.000,0.053,4,14.914,0.440,1.000,""
0.100,599.478,967.442,163.882,135.675,31.700,26.611,0.249,-17.229,0.149,0.000,0.054,4,16.101,0.530,1.000,""
0.120,598.845,967.973,163.890,135.330,31.699,26.590,0.383,-17.256,0.150,0.000,0.056,4,16.537,0.527,1.000,""
0.140,598.212,968.504,163.900,134.985,31.697,26.563,0.513,-17.290,0.151,0.000,0.057,4,16.284,0.468,1.000,""
0.160,597.614,969.035,163.912,134.638,31.695,26.531,0.629,-17.332,0.151,0.000,0.058,4,15.618,0.357,1.000,""
0.180,596.980,969.565,163.927,134.290,31.693,26.494,0.722,-17.382,0.153,0.000,0.059,4,14.466,0.242,1.000,""
0.200,596.346,970.094,163.943,133.941,31.690,26.453,0.786,-17.439,0.154,0.000,0.060,4,13.057,0.179,1.000,""
