time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.020,35.662,0.713,-626.515,8.959,14.310,4,7.800,0.092,"Ground_80_240:(0.000, 1.000, -0.004) separation=-0.0634 impulse=9826.570;Ground_80_240:(0.000, 1.000, -0.004) separation=-0.1145 impulse=9826.570;Ground_80_240:(0.000, 1.000, -0.004) separation=-0.1525 impulse=9826.570;Ground_80_240:(0.000, 1.000, -0.004) separation=-0.1031 impulse=9826.570;Ground_80_240:(0.000, 1.000, -0.004) separation=-0.1452 impulse=9826.570;Ground_80_240:(0.000, 1.000, -0.004) separation=-0.1406 impulse=9826.570;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0926 impulse=8315.999;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0138 impulse=8315.999;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0179 impulse=8315.999;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.1247 impulse=8315.999;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.1209 impulse=8315.999;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.1123 impulse=8315.999;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0182 impulse=35.941;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0028 impulse=35.941;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0033 impulse=35.941;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0247 impulse=35.941;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0240 impulse=35.941;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0235 impulse=35.941;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0089 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0035 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0170 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0050 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0044 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0032 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0106 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0149 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0148 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0068 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0079 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0109 impulse=0.000;",0.000,0.000,0.000,35.662,0.000,1.000,124.287,0.588,-0.039,-35.657,0.000,0.014
0.040,35.662,1.427,-626.503,8.958,13.596,4,7.887,0.016,"",0.169,0.000,0.000,35.662,0.000,1.000,123.573,0.588,-0.077,-35.657,0.000,0.021
0.060,35.662,2.140,-626.492,8.955,12.883,4,7.983,0.026,"",0.169,0.000,-0.001,35.662,0.000,1.000,122.860,0.588,-0.114,-35.657,-0.028,0.023
0.080,35.662,2.854,-626.480,8.952,12.170,4,8.099,0.047,"",0.169,0.000,0.003,35.663,0.000,1.000,122.147,0.588,-0.148,-35.657,0.066,0.022
0.100,35.663,3.567,-626.468,8.949,11.457,4,8.243,0.055,"",0.169,0.000,-0.004,35.663,0.000,1.000,121.433,0.588,-0.179,-35.658,-0.091,0.021
0.120,35.663,4.280,-626.456,8.945,10.743,4,8.415,0.056,"",0.169,0.000,0.005,35.664,0.000,1.000,120.720,0.588,-0.207,-35.658,0.114,0.018
0.140,35.664,4.994,-626.444,8.940,10.030,4,8.609,0.053,"",0.168,0.000,-0.006,35.664,0.000,1.000,120.006,0.588,-0.231,-35.659,-0.136,0.016
0.160,35.664,5.707,-626.433,8.935,9.317,4,8.817,0.047,"",0.168,0.000,0.007,35.665,0.000,1.000,119.293,0.589,-0.251,-35.659,0.153,0.014
0.180,35.665,6.420,-626.421,8.930,8.603,4,9.031,0.041,"",0.168,0.000,-0.008,35.665,0.000,1.000,118.580,0.588,-0.267,-35.659,-0.169,0.012
0.200,35.666,7.134,-626.409,8.924,7.890,4,9.244,0.035,"",0.167,0.000,0.008,35.666,0.000,1.000,117.866,0.589,-0.278,-35.660,0.181,0.010
