visit,seed,dan,friend,site,visible,selected
0,-137267251,2,False,dan,0,0
0,-137267251,2,False,friend,0,0
1,-613459014,1,True,dan,2,2
1,-613459014,1,True,friend,2,2
2,1410148496,0,False,dan,3,3
2,1410148496,0,False,friend,0,0
3,2048084693,1,True,dan,2,2
3,2048084693,1,True,friend,2,2
