visit,seed,dan,friend,site,visible,selected
0,-949624664,0,True,dan,3,3
0,-949624664,0,True,friend,2,2
1,-1535305965,2,False,dan,0,0
1,-1535305965,2,False,friend,0,0
2,1723386612,1,True,dan,2,2
2,1723386612,1,True,friend,2,2
3,-62572842,0,False,dan,3,3
3,-62572842,0,False,friend,0,0
