course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards
Forest Loop Reverse,moto,43,-1.5,5.420,193.263,2.840,0.957,True,completed,111.193,2.840,0
Forest Loop Reverse,moto,43,-3,5.420,193.384,2.840,0.957,True,completed,111.261,2.840,0
Forest Loop Reverse,moto,43,0,5.440,194.123,2.860,0.957,True,completed,111.983,2.860,0
Forest Loop Reverse,moto,43,-4.7,4.680,163.801,2.480,-0.835,True,completed,0.000,0.000,0
Forest Loop Reverse,moto,43,1.7,22.620,122.166,20.480,-0.980,True,stalled/crashed,0.000,0.000,0
Forest Loop Reverse,atv,43,-1.5,5.440,193.627,2.860,0.959,True,completed,111.533,2.860,0
Forest Loop Reverse,atv,43,-3,5.440,193.204,2.860,0.960,True,completed,111.336,2.860,0
Forest Loop Reverse,atv,43,0,5.440,193.257,2.860,0.960,True,completed,111.383,2.860,0
Forest Loop Reverse,atv,43,-4.7,5.080,177.340,2.760,-0.730,True,completed,105.925,2.760,0
Forest Loop Reverse,atv,43,1.7,4.920,172.939,2.540,-0.866,True,completed,98.987,2.540,0
