vehicle,jump,mode,seconds,airSeconds,peakHeight,minUpright,recoveries,landed,wrongWay
moto,0,False,8.598,4.100,9.193,0.910,0,True,False
moto,0,True,8.639,4.000,8.951,0.911,0,True,False
moto,1,False,8.851,2.940,15.259,0.751,0,True,False
moto,1,True,13.997,4.900,15.236,0.079,1,True,False
moto,2,False,7.400,1.700,9.851,0.825,0,True,False
moto,2,True,7.401,1.620,9.762,0.832,0,True,False
moto,3,False,7.650,1.700,10.207,0.584,0,True,False
moto,3,True,7.655,1.620,10.245,0.636,0,True,False
moto,4,False,8.425,2.400,15.263,0.934,0,True,False
moto,4,True,8.425,2.400,15.242,0.933,0,True,False
moto,5,False,8.154,2.000,12.254,0.969,0,True,False
moto,5,True,8.156,2.000,12.255,0.969,0,True,False
atv,0,False,9.818,4.320,8.960,0.885,0,True,False
atv,0,True,10.947,4.400,8.788,0.812,0,True,False
atv,1,False,9.738,2.100,13.150,0.988,0,True,False
atv,1,True,9.641,2.100,13.175,0.988,0,True,False
atv,2,False,8.626,1.640,9.173,0.935,0,True,False
atv,2,True,8.574,1.700,9.289,0.953,0,True,False
atv,3,False,8.853,1.640,9.368,0.980,0,True,False
atv,3,True,8.847,1.640,9.359,0.981,0,True,False
atv,4,False,10.613,2.080,12.605,0.933,0,True,False
atv,4,True,10.596,2.060,12.551,0.936,0,True,False
atv,5,False,9.620,1.820,10.957,0.970,0,True,False
atv,5,True,9.628,1.840,11.002,0.970,0,True,False
