PASS moto jump 0 imperfect=False supported landing; air=4.10; recovery=0
PASS moto jump 0 imperfect=True supported landing; air=4.00; recovery=0
PASS moto jump 1 imperfect=False supported landing; air=2.94; recovery=0
FAIL moto jump 1 imperfect=True supported landing; air=4.90; recovery=1
PASS moto jump 2 imperfect=False supported landing; air=1.70; recovery=0
PASS moto jump 2 imperfect=True supported landing; air=1.62; recovery=0
FAIL moto jump 3 imperfect=False supported landing; air=1.70; recovery=0
FAIL moto jump 3 imperfect=True supported landing; air=1.62; recovery=0
PASS moto jump 4 imperfect=False supported landing; air=2.40; recovery=0
PASS moto jump 4 imperfect=True supported landing; air=2.40; recovery=0
PASS moto jump 5 imperfect=False supported landing; air=2.00; recovery=0
PASS moto jump 5 imperfect=True supported landing; air=2.00; recovery=0
PASS atv jump 0 imperfect=False supported landing; air=4.32; recovery=0
PASS atv jump 0 imperfect=True supported landing; air=4.40; recovery=0
PASS atv jump 1 imperfect=False supported landing; air=2.10; recovery=0
PASS atv jump 1 imperfect=True supported landing; air=2.10; recovery=0
PASS atv jump 2 imperfect=False supported landing; air=1.64; recovery=0
PASS atv jump 2 imperfect=True supported landing; air=1.70; recovery=0
PASS atv jump 3 imperfect=False supported landing; air=1.64; recovery=0
PASS atv jump 3 imperfect=True supported landing; air=1.64; recovery=0
PASS atv jump 4 imperfect=False supported landing; air=2.08; recovery=0
PASS atv jump 4 imperfect=True supported landing; air=2.06; recovery=0
PASS atv jump 5 imperfect=False supported landing; air=1.82; recovery=0
PASS atv jump 5 imperfect=True supported landing; air=1.84; recovery=0
