time,speed,signedSpeed,valid,grounded,timer,visible,rendered
0.000,0.000,0.000,False,0,0.000,False,False
0.008,0.000,0.000,False,0,0.000,False,False
0.017,0.358,0.000,False,4,0.000,False,False
0.034,0.715,-0.415,True,4,0.000,False,False
0.043,0.715,-0.415,True,4,0.000,False,False
0.051,0.715,-0.415,True,4,0.000,False,False
0.059,1.071,-0.787,True,4,0.000,False,False
0.068,1.071,-0.787,True,4,0.000,False,False
0.076,1.427,-1.160,True,4,0.000,False,False
0.084,1.427,-1.160,True,4,0.000,False,False
0.093,1.427,-1.160,True,4,0.000,False,False
0.101,1.783,-1.526,True,4,0.000,False,False
0.110,1.783,-1.526,True,4,0.000,False,False
0.118,2.138,-1.892,True,4,0.000,False,False
0.126,2.138,-1.892,True,4,0.000,False,False
0.135,2.493,-2.240,True,4,0.000,False,False
0.143,2.493,-2.240,True,4,0.000,False,False
0.151,2.493,-2.240,True,4,0.000,False,False
0.160,2.847,-2.594,True,4,0.000,False,False
0.168,2.847,-2.594,True,4,0.000,False,False
0.176,3.200,-2.942,True,4,0.000,False,False
0.185,3.200,-2.942,True,4,0.000,False,False
0.193,3.201,-2.942,True,4,0.000,False,False
0.201,3.553,-4.010,True,4,0.020,False,False
0.210,3.553,-4.010,True,4,0.020,False,False
0.218,3.904,-3.638,True,4,0.040,False,False
0.226,3.904,-3.638,True,4,0.040,False,False
0.235,4.254,-3.979,True,4,0.060,False,False
0.243,4.254,-3.979,True,4,0.060,False,False
0.251,4.254,-3.979,True,4,0.060,False,False
0.260,4.603,-4.321,True,4,0.080,False,False
0.268,4.603,-4.321,True,4,0.080,False,False
0.276,4.950,-4.663,True,4,0.100,False,False
0.285,4.950,-4.663,True,4,0.100,False,False
0.293,4.950,-4.663,True,4,0.100,False,False
0.302,5.296,-5.005,True,4,0.120,False,False
0.310,5.296,-5.005,True,4,0.120,False,False
0.318,5.640,-5.347,True,4,0.140,False,False
0.327,5.640,-5.347,True,4,0.140,False,False
0.335,5.983,-5.676,True,4,0.160,False,False
0.344,5.983,-5.676,True,4,0.160,False,False
0.352,5.983,-5.676,True,4,0.160,False,False
0.360,6.324,-6.018,True,4,0.180,False,False
0.369,6.324,-6.018,True,4,0.180,False,False
0.377,6.663,-7.068,True,4,0.200,False,False
0.385,6.663,-7.068,True,4,0.200,False,False
0.394,6.663,-7.068,True,4,0.200,False,False
0.402,7.000,-6.683,True,4,0.220,False,False
0.411,7.000,-6.683,True,4,0.220,False,False
0.420,7.336,-7.013,True,4,0.240,False,False
0.428,7.336,-7.013,True,4,0.240,False,False
0.437,7.669,-7.343,True,4,0.260,False,False
0.445,7.669,-7.343,True,4,0.260,False,False
0.453,7.669,-7.343,True,4,0.260,False,False
0.462,8.000,-7.672,True,4,0.280,False,False
0.470,8.000,-7.672,True,4,0.280,False,False
0.478,8.330,-7.996,True,4,0.300,False,False
0.487,8.330,-7.996,True,4,0.300,False,False
0.495,8.657,-8.319,True,4,0.320,False,False
0.503,8.657,-8.319,True,4,0.320,False,False
0.512,8.657,-8.319,True,4,0.320,False,False
0.520,8.981,-9.357,True,4,0.340,False,False
0.528,8.981,-9.357,True,4,0.340,False,False
0.537,9.304,-8.960,True,4,0.360,False,False
0.545,9.304,-8.960,True,4,0.360,False,False
0.553,9.304,-8.960,True,4,0.360,False,False
0.562,9.624,-9.277,True,4,0.380,False,False
0.570,9.624,-9.277,True,4,0.380,False,False
0.578,9.942,-9.595,True,4,0.400,False,False
0.587,9.942,-9.595,True,4,0.400,False,False
0.595,10.258,-9.906,True,4,0.420,False,False
0.603,10.258,-9.906,True,4,0.420,False,False
0.612,10.258,-9.906,True,4,0.420,False,False
0.620,10.572,-10.925,True,4,0.440,False,False
0.628,10.572,-10.925,True,4,0.440,False,False
0.637,10.883,-10.535,True,4,0.460,False,False
0.645,10.883,-10.535,True,4,0.460,False,False
0.654,10.883,-10.535,True,4,0.460,False,False
0.662,11.192,-10.834,True,4,0.480,False,False
0.670,11.192,-10.834,True,4,0.480,False,False
0.679,11.498,-11.133,True,4,0.500,False,False
0.687,11.498,-11.133,True,4,0.500,False,False
0.695,11.801,-12.964,True,4,0.520,False,False
0.704,11.802,-12.964,True,4,0.520,False,False
0.712,11.802,-12.964,True,4,0.520,False,False
0.720,12.103,-11.713,True,4,0.540,False,False
0.729,12.103,-11.713,True,4,0.540,False,False
0.737,12.402,-12.018,True,4,0.560,False,False
0.745,12.402,-12.018,True,4,0.560,False,False
0.754,12.698,-12.317,True,4,0.580,False,False
0.762,12.698,-12.317,True,4,0.580,False,False
0.770,12.699,-12.317,True,4,0.580,False,False
0.779,12.992,-12.567,True,4,0.600,False,False
0.787,12.992,-12.567,True,4,0.600,False,False
0.795,13.283,-12.915,True,4,0.620,False,False
0.804,13.283,-12.915,True,4,0.620,False,False
0.812,13.284,-12.915,True,4,0.620,False,False
0.820,13.572,-13.208,True,4,0.640,False,False
0.829,13.572,-13.208,True,4,0.640,False,False
0.837,13.857,-14.148,True,4,0.660,False,False
0.845,13.858,-14.148,True,4,0.660,False,False
0.854,14.141,-13.776,True,4,0.680,False,False
0.862,14.141,-13.776,True,4,0.680,False,False
0.870,14.142,-13.776,True,4,0.680,False,False
0.879,14.422,-14.063,True,4,0.700,False,False
0.898,14.701,-14.349,True,4,0.720,False,False
0.907,14.702,-14.349,True,4,0.720,False,False
0.915,14.978,-15.265,True,4,0.740,False,False
0.923,14.978,-15.265,True,4,0.740,False,False
0.932,14.979,-15.265,True,4,0.740,False,False
0.940,15.252,-14.905,True,4,0.760,False,False
0.948,15.252,-14.905,True,4,0.760,False,False
0.958,15.487,-15.173,True,4,0.780,False,False
0.966,15.489,-15.173,True,4,0.780,False,False
0.975,15.734,-15.973,True,4,0.800,False,False
0.983,15.736,-15.973,True,4,0.800,False,False
0.991,15.738,-15.973,True,4,0.800,False,False
1.000,16.004,-15.552,True,4,0.820,False,False
1.008,16.005,-15.552,True,4,0.820,False,False
1.016,16.267,-15.845,True,4,0.840,False,False
1.026,16.268,-15.845,True,4,0.840,False,False
1.034,16.526,-17.322,True,4,0.860,False,False
1.042,16.527,-17.322,True,4,0.860,False,False
1.051,16.528,-17.322,True,4,0.860,False,False
1.059,16.783,-16.394,True,4,0.880,False,False
1.067,16.784,-16.394,True,4,0.880,False,False
1.076,17.036,-16.772,True,4,0.900,False,False
1.084,17.036,-16.772,True,4,0.900,False,False
1.092,17.037,-16.772,True,4,0.900,False,False
1.101,17.286,-16.919,True,4,0.920,False,False
1.109,17.287,-16.919,True,4,0.920,False,False
1.117,17.534,-17.175,True,4,0.940,False,False
1.126,17.534,-17.175,True,4,0.940,False,False
1.134,17.779,-18.024,True,4,0.960,False,False
