"Mode","Case","Time","Before","At","AfterHalfSecond","Drop","VelocityBefore","VelocityAt","VelocityAfter","X","Y","Z","Travel","Throttle","Brake","Steering","Grounded","Water","Up","Lift","Torque","Contact"
"StreetLoopGreybox-roam-opposite-no","atv-36-1.7","3.600","-16.814","-17.924","-21.402","1.11","32.441","32.455","33.170","-626.749","16.986","-26.965","123.021","1.000","0.000","-0.500","0","0.000","0.349","0.000","1.699",""
"StreetLoopGreybox-roam-opposite-no","atv-36-1.7","3.620","-17.924","-18.980","-20.635","1.056","32.455","32.470","33.213","-626.775","16.902","-26.331","123.655","1.000","0.000","-0.500","0","0.000","0.387","0.000","1.659",""
"StreetLoopGreybox-roam-opposite-no","atv-36-1.7","4.500","-4.492","-6.636","-9.421","2.144","34.156","33.148","31.520","-627.630","9.099","1.403","151.400","1.000","0.000","-0.500","1","0.000","0.898","11.250","2.890","Ground_80_320:(0.00, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-no","atv-36-1.7","4.520","-6.636","-8.405","-9.421","1.769","33.148","32.667","31.520","-627.663","8.923","2.067","152.064","1.000","0.000","-0.500","1","0.000","0.949","11.250","4.853","Ground_80_320:(0.00, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-no","atv-36-1.7","4.540","-8.405","-9.421","-9.421","1.016","32.667","31.520","31.520","-627.694","8.758","2.707","152.705","1.000","0.000","-0.500","2","0.000","0.979","22.500","38.757","Ground_80_320:(0.00, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-no","moto-12--4.7","8.620","11.178","9.312","11.625","1.866","11.634","9.697","11.708","-631.833","9.552","-51.458","98.616","0.436","0.000","0.500","1","0.000","0.836","6.669","0.788","Takeoff - 40m x 6m, 6.2m rise:(-0.27, 0.94, 0.22)"
"StreetLoopGreybox-roam-opposite-no","moto-24--1.5","5.500","4.885","3.698","11.562","1.187","24.814","23.021","11.596","-627.907","8.521","-23.760","126.245","1.000","0.000","0.500","2","0.000","0.999","22.500","4.484","Ground_80_320:(0.00, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-no","moto-24--3","5.540","11.928","10.792","17.457","1.136","24.612","23.148","17.539","-630.329","8.529","-23.124","126.920","1.000","0.000","0.500","2","0.000","0.999","22.500","9.992","Ground_80_320:(0.00, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-no","moto-24--3","5.560","10.792","9.067","17.657","1.725","23.148","19.387","17.755","-630.337","8.486","-22.746","127.299","1.000","0.000","0.500","4","0.000","1.000","45.000","40.948","Ground_80_320:(0.00, 1.00, 0.00)"
"StreetLoopGreybox-roam-opposite-no","moto-24--4.7","3.120","22.024","20.952","-3.667","1.072","22.145","21.059","5.632","-631.943","11.532","-76.710","73.369","0.962","0.000","-0.352","0","0.000","-0.909","0.000","2.557","Takeoff - 40m x 6m, 6.2m rise:(-0.91, 0.41, -0.07)"
"StreetLoopGreybox-roam-opposite-no","moto-24--4.7","3.160","20.927","8.866","-3.925","12.061","21.019","9.481","5.812","-632.038","11.568","-76.123","73.957","1.000","0.000","-0.315","0","0.000","-0.914","0.000","1.501","Takeoff - 40m x 6m, 6.2m rise:(-0.92, 0.38, -0.09)"
"StreetLoopGreybox-roam-opposite-no","moto-24--4.7","3.220","8.585","5.281","-4.203","3.304","9.457","6.991","6.118","-632.255","11.593","-75.676","74.407","1.000","0.000","-0.159","0","0.000","-0.909","0.000","1.165","Takeoff - 40m x 6m, 6.2m rise:(-0.92, 0.38, -0.12)"
"StreetLoopGreybox-roam-opposite-no","moto-24--4.7","3.240","5.281","1.915","-4.268","3.366","6.991","5.223","6.229","-632.334","11.612","-75.623","74.462","1.000","0.000","-0.169","0","0.000","-0.920","0.000","2.032","Takeoff - 40m x 6m, 6.2m rise:(-0.92, 0.38, -0.12)"
