"Mode","Case","Time","Before","At","AfterHalfSecond","Drop","VelocityBefore","VelocityAt","VelocityAfter","X","Y","Z","Travel","Throttle","Brake","Steering","Grounded","Water","Up","Lift","Torque","Contact"
"forward-moto","moto-24--1.5","5.500","4.885","3.697","11.545","1.188","24.814","23.021","11.580","-627.898","8.521","-23.760","126.245","1.000","0.000","0.500","2","0.000","0.999","22.500","4.493","Ground_80_320:(0.000, 1.000, -0.004) separation=0.1224 impulse=575.616;Ground_80_320:(0.000, 1.000, -0.004) separation=0.3635 impulse=575.616;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0557 impulse=575.616;Ground_80_320:(0.000, 1.000, -0.004) separation=0.4302 impulse=575.616;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0876 impulse=575.616;Ground_80_320:(0.000, 1.000, -0.004) separation=0.1587 impulse=575.616;"
"forward-opposite-classic","original-24--1.5","5.560","22.340","19.952","22.958","2.388","24.336","20.247","22.959","-628.807","8.084","-110.625","125.594","0.848","0.000","-0.401","4","0.000","1.000","45.000","1.307","Takeoff - 40m x 6m, 6.2m rise:(0.000, 1.000, -0.004) separation=-0.1122 impulse=9332.538;Takeoff - 40m x 6m, 6.2m rise:(0.000, 1.000, -0.004) separation=0.0020 impulse=9332.538;Takeoff - 40m x 6m, 6.2m rise:(0.000, 1.000, -0.004) separation=-0.0172 impulse=9332.538;Takeoff - 40m x 6m, 6.2m rise:(0.000, 1.000, -0.004) separation=-0.1184 impulse=9332.538;Takeoff - 40m x 6m, 6.2m rise:(0.000, 1.000, -0.004) separation=-0.0928 impulse=9332.538;Takeoff - 40m x 6m, 6.2m rise:(0.000, 1.000, -0.004) separation=-0.0720 impulse=9332.538;Ground_80_240:(0.000, 1.000, -0.004) separation=-0.0973 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.004) separation=-0.0897 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.004) separation=-0.0988 impulse=0.000;"
