"Mode","Case","Time","Before","At","AfterHalfSecond","Drop","VelocityBefore","VelocityAt","VelocityAfter","X","Y","Z","Travel","Throttle","Brake","Steering","Grounded","Water","Up","Lift","Torque","Contact"
"departure","atv-False","19.313","30.510","28.503","30.412","2.0070000000000014",,,,,,,,"0.780","0.000",,,,,,,
"departure","atv-False","35.913","29.555","27.448","28.578","2.1069999999999993",,,,,,,,"1.000","0.000",,,,,,,
"departure","atv-True","10.553","21.368","20.105","21.751","1.2629999999999981",,,,,,,,"0.000","0.000",,,,,,,
"departure","atv-True","10.573","20.105","18.561","21.947","1.5440000000000005",,,,,,,,"0.000","0.195",,,,,,,
"departure","atv-True","15.033","27.491","26.132","26.674","1.3589999999999982",,,,,,,,"1.000","0.000",,,,,,,
"departure","atv-True","15.053","26.132","24.885","26.832","1.2469999999999999",,,,,,,,"1.000","0.000",,,,,,,
"departure","atv-True","23.873","31.318","29.853","31.287","1.4649999999999999",,,,,,,,"0.421","0.000",,,,,,,
"departure","atv-True","33.393","29.598","27.436","28.591","2.161999999999999",,,,,,,,"1.000","0.000",,,,,,,
"departure","moto-False","17.701","31.476","30.205","31.660","1.2710000000000008",,,,,,,,"0.144","0.000",,,,,,,
"departure","moto-False","17.721","30.205","29.100","31.683","1.1049999999999969",,,,,,,,"0.419","0.000",,,,,,,
"departure","moto-False","24.701","32.152","31.121","31.876","1.0310000000000024",,,,,,,,"0.000","0.000",,,,,,,
"departure","moto-False","34.161","29.977","28.866","31.475","1.1110000000000007",,,,,,,,"1.000","0.000",,,,,,,
"departure","moto-True","13.445","35.903","0.360","8.659","35.543",,,,,,,,"1.000","0.000",,,,,,,
"departure","moto-True","23.725","31.658","30.125","31.841","1.5330000000000013",,,,,,,,"0.000","0.000",,,,,,,
"departure","moto-True","33.165","30.098","28.839","31.324","1.2590000000000003",,,,,,,,"0.947","0.000",,,,,,,
"high-ForestLoopReverse-roam-no","atv-43--4.7","2.380","28.083","27.070","-4.832","1.0129999999999981","39.058","39.013","38.231","-632.008","18.035","-51.941","98.135","1.000","0.000","-0.500","0","0.000","-0.679","0.000","2.530",""
