course,vehicle,route,mode,repeat,seconds,recoveries,misses,maxLateral,minUpright,finished
Forest Loop Reverse,moto,Granite Saddle,normal,0,22.598,0,4,0.000,0.838,True
Forest Loop Reverse,moto,Granite Saddle,clean,0,21.259,0,4,0.000,0.836,True
Forest Loop Reverse,moto,Granite Saddle,imperfect,0,20.089,0,4,0.000,0.754,True
Forest Loop Reverse,moto,Granite Saddle,recovery,0,21.229,0,4,0.000,0.835,True
Forest Loop Reverse,moto,Fern Gully,normal,0,27.629,0,0,0.000,0.975,True
Forest Loop Reverse,moto,Fern Gully,clean,0,21.866,0,0,2.373,0.981,True
Forest Loop Reverse,moto,Fern Gully,imperfect,0,25.994,0,0,4.174,0.981,True
Forest Loop Reverse,moto,Fern Gully,recovery,0,23.047,0,0,2.373,0.981,True
Forest Loop Reverse,atv,Granite Saddle,normal,0,24.271,0,4,0.000,0.805,True
Forest Loop Reverse,atv,Granite Saddle,clean,0,23.185,0,4,0.000,0.811,True
Forest Loop Reverse,atv,Granite Saddle,imperfect,0,22.863,0,4,0.000,0.843,True
Forest Loop Reverse,atv,Granite Saddle,recovery,0,22.979,0,4,0.000,0.805,True
Forest Loop Reverse,atv,Fern Gully,normal,0,27.999,0,0,0.000,0.873,True
Forest Loop Reverse,atv,Fern Gully,clean,0,22.147,0,0,2.204,0.982,True
Forest Loop Reverse,atv,Fern Gully,imperfect,0,26.602,0,0,5.184,0.981,True
Forest Loop Reverse,atv,Fern Gully,recovery,0,23.396,0,0,2.200,0.981,True
