time,x,y,z,vx,vy,vz,speed,wheels,up,s,clearance,throttle,brake,steer
0.02000046,990,152.5692,279.9932,0,-0.04018235,-0.3398639,0.3398639,4,1,5.006805,0.2541809,1,0,0
0.03999901,990,152.5677,279.9796,0,-0.07287112,-0.6775292,0.6775292,4,1,5.020355,0.2527161,1,0,0
0.05999947,990,152.5658,279.9594,0,-0.09841515,-1.01301,1.01301,4,1,5.040619,0.2507477,1,0,0
0.07999992,990,152.5634,279.9325,0,-0.1173057,-1.346321,1.346321,4,1,5.067535,0.2484131,1,0,0
0.1000004,990,152.5608,279.8989,0,-0.1301138,-1.677475,1.677475,4,1,5.101074,0.2458038,1,0,0
0.1199989,990,152.558,279.8588,0,-0.1374777,-2.006487,2.006487,4,1,5.141205,0.2430573,1,0,0
0.1399994,990,152.5552,279.8121,0,-0.1400917,-2.333371,2.333371,4,1,5.187866,0.2402344,1,0,0
0.1599998,990,152.5525,279.759,0,-0.1386382,-2.658141,2.658141,4,1,5.241028,0.2374725,1,0,0
0.1800003,990,152.5498,279.6993,0,-0.1338089,-2.980809,2.980809,4,1,5.300659,0.2348022,1,0,0
0.1999989,990,152.5473,279.6333,0,-0.126284,-3.30139,3.30139,4,1,5.366699,0.232254,1,0,0
0.2199993,990,152.5449,279.5609,0,-0.1166741,-3.619897,3.619897,4,1,5.439087,0.2299194,1,0,0
0.2399998,990,152.5428,279.4822,0,-0.1055712,-3.936344,3.936344,4,1,5.517822,0.2278137,1,0,0
0.2600002,990,152.5409,279.3972,0,-0.09351214,-4.250744,4.250744,4,1,5.602844,0.2259369,1,0,0
0.2799988,990,152.5393,279.3059,0,-0.0809477,-4.56311,4.56311,4,1,5.694092,0.2243195,1,0,0
0.2999992,990,152.5379,279.2084,0,-0.06829602,-4.873455,4.873455,4,1,5.791565,0.2229462,1,0,0
0.3199997,990,152.5368,279.1048,0,-0.05588828,-5.181792,5.181792,4,1,5.895203,0.2218323,1,0,0
0.3400002,990,152.5359,278.995,0,-0.04402248,-5.488135,5.488135,4,1,6.004974,0.2209473,1,0,0
0.3599987,990,152.5353,278.8792,0,-0.03290913,-5.792496,5.792496,4,1,6.120819,0.2203064,1,0,0
0.3799992,990,152.5348,278.7573,0,-0.02272503,-6.094888,6.094888,4,1,6.242706,0.2198486,1,0,0
0.3999996,990,152.5346,278.6294,0,-0.01357896,-6.395324,6.395324,4,1,6.370605,0.2195587,1,0,0
0.4200001,990,152.5345,278.4955,0,-0.0055424,-6.693817,6.693817,4,1,6.504486,0.2194519,1,0,0
