time,x,y,z,speed,grounded,nextGate,misses,penalty
0.000,-623.452,7.564,-359.962,0.000,0,13,0,0
0.133,-623.454,7.540,-359.877,1.429,4,13,0,0
0.266,-623.460,7.518,-359.589,3.084,4,13,0,0
0.400,-623.471,7.510,-359.009,4.935,4,13,0,0
0.533,-623.488,7.516,-358.176,6.705,4,13,0,0
0.666,-623.506,7.524,-357.269,8.162,4,13,0,0
0.799,-623.532,7.533,-355.995,9.792,4,13,0,0
0.932,-623.562,7.540,-354.499,11.352,4,13,0,0
1.066,-623.591,7.546,-353.046,12.636,4,13,0,0
1.199,-623.629,7.554,-351.162,14.072,4,13,0,0
1.332,-623.665,7.563,-349.391,15.254,4,13,0,0
1.465,-623.710,7.573,-347.149,16.577,4,13,0,0
1.598,-623.758,7.584,-344.727,17.843,4,13,0,0
1.732,-623.803,7.594,-342.513,18.884,4,13,0,0
1.865,-623.858,7.607,-339.776,20.050,4,13,0,0
1.998,-623.916,7.619,-336.880,21.165,4,13,0,0
2.131,-623.968,7.631,-334.276,22.082,4,13,0,0
2.264,-624.032,7.645,-331.102,23.110,4,13,0,0
2.398,-624.098,7.659,-327.789,24.092,4,13,0,0
2.531,-624.157,7.671,-324.841,24.901,4,13,0,0
2.664,-624.229,7.686,-321.283,25.806,4,13,0,0
2.797,-624.303,7.702,-317.601,26.672,4,13,0,0
2.930,-624.368,7.715,-314.351,27.384,4,13,0,0
3.064,-624.446,7.731,-310.454,28.182,4,13,0,0
3.197,-624.527,7.747,-306.448,28.945,4,13,0,0
3.330,-624.597,7.761,-302.931,29.572,4,13,0,0
3.463,-624.681,7.778,-298.735,30.275,4,13,0,0
3.596,-624.767,7.794,-294.443,30.948,4,13,0,0
3.730,-624.843,7.809,-290.691,31.501,4,13,0,0
3.863,-624.932,7.826,-286.232,32.120,4,13,0,0
3.996,-625.023,7.844,-281.689,32.712,4,13,0,0
4.129,-625.103,7.859,-277.730,33.200,4,13,0,0
4.232,-625.183,7.874,-273.714,33.669,4,13,0,0
4.365,-625.265,7.889,-269.643,34.121,4,13,0,0
4.499,-625.362,7.907,-264.826,34.626,4,13,0,0
4.632,-625.446,7.922,-260.648,34.947,4,13,0,0
4.765,-625.544,7.940,-255.736,35.194,4,13,0,0
4.898,-625.643,7.958,-250.796,35.358,4,13,0,0
5.031,-625.729,7.974,-246.547,35.452,4,13,0,0
5.165,-625.828,7.992,-241.578,35.527,4,13,0,0
5.298,-625.928,8.010,-236.601,35.579,4,13,0,0
5.431,-626.014,8.025,-232.330,35.609,4,13,0,0
5.564,-626.114,8.043,-227.344,35.633,4,13,0,0
5.697,-626.214,8.060,-222.355,35.649,4,13,0,0
