vehicle,speed,line,launchX,launchY,launchZ,launchSpeed,crestX,crestY,crestZ,crestGround,crestClearance,landingX,landingY,landingZ,landingSpeed,longestFlight,peakY
original,24,0,968.698,180.293,190.000,22.276,944.585,189.228,190.000,157.161,31.562,899.645,154.353,190.000,16.874,4.040,189.230
original,24,-6,968.699,180.293,184.000,22.276,944.585,189.228,184.000,157.161,31.562,899.645,154.353,184.000,16.874,4.040,189.230
original,24,6,968.698,180.293,196.000,22.276,944.585,189.228,196.000,157.161,31.562,899.644,154.353,196.000,16.874,4.040,189.230
original,24,-11.075,968.698,180.293,178.925,22.276,944.585,189.228,178.925,157.161,31.562,899.645,154.353,178.925,16.874,4.040,189.230
original,24,11.075,968.699,180.293,201.075,22.276,944.585,189.228,201.075,157.161,31.562,899.645,154.353,201.075,16.875,4.040,189.230
original,32,0,968.435,180.424,190.000,29.650,944.493,193.570,189.998,157.091,36.145,859.442,151.751,189.994,23.789,4.860,196.559
original,32,-6,968.435,180.424,184.000,29.650,944.493,193.569,183.996,157.091,36.145,859.364,151.647,183.984,21.056,4.860,196.558
original,32,6,968.435,180.424,195.999,29.650,944.494,193.570,195.996,157.092,36.144,860.177,153.333,195.939,25.147,4.820,196.559
original,32,-11.075,968.437,180.423,178.926,29.650,944.497,193.570,178.924,157.094,36.142,858.940,151.640,178.910,21.048,4.880,196.560
original,32,11.075,968.435,180.424,201.075,29.650,944.494,193.570,201.072,157.092,36.145,860.766,153.529,201.064,25.068,4.800,196.559
original,40,0,968.169,180.581,190.003,35.770,944.052,195.854,190.009,156.753,38.564,822.043,153.078,190.040,26.100,5.500,204.744
original,40,-6,968.151,180.595,184.002,35.787,944.024,195.878,184.008,156.731,38.610,821.902,153.076,184.036,25.803,5.500,204.783
original,40,6,968.168,180.581,196.002,35.774,944.049,195.855,196.002,156.751,38.568,822.021,153.079,196.006,25.756,5.500,204.748
original,40,-11.075,968.161,180.587,178.927,35.784,944.035,195.866,178.929,156.740,38.590,821.940,153.077,178.940,25.765,5.500,204.766
original,40,11.075,968.170,180.579,201.077,35.771,944.053,195.852,201.083,156.753,38.562,822.043,153.079,201.113,25.756,5.500,204.742
tourer,24,0,968.398,180.504,190.000,22.223,944.383,189.044,190.000,157.007,31.084,899.262,154.272,190.000,17.119,4.000,189.048
tourer,24,-6,968.398,180.504,184.000,22.223,944.383,189.044,184.000,157.007,31.084,899.262,154.272,184.000,17.119,4.000,189.048
tourer,24,6,968.398,180.504,196.000,22.223,944.383,189.044,196.000,157.007,31.084,899.262,154.272,196.000,17.119,4.000,189.048
tourer,24,-11,968.398,180.504,179.000,22.223,944.383,189.044,179.000,157.007,31.084,899.262,154.272,179.000,17.119,4.000,189.048
tourer,24,11,968.398,180.504,201.000,22.223,944.383,189.044,201.000,157.007,31.084,899.262,154.272,201.000,17.119,4.000,189.048
tourer,32,0,968.508,180.378,190.002,29.686,944.502,193.563,190.002,157.098,35.836,858.994,151.855,189.998,21.059,4.880,196.586
tourer,32,-6,968.507,180.379,184.003,29.686,944.500,193.565,184.003,157.097,35.839,858.952,151.802,183.998,21.060,4.880,196.588
tourer,32,6,968.502,180.367,196.004,29.687,944.412,193.446,196.005,157.029,35.790,855.357,152.305,195.439,26.041,5.000,196.391
tourer,32,-11,968.508,180.379,179.000,29.686,944.501,193.564,179.000,157.097,35.838,858.983,151.803,179.070,19.289,4.880,196.587
tourer,32,11,968.501,180.367,201.003,29.687,944.412,193.446,201.004,157.029,35.790,860.560,153.428,201.006,25.612,4.800,196.391
tourer,40,0,968.221,180.538,189.994,35.910,943.915,195.839,190.007,156.663,38.772,821.210,153.097,190.074,26.272,5.500,204.773
tourer,40,-6,968.203,180.553,183.996,35.929,943.891,195.873,184.008,156.648,38.822,821.049,153.100,184.070,25.963,5.500,204.836
tourer,40,6,968.236,180.525,195.997,35.895,943.940,195.818,196.005,156.677,38.737,821.344,153.105,196.043,25.908,5.500,204.739
tourer,40,-11,968.224,180.536,179.000,35.910,943.923,195.844,179.008,156.667,38.773,821.218,153.103,179.045,25.913,5.500,204.787
tourer,40,11,968.244,180.519,200.997,35.888,943.952,195.808,201.004,156.684,38.719,821.408,153.107,201.042,25.904,5.500,204.722
moto,24,0,968.991,179.881,190.001,22.751,944.352,189.542,189.993,156.983,32.153,897.747,154.267,189.978,17.169,4.120,189.542
moto,24,-6,968.991,179.881,183.999,22.751,944.352,189.542,184.001,156.983,32.153,897.747,154.267,184.005,17.169,4.120,189.542
moto,24,6,968.992,179.880,196.002,22.751,944.353,189.541,196.002,156.983,32.151,897.748,154.267,196.002,17.169,4.120,189.542
moto,24,-11.675,968.991,179.881,178.324,22.751,944.352,189.542,178.328,156.983,32.153,897.747,154.267,178.336,17.169,4.120,189.542
moto,24,11.675,968.989,179.883,201.676,22.751,944.350,189.544,201.671,156.981,32.156,897.746,154.267,201.662,17.169,4.120,189.544
moto,32,0,968.660,180.084,189.994,30.461,944.376,194.005,190.005,157.002,36.484,855.088,151.813,190.044,21.358,4.980,197.619
moto,32,-6,968.659,180.084,184.001,30.461,944.374,194.001,184.007,157.000,36.481,855.077,151.766,184.024,21.296,4.980,197.614
moto,32,6,968.659,180.084,195.998,30.461,944.376,194.006,196.006,157.001,36.486,855.042,151.883,196.034,23.201,4.980,197.621
moto,32,-11.675,968.656,180.086,178.323,30.461,944.368,194.000,178.316,156.995,36.485,855.144,151.893,178.397,18.535,4.980,197.610
moto,32,11.675,968.654,180.086,201.676,30.461,944.418,194.076,201.668,157.034,36.543,855.297,151.953,201.639,22.919,4.980,197.745
moto,40,0,968.728,180.018,189.976,37.971,943.848,196.189,189.972,156.623,38.927,807.729,152.927,189.965,27.343,5.720,207.323
moto,40,-6,968.725,180.020,184.015,37.971,943.848,196.194,184.022,156.623,38.932,807.755,152.979,184.063,26.666,5.720,207.333
moto,40,6,968.726,180.020,195.980,37.971,943.847,196.193,195.975,156.623,38.930,807.185,152.691,195.973,27.547,5.740,207.329
moto,40,-11.675,968.716,180.028,178.335,37.971,943.832,196.194,178.339,156.614,38.938,807.692,152.948,178.365,26.994,5.720,207.319
moto,40,11.675,968.730,180.016,201.669,37.972,943.845,196.182,201.667,156.621,38.921,807.143,152.514,201.653,27.819,5.740,207.307
atv,24,0,969.145,179.773,189.999,22.627,944.325,189.420,190.003,156.962,31.958,898.503,154.201,190.012,16.978,4.120,189.420
atv,24,-6,969.145,179.773,184.000,22.627,944.325,189.420,183.991,156.962,31.958,898.503,154.201,183.975,16.978,4.120,189.420
atv,24,6,969.146,179.773,196.000,22.627,944.325,189.419,195.993,156.962,31.957,898.502,154.201,195.978,16.995,4.120,189.419
atv,24,-11.275,969.145,179.774,178.725,22.627,944.324,189.420,178.720,156.962,31.959,898.502,154.201,178.710,17.006,4.120,189.420
atv,24,11.275,969.145,179.773,201.275,22.627,944.325,189.419,201.267,156.962,31.957,898.507,154.203,201.251,16.876,4.120,189.419
atv,32,0,968.794,179.949,190.002,30.278,944.101,193.902,190.000,156.790,36.747,856.212,151.711,189.984,21.359,4.960,197.243
atv,32,-6,968.793,179.949,184.003,30.278,944.100,193.902,184.000,156.790,36.747,856.208,151.662,183.985,21.377,4.960,197.241
atv,32,6,968.795,179.948,196.002,30.278,944.102,193.902,196.008,156.791,36.746,856.067,151.891,195.959,24.801,4.960,197.242
atv,32,-11.275,968.791,179.951,178.727,30.278,944.098,193.905,178.725,156.788,36.752,856.251,151.705,178.792,19.526,4.960,197.246
atv,32,11.275,968.795,179.948,201.277,30.278,944.102,193.901,201.280,156.791,36.745,856.588,151.980,201.292,24.281,4.940,197.242
atv,40,0,968.303,180.259,189.998,37.576,943.989,195.721,190.006,156.707,38.705,809.808,152.920,190.058,27.092,5.640,206.417
atv,40,-6,968.300,180.261,183.997,37.575,943.987,195.721,184.006,156.705,38.707,809.811,152.925,184.055,26.724,5.640,206.413
atv,40,6,968.301,180.262,195.998,37.576,943.987,195.723,196.001,156.705,38.707,809.258,152.669,196.051,27.502,5.660,206.418
atv,40,-11.275,968.290,180.269,178.724,37.580,943.972,195.728,178.732,156.696,38.724,809.762,152.923,178.780,27.031,5.640,206.419
atv,40,11.275,968.299,180.262,201.276,37.576,943.985,195.721,201.281,156.704,38.708,809.229,152.527,201.309,28.342,5.660,206.413
