t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.141,828.697,100.787,-119.119,23.324,20.206,1.143,11.596,0.000,0.000,-0.148,2,13.210,2.581,0.999,"Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);"
0.040,148.668,829.089,100.809,-118.897,23.308,20.211,1.105,11.589,0.338,0.000,-0.153,2,3.007,5.933,0.996,"Ground_Mountain_0_1:(-0.176, 0.977, -0.118);Ground_Mountain_0_1:(-0.176, 0.977, -0.118);Ground_Mountain_0_1:(-0.176, 0.977, -0.118);Ground_Mountain_0_1:(-0.176, 0.977, -0.118);Ground_Mountain_0_1:(-0.176, 0.977, -0.118);"
0.060,149.113,829.483,100.838,-118.673,23.268,20.178,1.515,11.560,0.346,0.000,-0.158,4,24.823,6.642,0.993,"Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);"
0.080,149.562,829.876,100.878,-118.448,23.230,20.115,2.073,11.525,0.366,0.000,-0.162,4,32.966,6.069,0.989,"Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);"
0.100,150.088,830.269,100.930,-118.222,23.208,20.034,2.648,11.507,0.385,0.000,-0.165,4,36.222,5.347,0.984,"Ground_Mountain_0_1:(-0.175, 0.977, -0.121);Ground_Mountain_0_1:(-0.175, 0.977, -0.121);Ground_Mountain_0_1:(-0.175, 0.977, -0.121);Ground_Mountain_0_1:(-0.175, 0.977, -0.121);Ground_Mountain_0_1:(-0.175, 0.977, -0.121);"
0.120,150.541,830.662,100.993,-117.995,23.201,19.937,3.214,11.507,0.396,0.000,-0.167,4,38.079,4.503,0.981,"Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);"
0.140,150.996,831.054,101.068,-117.767,23.198,19.816,3.802,11.510,0.399,0.000,-0.168,4,39.320,3.701,0.978,"Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);"
0.160,151.454,831.443,101.158,-117.537,23.168,19.615,4.558,11.480,0.401,0.000,-0.169,4,39.581,2.981,0.977,"Ground_Mountain_0_1:(-0.168, 0.978, -0.123);Ground_Mountain_0_1:(-0.168, 0.978, -0.123);Ground_Mountain_0_1:(-0.168, 0.978, -0.123);Ground_Mountain_0_1:(-0.168, 0.978, -0.123);Ground_Mountain_0_1:(-0.168, 0.978, -0.123);Ground_Mountain_0_1:(-0.168, 0.978, -0.123);"
0.180,151.974,831.831,101.263,-117.308,23.163,19.447,5.162,11.496,0.416,0.000,-0.169,4,37.145,1.880,0.976,"Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);"
0.200,152.434,832.217,101.375,-117.076,23.171,19.315,5.603,11.546,0.419,0.000,-0.169,4,31.969,0.839,0.976,"Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);"
