t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.103,1044.775,153.435,41.087,31.317,-10.908,1.095,29.336,0.000,0.000,-0.109,2,11.528,3.442,0.999,"Ground_Mountain_2_3:(0.063, 0.988, -0.143);Ground_Mountain_2_3:(0.063, 0.988, -0.143);Ground_Mountain_2_3:(0.063, 0.988, -0.143);Ground_Mountain_2_3:(0.063, 0.988, -0.143);Ground_Mountain_2_3:(0.063, 0.988, -0.143);Ground_Mountain_2_3:(0.063, 0.988, -0.143);"
0.040,472.756,1044.562,153.463,41.662,31.255,-10.853,1.382,29.291,0.342,0.000,-0.114,4,13.946,6.106,0.997,"Ground_Mountain_2_3:(0.060, 0.988, -0.143);Ground_Mountain_2_3:(0.060, 0.988, -0.143);Ground_Mountain_2_3:(0.060, 0.988, -0.143);Ground_Mountain_2_3:(0.060, 0.988, -0.143);Ground_Mountain_2_3:(0.060, 0.988, -0.143);"
0.060,473.366,1044.350,153.499,42.239,31.199,-10.809,1.831,29.237,0.372,0.000,-0.120,4,24.110,5.960,0.995,"Ground_Mountain_2_3:(0.061, 0.988, -0.141);Ground_Mountain_2_3:(0.061, 0.988, -0.141);Ground_Mountain_2_3:(0.061, 0.988, -0.141);Ground_Mountain_2_3:(0.061, 0.988, -0.141);Ground_Mountain_2_3:(0.061, 0.988, -0.141);Ground_Mountain_2_3:(0.061, 0.988, -0.141);"
0.080,473.978,1044.138,153.547,42.815,31.146,-10.763,2.413,29.160,0.400,0.000,-0.126,4,31.010,5.323,0.993,"Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);"
0.100,474.636,1043.925,153.606,43.391,31.119,-10.740,3.002,29.080,0.427,0.000,-0.131,4,34.875,4.659,0.991,"Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);"
0.120,475.251,1043.712,153.677,43.968,31.108,-10.736,3.573,28.998,0.441,0.000,-0.137,4,36.562,3.641,0.989,"Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);"
0.140,475.868,1043.498,153.761,44.543,31.085,-10.735,4.220,28.875,0.446,0.000,-0.141,4,36.425,2.591,0.988,"Ground_Mountain_2_3:(0.065, 0.988, -0.141);Ground_Mountain_2_3:(0.065, 0.988, -0.141);Ground_Mountain_2_3:(0.065, 0.988, -0.141);Ground_Mountain_2_3:(0.065, 0.988, -0.141);Ground_Mountain_2_3:(0.065, 0.988, -0.141);Ground_Mountain_2_3:(0.065, 0.988, -0.141);"
0.160,476.526,1043.282,153.858,45.117,31.064,-10.747,4.820,28.749,0.457,0.000,-0.144,4,33.594,1.688,0.988,"Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);"
0.180,477.145,1043.065,153.962,45.689,31.070,-10.793,5.208,28.673,0.468,0.000,-0.148,4,29.238,1.219,0.988,"Ground_Mountain_2_3:(0.065, 0.988, -0.141);Ground_Mountain_2_3:(0.065, 0.988, -0.141);Ground_Mountain_2_3:(0.065, 0.988, -0.141);Ground_Mountain_2_3:(0.065, 0.988, -0.141);Ground_Mountain_2_3:(0.065, 0.988, -0.141);Ground_Mountain_2_3:(0.065, 0.988, -0.141);"
0.200,477.765,1042.847,154.072,46.261,31.074,-10.857,5.529,28.600,0.465,0.000,-0.151,4,25.849,0.943,0.987,"Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);"
0.220,478.420,1042.628,154.188,46.831,31.077,-10.939,5.781,28.531,0.463,0.000,-0.152,4,22.414,0.731,0.987,"Ground_Mountain_2_3:(0.066, 0.988, -0.143);Ground_Mountain_2_3:(0.066, 0.988, -0.143);Ground_Mountain_2_3:(0.066, 0.988, -0.143);Ground_Mountain_2_3:(0.066, 0.988, -0.143);Ground_Mountain_2_3:(0.066, 0.988, -0.143);Ground_Mountain_2_3:(0.066, 0.988, -0.143);"
0.240,479.040,1042.407,154.307,47.401,31.079,-11.039,5.968,28.465,0.461,0.000,-0.153,4,19.078,0.547,0.987,""
0.260,479.660,1042.184,154.429,47.969,31.079,-11.156,6.094,28.402,0.461,0.000,-0.154,4,15.983,0.437,0.988,""
0.280,480.280,1041.958,154.552,48.536,31.078,-11.290,6.164,28.339,0.460,0.000,-0.154,4,13.169,0.319,0.988,""
0.300,480.930,1041.730,154.676,49.102,31.077,-11.441,6.186,28.277,0.461,0.000,-0.153,4,10.684,0.225,0.988,""
0.320,481.550,1041.498,154.799,49.666,31.074,-11.606,6.165,28.215,0.462,0.000,-0.152,4,8.546,0.154,0.988,""
0.340,482.170,1041.263,154.922,50.229,31.071,-11.786,6.109,28.151,0.463,0.000,-0.150,4,6.779,0.092,0.988,""
0.360,482.816,1041.024,155.042,50.791,31.068,-11.977,6.026,28.084,0.464,0.000,-0.148,4,5.375,0.078,0.988,""
0.380,483.436,1040.780,155.161,51.352,31.064,-12.180,5.921,28.014,0.466,0.000,-0.147,4,4.301,0.110,0.988,""
0.400,484.057,1040.533,155.277,51.911,31.060,-12.392,5.801,27.940,0.468,0.000,-0.144,4,3.528,0.113,0.988,""
0.420,484.699,1040.281,155.390,52.469,31.056,-12.611,5.671,27.862,0.470,0.000,-0.142,4,3.044,0.140,0.988,""
0.440,485.319,1040.025,155.501,53.025,31.052,-12.837,5.537,27.780,0.472,0.000,-0.139,4,2.822,0.148,0.988,""
0.460,485.940,1039.764,155.609,53.579,31.048,-13.068,5.403,27.693,0.474,0.000,-0.136,4,2.802,0.159,0.988,""
0.480,486.578,1039.499,155.714,54.131,31.045,-13.302,5.271,27.601,0.476,0.000,-0.133,4,2.955,0.164,0.988,""
0.500,487.198,1039.228,155.817,54.681,31.041,-13.538,5.146,27.505,0.478,0.000,-0.130,4,3.251,0.161,0.988,""
0.520,487.819,1038.953,155.918,55.230,31.038,-13.776,5.028,27.404,0.479,0.000,-0.127,4,3.672,0.155,0.988,""
