t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.141,828.675,100.819,-119.134,23.359,20.251,1.041,11.623,0.000,0.000,-0.176,2,14.624,4.635,0.997,"Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);"
0.040,148.648,829.067,100.843,-118.913,23.278,20.233,1.100,11.585,0.320,0.000,-0.181,2,4.918,7.072,0.993,"Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);"
0.060,149.093,829.461,100.874,-118.688,23.215,20.180,1.596,11.530,0.361,0.000,-0.189,4,28.692,7.817,0.988,"Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);"
0.080,149.543,829.855,100.917,-118.463,23.162,20.096,2.207,11.461,0.392,0.000,-0.195,4,34.267,6.158,0.984,"Ground_Mountain_0_1:(-0.175, 0.977, -0.121);Ground_Mountain_0_1:(-0.175, 0.977, -0.121);Ground_Mountain_0_1:(-0.175, 0.977, -0.121);Ground_Mountain_0_1:(-0.175, 0.977, -0.121);Ground_Mountain_0_1:(-0.175, 0.977, -0.121);"
0.100,149.996,830.250,100.972,-118.238,23.138,20.004,2.800,11.417,0.419,0.000,-0.201,4,36.415,5.257,0.981,"Ground_Mountain_0_1:(-0.171, 0.978, -0.122);Ground_Mountain_0_1:(-0.171, 0.978, -0.122);Ground_Mountain_0_1:(-0.171, 0.978, -0.122);Ground_Mountain_0_1:(-0.171, 0.978, -0.122);Ground_Mountain_0_1:(-0.171, 0.978, -0.122);Ground_Mountain_0_1:(-0.171, 0.978, -0.122);"
0.120,150.525,830.644,101.039,-118.012,23.131,19.901,3.382,11.391,0.431,0.000,-0.205,4,37.953,4.195,0.978,"Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);"
0.140,150.981,831.032,101.130,-117.788,23.013,19.568,4.553,11.235,0.434,0.000,-0.208,4,38.780,3.130,0.977,"Ground_Mountain_0_1:(-0.173, 0.977, -0.125);Ground_Mountain_0_1:(-0.173, 0.977, -0.125);Ground_Mountain_0_1:(-0.173, 0.977, -0.125);Ground_Mountain_0_1:(-0.173, 0.977, -0.125);Ground_Mountain_0_1:(-0.173, 0.977, -0.125);Ground_Mountain_0_1:(-0.173, 0.977, -0.125);"
0.160,151.438,831.421,101.230,-117.562,23.032,19.474,5.003,11.243,0.493,0.000,-0.213,4,31.613,1.843,0.977,"Ground_Mountain_0_1:(-0.171, 0.978, -0.123);Ground_Mountain_0_1:(-0.171, 0.978, -0.123);Ground_Mountain_0_1:(-0.171, 0.978, -0.123);Ground_Mountain_0_1:(-0.171, 0.978, -0.123);Ground_Mountain_0_1:(-0.171, 0.978, -0.123);Ground_Mountain_0_1:(-0.171, 0.978, -0.123);"
0.180,151.956,831.808,101.338,-117.336,23.051,19.389,5.371,11.269,0.484,0.000,-0.216,4,28.188,1.175,0.976,"Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);"
0.200,152.414,832.194,101.451,-117.110,23.068,19.309,5.673,11.311,0.474,0.000,-0.218,4,24.751,0.908,0.976,"Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);"
