t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.102,1040.947,153.406,39.680,31.708,-11.097,-0.030,29.703,0.000,0.000,-0.098,2,10.834,2.201,1.000,"Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.311);Ground_Mountain_1_4:(-0.298, 0.902, 0.311);Ground_Mountain_1_4:(-0.298, 0.902, 0.311);Ground_Mountain_1_4:(-0.298, 0.902, 0.311);Ground_Mountain_1_4:(-0.298, 0.902, 0.311);Ground_Mountain_1_4:(-0.298, 0.902, 0.311);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.311);Ground_Mountain_1_4:(-0.298, 0.902, 0.311);Ground_Mountain_1_4:(-0.298, 0.902, 0.311);Ground_Mountain_1_4:(-0.298, 0.902, 0.311);Ground_Mountain_1_4:(-0.298, 0.902, 0.311);Ground_Mountain_1_4:(-0.298, 0.902, 0.311);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.298, 0.902, 0.312);Ground_Mountain_1_4:(-0.297, 0.903, 0.311);Ground_Mountain_1_4:(-0.297, 0.903, 0.311);Ground_Mountain_1_4:(-0.297, 0.903, 0.311);Ground_Mountain_1_4:(-0.297, 0.903, 0.311);Ground_Mountain_1_4:(-0.297, 0.903, 0.311);Ground_Mountain_1_4:(-0.297, 0.903, 0.311);Ground_Mountain_1_4:(-0.298, 0.903, 0.310);Ground_Mountain_1_4:(-0.298, 0.903, 0.310);Ground_Mountain_1_4:(-0.298, 0.903, 0.310);Ground_Mountain_1_4:(-0.298, 0.903, 0.310);Ground_Mountain_1_4:(-0.298, 0.903, 0.310);Ground_Mountain_1_4:(-0.298, 0.903, 0.310);Ground_Mountain_1_4:(-0.298, 0.903, 0.311);Ground_Mountain_1_4:(-0.298, 0.903, 0.311);Ground_Mountain_1_4:(-0.298, 0.903, 0.311);Ground_Mountain_1_4:(-0.298, 0.903, 0.311);Ground_Mountain_1_4:(-0.298, 0.903, 0.311);Ground_Mountain_1_4:(-0.298, 0.903, 0.311);Ground_Mountain_1_4:(-0.299, 0.902, 0.311);Ground_Mountain_1_4:(-0.299, 0.902, 0.311);Ground_Mountain_1_4:(-0.299, 0.902, 0.311);Ground_Mountain_1_4:(-0.299, 0.902, 0.311);Ground_Mountain_1_4:(-0.299, 0.902, 0.311);Ground_Mountain_1_4:(-0.299, 0.902, 0.311);Ground_Mountain_1_4:(-0.298, 0.903, 0.311);Ground_Mountain_1_4:(-0.298, 0.903, 0.311);Ground_Mountain_1_4:(-0.298, 0.903, 0.311);Ground_Mountain_1_4:(-0.298, 0.903, 0.311);Ground_Mountain_1_4:(-0.298, 0.903, 0.311);Ground_Mountain_1_4:(-0.298, 0.903, 0.311);Ground_Mountain_1_4:(-0.300, 0.903, 0.309);Ground_Mountain_1_4:(-0.300, 0.903, 0.309);Ground_Mountain_1_4:(-0.300, 0.903, 0.309);Ground_Mountain_1_4:(-0.300, 0.903, 0.309);Ground_Mountain_1_4:(-0.300, 0.903, 0.309);Ground_Mountain_1_4:(-0.300, 0.903, 0.309);Ground_Mountain_1_4:(-0.299, 0.903, 0.309);Ground_Mountain_1_4:(-0.299, 0.903, 0.309);Ground_Mountain_1_4:(-0.299, 0.903, 0.309);Ground_Mountain_1_4:(-0.299, 0.903, 0.309);Ground_Mountain_1_4:(-0.299, 0.903, 0.309);Ground_Mountain_1_4:(-0.299, 0.903, 0.309);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.300, 0.903, 0.308);Ground_Mountain_1_4:(-0.299, 0.903, 0.309);Ground_Mountain_1_4:(-0.299, 0.903, 0.309);Ground_Mountain_1_4:(-0.299, 0.903, 0.309);Ground_Mountain_1_4:(-0.299, 0.903, 0.309);Ground_Mountain_1_4:(-0.299, 0.903, 0.309);Ground_Mountain_1_4:(-0.299, 0.903, 0.309);Ground_Mountain_1_4:(-0.298, 0.903, 0.309);Ground_Mountain_1_4:(-0.298, 0.903, 0.309);Ground_Mountain_1_4:(-0.298, 0.903, 0.309);Ground_Mountain_1_4:(-0.298, 0.903, 0.309);Ground_Mountain_1_4:(-0.298, 0.903, 0.309);Ground_Mountain_1_4:(-0.298, 0.903, 0.309);Ground_Mountain_1_4:(-0.300, 0.903, 0.306);Ground_Mountain_1_4:(-0.300, 0.903, 0.306);Ground_Mountain_1_4:(-0.300, 0.903, 0.306);Ground_Mountain_1_4:(-0.300, 0.903, 0.306);Ground_Mountain_1_4:(-0.300, 0.903, 0.306);Ground_Mountain_1_4:(-0.300, 0.903, 0.306);"
0.040,472.868,1040.734,153.429,40.254,31.328,-10.901,1.163,29.349,0.146,0.000,-0.102,4,16.287,0.598,0.999,"Ground_Mountain_2_3:(0.055, 0.987, -0.153);Ground_Mountain_2_3:(0.055, 0.987, -0.153);Ground_Mountain_2_3:(0.055, 0.987, -0.153);Ground_Mountain_2_3:(0.055, 0.987, -0.153);"
0.060,473.476,1040.522,153.460,40.828,31.271,-10.871,1.576,29.299,0.336,0.000,-0.106,4,22.403,6.977,0.996,"Ground_Mountain_2_3:(0.052, 0.987, -0.151);Ground_Mountain_2_3:(0.052, 0.987, -0.151);Ground_Mountain_2_3:(0.052, 0.987, -0.151);Ground_Mountain_2_3:(0.052, 0.987, -0.151);Ground_Mountain_2_3:(0.052, 0.987, -0.151);"
0.080,474.085,1040.310,153.503,41.401,31.199,-10.835,2.199,29.214,0.365,0.000,-0.111,4,32.641,6.518,0.993,"Ground_Mountain_2_3:(0.049, 0.986, -0.161);Ground_Mountain_2_3:(0.049, 0.986, -0.161);Ground_Mountain_2_3:(0.049, 0.986, -0.161);Ground_Mountain_2_3:(0.049, 0.986, -0.161);"
0.100,474.828,1040.096,153.556,41.976,31.170,-10.844,2.720,29.151,0.401,0.000,-0.116,4,35.914,6.067,0.990,"Ground_Mountain_2_3:(0.055, 0.986, -0.154);Ground_Mountain_2_3:(0.055, 0.986, -0.154);Ground_Mountain_2_3:(0.055, 0.986, -0.154);Ground_Mountain_2_3:(0.055, 0.986, -0.154);"
0.120,475.442,1039.882,153.621,42.551,31.141,-10.857,3.310,29.058,0.415,0.000,-0.119,4,39.444,4.869,0.986,"Ground_Mountain_2_3:(0.058, 0.987, -0.151);Ground_Mountain_2_3:(0.058, 0.987, -0.151);Ground_Mountain_2_3:(0.058, 0.987, -0.151);Ground_Mountain_2_3:(0.058, 0.987, -0.151);Ground_Mountain_2_3:(0.058, 0.987, -0.151);Ground_Mountain_2_3:(0.058, 0.987, -0.151);"
0.140,476.057,1039.665,153.719,43.123,30.955,-10.757,4.840,28.622,0.430,0.000,-0.122,4,41.233,4.164,0.987,"Ground_Mountain_2_3:(0.058, 0.987, -0.150);Ground_Mountain_2_3:(0.058, 0.987, -0.150);Ground_Mountain_2_3:(0.058, 0.987, -0.150);Ground_Mountain_2_3:(0.058, 0.987, -0.150);Ground_Mountain_2_3:(0.058, 0.987, -0.150);Ground_Mountain_2_3:(0.058, 0.987, -0.150);"
0.160,476.801,1039.449,153.825,43.694,30.966,-10.784,5.343,28.536,0.522,0.000,-0.128,4,35.127,0.615,0.987,"Ground_Mountain_2_3:(0.054, 0.987, -0.154);Ground_Mountain_2_3:(0.054, 0.987, -0.154);Ground_Mountain_2_3:(0.054, 0.987, -0.154);Ground_Mountain_2_3:(0.054, 0.987, -0.154);Ground_Mountain_2_3:(0.054, 0.987, -0.154);Ground_Mountain_2_3:(0.054, 0.987, -0.154);"
0.180,477.419,1039.232,153.941,44.263,30.976,-10.818,5.751,28.463,0.517,0.000,-0.134,4,30.283,0.495,0.987,"Ground_Mountain_2_3:(0.056, 0.987, -0.152);Ground_Mountain_2_3:(0.056, 0.987, -0.152);Ground_Mountain_2_3:(0.056, 0.987, -0.152);Ground_Mountain_2_3:(0.056, 0.987, -0.152);Ground_Mountain_2_3:(0.056, 0.987, -0.152);Ground_Mountain_2_3:(0.056, 0.987, -0.152);"
0.200,478.038,1039.014,154.062,44.831,30.984,-10.867,6.073,28.400,0.512,0.000,-0.137,4,25.929,0.354,0.987,"Ground_Mountain_2_3:(0.059, 0.987, -0.148);Ground_Mountain_2_3:(0.059, 0.987, -0.148);Ground_Mountain_2_3:(0.059, 0.987, -0.148);Ground_Mountain_2_3:(0.059, 0.987, -0.148);Ground_Mountain_2_3:(0.059, 0.987, -0.148);Ground_Mountain_2_3:(0.059, 0.987, -0.148);"
