t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.141,828.805,100.828,-119.059,31.089,26.951,1.474,15.481,0.000,0.000,-0.191,2,14.624,4.635,0.996,"Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);"
0.040,148.797,829.328,100.868,-118.763,30.932,26.879,1.871,15.383,0.456,0.000,-0.195,3,15.287,9.959,0.990,"Ground_Mountain_0_1:(-0.173, 0.978, -0.119);Ground_Mountain_0_1:(-0.173, 0.978, -0.119);Ground_Mountain_0_1:(-0.173, 0.978, -0.119);Ground_Mountain_0_1:(-0.173, 0.978, -0.119);"
0.060,149.393,829.852,100.917,-118.464,30.809,26.789,2.500,15.294,0.534,0.000,-0.203,4,31.878,9.330,0.984,"Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);"
0.080,149.993,830.377,100.976,-118.164,30.736,26.704,3.079,15.258,0.596,0.000,-0.211,4,36.879,8.376,0.979,"Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);"
0.100,150.670,830.885,101.084,-117.863,30.356,25.964,5.416,14.841,0.632,0.000,-0.216,4,41.222,7.139,0.974,"Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);"
0.120,151.268,831.401,101.222,-117.573,30.280,25.650,6.506,14.719,0.822,0.000,-0.225,4,35.819,9.614,0.976,"Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);"
0.140,151.933,831.913,101.361,-117.279,30.322,25.601,6.894,14.719,0.860,0.000,-0.233,4,29.019,0.658,0.977,"Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);"
0.160,152.535,832.424,101.505,-116.984,30.360,25.561,7.206,14.732,0.839,0.000,-0.240,4,25.093,0.558,0.977,"Ground_Mountain_0_1:(-0.176, 0.976, -0.127);Ground_Mountain_0_1:(-0.176, 0.976, -0.127);Ground_Mountain_0_1:(-0.176, 0.976, -0.127);Ground_Mountain_0_1:(-0.176, 0.976, -0.127);Ground_Mountain_0_1:(-0.176, 0.976, -0.127);Ground_Mountain_0_1:(-0.176, 0.976, -0.127);"
0.180,153.139,832.935,101.654,-116.689,30.395,25.525,7.445,14.767,0.820,0.000,-0.244,4,21.380,0.427,0.977,"Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);"
0.200,153.791,833.445,101.806,-116.392,30.426,25.488,7.616,14.827,0.802,0.000,-0.245,4,17.915,0.332,0.977,""
