t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.102,1041.027,153.437,39.683,31.326,-10.939,1.058,29.337,0.000,0.000,-0.114,2,11.991,3.539,0.999,"Mountain trunk:(-0.493, -0.482, 0.725);Mountain trunk:(-0.493, -0.482, 0.725);Mountain trunk:(-0.493, -0.482, 0.725);Mountain trunk:(-0.493, -0.482, 0.725);Mountain trunk:(-0.493, -0.482, 0.725);Mountain trunk:(-0.493, -0.482, 0.725);Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);"
0.040,472.845,1040.814,153.468,40.256,31.240,-10.869,1.421,29.276,0.337,0.000,-0.118,4,15.456,6.011,0.997,"Ground_Mountain_2_3:(0.053, 0.987, -0.149);Ground_Mountain_2_3:(0.053, 0.987, -0.149);Ground_Mountain_2_3:(0.053, 0.987, -0.149);Ground_Mountain_2_3:(0.053, 0.987, -0.149);Ground_Mountain_2_3:(0.053, 0.987, -0.149);Ground_Mountain_2_3:(0.053, 0.987, -0.149);"
0.060,473.454,1040.602,153.507,40.829,31.154,-10.805,1.981,29.191,0.380,0.000,-0.124,4,26.024,6.252,0.994,"Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);"
0.080,474.065,1040.390,153.558,41.405,31.104,-10.773,2.574,29.108,0.423,0.000,-0.130,4,32.818,5.958,0.991,"Ground_Mountain_2_3:(0.053, 0.986, -0.156);Ground_Mountain_2_3:(0.053, 0.986, -0.156);Ground_Mountain_2_3:(0.053, 0.986, -0.156);Ground_Mountain_2_3:(0.053, 0.986, -0.156);Ground_Mountain_2_3:(0.053, 0.986, -0.156);Ground_Mountain_2_3:(0.053, 0.986, -0.156);"
0.100,474.809,1040.178,153.620,41.981,31.081,-10.763,3.148,29.026,0.448,0.000,-0.136,4,35.826,4.791,0.989,"Ground_Mountain_2_3:(0.056, 0.987, -0.153);Ground_Mountain_2_3:(0.056, 0.987, -0.153);Ground_Mountain_2_3:(0.056, 0.987, -0.153);Ground_Mountain_2_3:(0.056, 0.987, -0.153);Ground_Mountain_2_3:(0.056, 0.987, -0.153);"
0.120,475.424,1039.964,153.695,42.556,31.065,-10.755,3.762,28.927,0.460,0.000,-0.141,4,37.876,3.714,0.987,"Ground_Mountain_2_3:(0.062, 0.987, -0.147);Ground_Mountain_2_3:(0.062, 0.987, -0.147);Ground_Mountain_2_3:(0.062, 0.987, -0.147);Ground_Mountain_2_3:(0.062, 0.987, -0.147);Ground_Mountain_2_3:(0.062, 0.987, -0.147);Ground_Mountain_2_3:(0.062, 0.987, -0.147);"
0.140,476.041,1039.749,153.793,43.127,30.945,-10.816,4.908,28.577,0.467,0.000,-0.145,4,38.166,2.627,0.987,"Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.017, 0.985, -0.170);Ground_Mountain_2_3:(0.017, 0.985, -0.170);Ground_Mountain_2_3:(0.017, 0.985, -0.170);Ground_Mountain_2_3:(0.017, 0.985, -0.170);Ground_Mountain_2_3:(0.017, 0.985, -0.170);Ground_Mountain_2_3:(0.017, 0.985, -0.170);"
0.160,476.781,1039.533,153.899,43.697,30.958,-10.837,5.297,28.515,0.527,0.000,-0.149,4,29.291,1.147,0.987,"Ground_Mountain_2_3:(0.056, 0.987, -0.151);Ground_Mountain_2_3:(0.056, 0.987, -0.151);Ground_Mountain_2_3:(0.056, 0.987, -0.151);Ground_Mountain_2_3:(0.056, 0.987, -0.151);Ground_Mountain_2_3:(0.056, 0.987, -0.151);Ground_Mountain_2_3:(0.056, 0.987, -0.151);"
0.180,477.399,1039.316,154.011,44.266,30.969,-10.875,5.620,28.457,0.521,0.000,-0.152,4,25.950,0.871,0.987,"Ground_Mountain_2_3:(0.057, 0.987, -0.149);Ground_Mountain_2_3:(0.057, 0.987, -0.149);Ground_Mountain_2_3:(0.057, 0.987, -0.149);Ground_Mountain_2_3:(0.057, 0.987, -0.149);Ground_Mountain_2_3:(0.057, 0.987, -0.149);Ground_Mountain_2_3:(0.057, 0.987, -0.149);"
0.200,478.017,1039.097,154.129,44.834,30.978,-10.933,5.879,28.401,0.516,0.000,-0.155,4,22.777,0.727,0.987,"Ground_Mountain_2_3:(0.061, 0.987, -0.148);Ground_Mountain_2_3:(0.061, 0.987, -0.148);Ground_Mountain_2_3:(0.061, 0.987, -0.148);Ground_Mountain_2_3:(0.061, 0.987, -0.148);Ground_Mountain_2_3:(0.061, 0.987, -0.148);"
0.220,478.748,1038.877,154.250,45.401,30.985,-11.012,6.076,28.346,0.511,0.000,-0.155,4,19.631,0.548,0.987,""
0.240,479.366,1038.655,154.374,45.967,30.991,-11.110,6.215,28.292,0.507,0.000,-0.157,4,16.663,0.282,0.987,""
0.260,479.985,1038.431,154.500,46.532,30.995,-11.227,6.300,28.239,0.505,0.000,-0.157,4,13.872,0.048,0.987,""
0.280,480.709,1038.203,154.627,47.096,30.998,-11.363,6.335,28.185,0.502,0.000,-0.156,4,11.385,0.022,0.987,""
0.300,481.327,1037.973,154.754,47.658,31.000,-11.518,6.328,28.130,0.501,0.000,-0.156,4,9.237,0.066,0.987,""
0.320,481.945,1037.739,154.879,48.220,31.001,-11.689,6.284,28.071,0.500,0.000,-0.155,4,7.410,0.126,0.987,""
0.340,482.661,1037.502,155.004,48.780,31.000,-11.873,6.216,28.010,0.500,0.000,-0.152,4,6.117,0.143,0.987,""
0.360,483.279,1037.261,155.126,49.339,31.000,-12.069,6.126,27.945,0.500,0.000,-0.151,4,4.997,0.105,0.987,""
0.380,483.898,1037.015,155.247,49.897,30.998,-12.276,6.019,27.875,0.500,0.000,-0.149,4,4.138,0.053,0.987,""
0.400,484.608,1036.766,155.365,50.453,30.996,-12.493,5.900,27.801,0.501,0.000,-0.146,4,3.534,0.022,0.987,""
0.420,485.226,1036.511,155.480,51.008,30.994,-12.718,5.773,27.722,0.502,0.000,-0.143,4,3.159,0.022,0.987,""
