t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.103,1046.748,153.408,41.510,15.853,-5.549,-0.011,14.850,0.000,0.000,-0.069,2,10.332,1.826,1.000,"Ground_Mountain_0_1:(0.351, 0.306, -0.885);"
0.040,472.414,1046.639,153.408,41.803,15.857,-5.553,0.005,14.856,0.074,0.000,-0.072,2,10.517,0.532,1.000,""
0.060,472.723,1046.529,153.411,42.095,15.858,-5.559,0.137,14.856,0.071,0.000,-0.074,4,16.318,0.748,0.999,""
0.080,473.032,1046.420,153.417,42.387,15.855,-5.565,0.343,14.848,0.071,0.000,-0.076,4,20.029,1.395,0.999,""
0.100,473.342,1046.310,153.429,42.679,15.849,-5.572,0.608,14.830,0.073,0.000,-0.077,4,22.977,1.745,0.998,""
0.120,473.651,1046.200,153.447,42.971,15.843,-5.581,0.915,14.803,0.075,0.000,-0.078,4,25.077,1.880,0.997,"Ground_Mountain_2_3:(0.060, 0.988, -0.141);Ground_Mountain_2_3:(0.060, 0.988, -0.141);"
0.140,473.962,1046.090,153.472,43.262,15.836,-5.591,1.245,14.766,0.078,0.000,-0.078,4,26.334,1.878,0.996,"Ground_Mountain_2_3:(0.058, 0.989, -0.140);Ground_Mountain_2_3:(0.058, 0.989, -0.140);Ground_Mountain_2_3:(0.058, 0.989, -0.140);Ground_Mountain_2_3:(0.058, 0.989, -0.140);"
0.160,474.274,1045.979,153.503,43.553,15.829,-5.602,1.585,14.721,0.082,0.000,-0.079,4,26.801,1.782,0.995,"Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);"
0.180,474.586,1045.868,153.541,43.843,15.822,-5.616,1.919,14.670,0.085,0.000,-0.079,4,26.569,1.631,0.994,"Ground_Mountain_2_3:(0.060, 0.988, -0.141);Ground_Mountain_2_3:(0.060, 0.988, -0.141);"
0.200,474.898,1045.757,153.586,44.132,15.815,-5.631,2.237,14.615,0.089,0.000,-0.080,4,25.747,1.458,0.993,"Ground_Mountain_2_3:(0.060, 0.988, -0.141);"
0.220,475.212,1045.645,153.636,44.421,15.807,-5.650,2.528,14.558,0.093,0.000,-0.080,4,24.449,1.277,0.992,""
0.240,475.525,1045.532,153.691,44.710,15.799,-5.672,2.786,14.501,0.096,0.000,-0.080,4,22.808,1.085,0.991,""
0.260,475.839,1045.419,153.751,44.997,15.790,-5.698,3.007,14.446,0.100,0.000,-0.080,4,20.941,0.918,0.991,""
0.280,476.154,1045.305,153.815,45.284,15.781,-5.728,3.188,14.393,0.105,0.000,-0.080,4,18.940,0.770,0.990,""
0.300,476.466,1045.190,153.881,45.570,15.771,-5.761,3.329,14.344,0.109,0.000,-0.079,4,16.900,0.633,0.990,""
0.320,476.780,1045.075,153.950,45.855,15.762,-5.799,3.430,14.300,0.114,0.000,-0.079,4,14.914,0.506,0.989,""
0.340,477.095,1044.958,154.019,46.139,15.751,-5.840,3.494,14.260,0.119,0.000,-0.079,4,13.031,0.409,0.989,""
0.360,477.409,1044.841,154.090,46.424,15.741,-5.884,3.524,14.224,0.124,0.000,-0.079,4,11.296,0.329,0.989,""
0.380,477.723,1044.723,154.160,46.707,15.732,-5.932,3.523,14.192,0.129,0.000,-0.078,4,9.744,0.264,0.989,""
0.400,478.038,1044.604,154.230,46.990,15.722,-5.983,3.495,14.164,0.134,0.000,-0.078,4,8.398,0.200,0.989,""
0.420,478.352,1044.483,154.299,47.273,15.713,-6.036,3.446,14.139,0.139,0.000,-0.077,4,7.276,0.161,0.989,""
0.440,478.663,1044.362,154.367,47.555,15.705,-6.091,3.379,14.117,0.143,0.000,-0.076,4,6.358,0.136,0.988,""
0.460,478.976,1044.239,154.432,47.837,15.697,-6.148,3.297,14.097,0.148,0.000,-0.076,4,5.642,0.114,0.988,""
0.480,479.290,1044.115,154.497,48.119,15.690,-6.206,3.206,14.078,0.151,0.000,-0.075,4,5.132,0.085,0.988,""
0.500,479.604,1043.990,154.559,48.400,15.683,-6.265,3.108,14.061,0.155,0.000,-0.075,4,4.816,0.071,0.988,""
0.520,479.917,1043.864,154.619,48.681,15.677,-6.325,3.008,14.044,0.158,0.000,-0.074,4,4.661,0.066,0.988,""
0.540,480.231,1043.736,154.677,48.961,15.671,-6.385,2.908,14.028,0.162,0.000,-0.073,4,4.652,0.065,0.988,""
0.560,480.540,1043.608,154.733,49.242,15.666,-6.446,2.810,14.011,0.164,0.000,-0.072,4,4.774,0.060,0.988,""
0.580,480.853,1043.478,154.788,49.522,15.662,-6.506,2.716,13.994,0.167,0.000,-0.071,4,5.000,0.063,0.988,""
0.600,481.167,1043.346,154.840,49.801,15.658,-6.566,2.629,13.976,0.169,0.000,-0.071,4,5.303,0.063,0.988,""
0.620,481.480,1043.214,154.891,50.081,15.654,-6.626,2.549,13.958,0.171,0.000,-0.070,4,5.663,0.057,0.988,""
0.640,481.793,1043.081,154.941,50.359,15.651,-6.684,2.477,13.938,0.173,0.000,-0.069,4,6.075,0.060,0.988,""
0.660,482.106,1042.946,154.989,50.638,15.648,-6.742,2.414,13.918,0.175,0.000,-0.068,4,6.512,0.051,0.988,""
0.680,482.414,1042.810,155.036,50.916,15.645,-6.800,2.360,13.896,0.176,0.000,-0.067,4,6.958,0.053,0.988,""
0.700,482.727,1042.673,155.082,51.193,15.643,-6.856,2.314,13.874,0.177,0.000,-0.066,4,7.406,0.055,0.988,""
0.720,483.040,1042.535,155.128,51.470,15.641,-6.911,2.278,13.850,0.178,0.000,-0.065,4,7.844,0.048,0.988,""
0.740,483.353,1042.396,155.173,51.747,15.639,-6.966,2.249,13.826,0.179,0.000,-0.065,4,8.259,0.051,0.988,""
0.760,483.666,1042.256,155.218,52.023,15.638,-7.019,2.228,13.800,0.180,0.000,-0.064,4,8.644,0.054,0.988,""
0.780,483.979,1042.114,155.262,52.299,15.637,-7.072,2.214,13.774,0.181,0.000,-0.063,4,8.996,0.056,0.988,""
0.800,484.291,1041.972,155.306,52.574,15.635,-7.123,2.207,13.748,0.182,0.000,-0.062,4,9.313,0.037,0.988,""
0.820,484.599,1041.829,155.350,52.848,15.634,-7.173,2.205,13.720,0.182,0.000,-0.061,4,9.591,0.039,0.988,""
0.840,484.912,1041.684,155.394,53.122,15.633,-7.223,2.207,13.693,0.183,0.000,-0.060,4,9.824,0.035,0.988,""
0.860,485.224,1041.539,155.438,53.395,15.633,-7.272,2.214,13.665,0.183,0.000,-0.059,4,10.016,0.039,0.988,""
0.880,485.537,1041.393,155.483,53.668,15.632,-7.320,2.223,13.637,0.184,0.000,-0.058,4,10.161,0.041,0.988,""
0.900,485.850,1041.245,155.528,53.941,15.631,-7.367,2.234,13.609,0.184,0.000,-0.058,4,10.261,0.035,0.988,""
0.920,486.162,1041.097,155.572,54.212,15.631,-7.413,2.246,13.581,0.184,0.000,-0.057,4,10.332,0.040,0.988,""
0.940,486.469,1040.948,155.618,54.483,15.630,-7.458,2.260,13.553,0.185,0.000,-0.056,4,10.373,0.036,0.988,""
0.960,486.782,1040.798,155.663,54.754,15.630,-7.503,2.273,13.525,0.185,0.000,-0.055,4,10.383,0.039,0.988,""
0.980,487.094,1040.647,155.709,55.024,15.630,-7.548,2.287,13.498,0.185,0.000,-0.054,4,10.370,0.042,0.988,""
1.000,487.407,1040.496,155.755,55.294,15.630,-7.591,2.299,13.471,0.185,0.000,-0.053,4,10.342,0.039,0.988,""
1.020,487.720,1040.343,155.801,55.563,15.630,-7.634,2.311,13.444,0.185,0.000,-0.052,4,10.302,0.041,0.989,""
1.040,488.033,1040.190,155.848,55.831,15.630,-7.677,2.322,13.418,0.185,0.000,-0.051,4,10.248,0.041,0.989,""
1.060,488.345,1040.035,155.894,56.099,15.629,-7.718,2.332,13.392,0.185,0.000,-0.050,4,10.182,0.044,0.989,""
1.080,488.653,1039.880,155.941,56.366,15.630,-7.759,2.340,13.367,0.185,0.000,-0.050,4,10.119,0.041,0.989,""
1.100,488.966,1039.724,155.988,56.633,15.630,-7.800,2.347,13.342,0.185,0.000,-0.049,4,10.063,0.039,0.989,""
1.120,489.278,1039.568,156.035,56.900,15.630,-7.840,2.353,13.317,0.185,0.000,-0.048,4,9.997,0.033,0.989,""
1.140,489.591,1039.410,156.082,57.166,15.630,-7.879,2.358,13.293,0.185,0.000,-0.047,4,9.932,0.034,0.989,""
1.160,489.904,1039.252,156.129,57.431,15.630,-7.918,2.361,13.270,0.185,0.000,-0.046,4,9.870,0.034,0.989,""
1.180,490.216,1039.093,156.177,57.696,15.630,-7.957,2.363,13.247,0.185,0.000,-0.046,4,9.812,0.035,0.989,""
1.200,490.524,1038.933,156.224,57.961,15.630,-7.994,2.364,13.224,0.185,0.000,-0.045,4,9.753,0.031,0.989,""
1.220,490.836,1038.772,156.271,58.225,15.630,-8.031,2.364,13.201,0.185,0.000,-0.044,4,9.698,0.035,0.989,""
1.240,491.149,1038.611,156.319,58.488,15.631,-8.068,2.363,13.180,0.185,0.000,-0.043,4,9.652,0.039,0.989,""
1.260,491.462,1038.449,156.366,58.752,15.631,-8.104,2.361,13.158,0.185,0.000,-0.042,4,9.612,0.033,0.989,""
