NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
original paint=0: activeRenderers=20; materials=7; triangles=8044; colliders=1; size=(1.85, 0.65, 3.70); center=(0.00, 0.05, 0.00); mass=1200; com=(0.00, -0.35, 0.00)
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
original paint=1: activeRenderers=20; materials=7; triangles=8044; colliders=1; size=(1.85, 0.65, 3.70); center=(0.00, 0.05, 0.00); mass=1200; com=(0.00, -0.35, 0.00)
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
original paint=2: activeRenderers=20; materials=7; triangles=8044; colliders=1; size=(1.85, 0.65, 3.70); center=(0.00, 0.05, 0.00); mass=1200; com=(0.00, -0.35, 0.00)
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
original paint=3: activeRenderers=20; materials=7; triangles=8044; colliders=1; size=(1.85, 0.65, 3.70); center=(0.00, 0.05, 0.00); mass=1200; com=(0.00, -0.35, 0.00)
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
NONBODY original Water ripple LineRenderer material=Universal Render Pipeline/Unlit base=RGBA(0.000, 0.000, 0.000, 0.000) color=RGBA(0.000, 0.000, 0.000, 0.000) has=True
