time,speed,signedSpeed,valid,grounded,timer,visible,rendered
0.000,0.000,0.000,False,0,0.000,False,False
0.008,0.358,0.000,False,4,0.000,False,False
0.019,0.358,0.000,False,4,0.000,False,False
0.028,0.715,-0.415,True,4,0.000,False,False
0.036,0.715,-0.415,True,4,0.000,False,False
0.045,0.715,-0.415,True,4,0.000,False,False
0.053,1.071,-0.787,True,4,0.000,False,False
0.061,1.071,-0.787,True,4,0.000,False,False
0.070,1.427,-1.160,True,4,0.000,False,False
0.078,1.427,-1.160,True,4,0.000,False,False
0.086,1.783,-1.526,True,4,0.000,False,False
0.095,1.783,-1.526,True,4,0.000,False,False
0.103,1.783,-1.526,True,4,0.000,False,False
0.111,2.138,-1.892,True,4,0.000,False,False
0.120,2.138,-1.892,True,4,0.000,False,False
0.128,2.493,-2.240,True,4,0.000,False,False
0.136,2.493,-2.240,True,4,0.000,False,False
0.145,2.493,-2.240,True,4,0.000,False,False
0.153,2.847,-2.594,True,4,0.000,False,False
0.161,2.847,-2.594,True,4,0.000,False,False
0.170,3.200,-2.942,True,4,0.000,False,False
0.178,3.200,-2.942,True,4,0.000,False,False
0.186,3.552,-4.010,True,4,0.020,False,False
0.195,3.553,-4.010,True,4,0.020,False,False
0.203,3.553,-4.010,True,4,0.020,False,False
0.211,3.904,-3.638,True,4,0.040,False,False
0.220,3.904,-3.638,True,4,0.040,False,False
0.228,4.254,-3.979,True,4,0.060,False,False
0.236,4.254,-3.979,True,4,0.060,False,False
0.245,4.254,-3.979,True,4,0.060,False,False
0.253,4.603,-4.321,True,4,0.080,False,False
0.261,4.603,-4.321,True,4,0.080,False,False
0.270,4.950,-4.663,True,4,0.100,False,False
0.278,4.950,-4.663,True,4,0.100,False,False
0.286,5.296,-5.005,True,4,0.120,False,False
0.295,5.296,-5.005,True,4,0.120,False,False
0.303,5.296,-5.005,True,4,0.120,False,False
0.311,5.640,-5.347,True,4,0.140,False,False
0.320,5.640,-5.347,True,4,0.140,False,False
0.328,5.983,-5.676,True,4,0.160,False,False
0.336,5.983,-5.676,True,4,0.160,False,False
0.345,5.983,-5.676,True,4,0.160,False,False
0.354,6.324,-6.018,True,4,0.180,False,False
0.362,6.324,-6.018,True,4,0.180,False,False
0.370,6.663,-7.068,True,4,0.200,False,False
0.379,6.663,-7.068,True,4,0.200,False,False
0.387,7.000,-6.683,True,4,0.220,False,False
0.396,7.000,-6.683,True,4,0.220,False,False
0.405,7.000,-6.683,True,4,0.220,False,False
0.413,7.336,-7.013,True,4,0.240,False,False
0.421,7.336,-7.013,True,4,0.240,False,False
0.430,7.669,-7.343,True,4,0.260,False,False
0.439,7.669,-7.343,True,4,0.260,False,False
0.447,8.000,-7.672,True,4,0.280,False,False
0.455,8.000,-7.672,True,4,0.280,False,False
0.464,8.000,-7.672,True,4,0.280,False,False
0.472,8.330,-7.996,True,4,0.300,False,False
0.480,8.330,-7.996,True,4,0.300,False,False
0.489,8.657,-8.319,True,4,0.320,False,False
0.497,8.657,-8.319,True,4,0.320,False,False
0.505,8.657,-8.319,True,4,0.320,False,False
0.514,8.981,-9.357,True,4,0.340,False,False
0.522,8.981,-9.357,True,4,0.340,False,False
0.530,9.304,-8.960,True,4,0.360,False,False
0.539,9.304,-8.960,True,4,0.360,False,False
0.547,9.624,-9.277,True,4,0.380,False,False
0.555,9.624,-9.277,True,4,0.380,False,False
0.564,9.624,-9.277,True,4,0.380,False,False
0.572,9.942,-9.595,True,4,0.400,False,False
0.580,9.942,-9.595,True,4,0.400,False,False
0.589,10.258,-9.906,True,4,0.420,False,False
0.597,10.258,-9.906,True,4,0.420,False,False
0.605,10.258,-9.906,True,4,0.420,False,False
0.614,10.572,-10.925,True,4,0.440,False,False
0.622,10.572,-10.925,True,4,0.440,False,False
0.630,10.883,-10.535,True,4,0.460,False,False
0.642,10.883,-10.535,True,4,0.460,False,False
0.651,11.192,-10.834,True,4,0.480,False,False
0.659,11.192,-10.834,True,4,0.480,False,False
0.667,11.498,-11.133,True,4,0.500,False,False
0.676,11.498,-11.133,True,4,0.500,False,False
0.684,11.498,-11.133,True,4,0.500,False,False
0.692,11.801,-12.964,True,4,0.520,False,False
0.701,11.802,-12.964,True,4,0.520,False,False
0.709,12.103,-11.713,True,4,0.540,False,False
0.717,12.103,-11.713,True,4,0.540,False,False
0.726,12.103,-11.713,True,4,0.540,False,False
0.734,12.402,-12.018,True,4,0.560,False,False
0.742,12.402,-12.018,True,4,0.560,False,False
0.751,12.698,-12.317,True,4,0.580,False,False
0.759,12.699,-12.317,True,4,0.580,False,False
0.767,12.992,-12.567,True,4,0.600,False,False
0.776,12.992,-12.567,True,4,0.600,False,False
0.784,12.993,-12.567,True,4,0.600,False,False
0.792,13.283,-12.915,True,4,0.620,False,False
0.801,13.284,-12.915,True,4,0.620,False,False
