vehicle,jump,mode,seconds,airSeconds,peakHeight,minUpright,recoveries,landed,wrongWay
moto,0,False,8.915,1.380,6.990,0.994,0,True,False
moto,0,True,8.916,1.360,6.996,0.988,0,True,False
moto,1,False,8.804,1.440,7.003,0.991,0,True,False
moto,1,True,8.801,1.440,6.998,0.992,0,True,False
moto,2,False,12.158,1.460,7.066,0.989,0,True,False
moto,2,True,12.127,1.440,7.026,0.993,0,True,False
moto,3,False,9.776,2.600,7.094,0.937,0,True,False
moto,3,True,9.764,2.600,7.128,0.936,0,True,False
moto,4,False,9.364,3.220,7.708,0.865,0,True,False
moto,4,True,9.407,3.220,7.630,0.863,0,True,False
atv,0,False,9.131,1.400,7.104,0.991,0,True,False
atv,0,True,9.123,1.420,7.137,0.989,0,True,False
atv,1,False,8.926,1.440,7.008,0.991,0,True,False
atv,1,True,8.923,1.440,7.021,0.992,0,True,False
atv,2,False,12.268,1.460,7.033,0.996,0,True,False
atv,2,True,12.318,1.460,7.070,0.994,0,True,False
atv,3,False,9.892,2.460,7.002,0.901,0,True,False
atv,3,True,9.732,2.280,7.006,0.929,0,True,False
atv,4,False,10.206,1.780,7.580,0.866,0,True,False
atv,4,True,10.161,1.780,7.580,0.866,0,True,False
