vehicle,jump,time,station,speed,throttle,brake,steer,grounded,up,angularSpeed,contact,impulse,suspensionLift,alignmentTorque
moto,340,0.000,294.960,32.000,0.024,0.000,-0.005,0,1.000,0.000,,0.000,0.000,0.000
moto,340,0.019,295.602,31.998,0.030,0.000,-0.006,0,1.000,0.000,Ground_560_400,0.000,0.000,0.000
moto,340,0.039,296.240,31.998,0.036,0.000,-0.006,2,1.000,0.000,Ground_560_400,0.000,8.702,1.116
moto,340,0.059,296.875,31.705,0.180,0.000,-0.007,2,1.000,0.165,Ground_560_400,0.000,7.900,0.019
moto,340,0.079,297.513,31.727,0.165,0.000,-0.007,2,1.000,0.295,Ground_560_400,0.000,7.002,0.899
moto,340,0.099,298.148,31.748,0.149,0.000,-0.007,2,1.000,0.391,Ground_560_400,0.000,6.048,1.632
moto,340,0.119,298.786,31.768,0.133,0.000,-0.007,2,1.000,0.457,Ground_560_400,0.000,5.074,2.170
moto,340,0.139,299.424,31.788,0.119,0.000,-0.007,2,0.999,0.495,Ground_560_400,0.000,4.170,2.530
moto,340,0.159,300.065,31.807,0.105,0.000,-0.008,4,0.999,0.512,Ground_560_400,0.000,9.793,2.929
moto,340,0.179,300.703,31.822,0.094,0.000,-0.008,4,0.999,0.405,Ground_560_400,0.000,8.670,2.406
moto,340,0.199,301.340,31.836,0.085,0.000,-0.008,4,0.998,0.315,Ground_560_400,0.000,8.306,1.962
moto,340,0.219,301.980,31.851,0.077,0.000,-0.008,4,0.998,0.237,Ground_560_400,0.000,8.335,1.500
moto,340,0.239,302.618,31.864,0.069,0.000,-0.008,4,0.998,0.173,Ground_560_400,0.000,8.789,1.256
moto,340,0.259,303.254,31.877,0.063,0.000,-0.008,4,0.997,0.121,Ground_560_400,0.000,9.518,0.983
moto,340,0.279,303.894,31.889,0.056,0.000,-0.008,4,0.997,0.080,Ground_560_400,0.000,10.371,0.751
moto,340,0.299,304.532,31.900,0.051,0.000,-0.008,4,0.997,0.054,Ground_560_400,0.000,11.258,0.566
moto,340,0.319,305.169,31.910,0.046,0.000,-0.008,4,0.997,0.046,Ground_560_400,0.000,12.129,0.344
moto,340,0.339,305.803,31.632,0.185,0.000,-0.007,4,0.997,0.052,Ground_560_400,0.000,13.036,0.239
moto,340,0.359,306.436,31.665,0.168,0.000,-0.007,4,0.997,0.062,Ground_560_400,0.000,13.688,0.187
moto,340,0.379,307.068,31.695,0.153,0.000,-0.007,4,0.998,0.072,Ground_560_400,0.000,14.319,0.006
moto,340,0.399,307.703,31.722,0.139,0.000,-0.007,4,0.998,0.080,Ground_560_400,0.000,14.722,0.139
moto,340,0.419,308.337,31.746,0.127,0.000,-0.007,4,0.998,0.084,Ground_560_400,0.000,15.031,0.166
moto,340,0.439,308.973,31.769,0.116,0.000,-0.007,4,0.998,0.086,Ground_560_400,0.000,15.183,0.142
moto,340,0.459,309.608,31.789,0.106,0.000,-0.007,4,0.998,0.088,Ground_560_400,0.000,15.263,0.158
moto,340,0.479,310.244,31.807,0.097,0.000,-0.007,4,0.998,0.089,Ground_560_400,0.000,15.178,0.227
moto,340,0.499,310.882,31.824,0.088,0.000,-0.007,4,0.998,0.090,Ground_560_400,0.000,15.081,0.233
moto,340,0.519,311.519,31.839,0.081,0.000,-0.007,4,0.998,0.091,Ground_560_400,0.000,14.881,0.192
moto,340,0.539,312.154,31.853,0.074,0.000,-0.007,4,0.998,0.090,Ground_560_400,0.000,14.642,0.233
moto,340,0.559,312.791,31.865,0.068,0.000,-0.006,4,0.998,0.088,Ground_560_400,0.000,14.275,0.265
moto,340,0.579,313.428,31.876,0.063,0.000,-0.006,4,0.998,0.084,Ground_560_400,0.000,13.866,0.213
moto,340,0.599,314.066,31.886,0.058,0.000,-0.006,4,0.999,0.081,Ground_560_400,0.000,13.431,0.279
moto,340,0.619,314.705,31.895,0.054,0.000,-0.006,4,0.999,0.077,Ground_560_400,0.000,12.998,0.217
moto,340,0.639,315.342,31.903,0.050,0.000,-0.006,4,0.999,0.075,Ground_560_400,0.000,12.557,0.239
moto,340,0.659,315.980,31.909,0.047,0.000,-0.006,4,0.999,0.071,Ground_560_400,0.000,12.078,0.230
moto,340,0.679,316.613,31.628,0.188,0.000,-0.006,4,0.999,0.069,Ground_560_400,0.000,11.666,0.215
moto,340,0.699,317.245,31.658,0.173,0.000,-0.006,4,0.999,0.064,Ground_560_400,0.000,11.348,0.181
moto,340,0.719,317.879,31.685,0.159,0.000,-0.006,4,0.999,0.061,Ground_560_400,0.000,10.932,0.268
moto,340,0.739,318.513,31.710,0.147,0.000,-0.005,4,0.999,0.057,Ground_560_400,0.000,10.497,0.234
moto,340,0.759,319.147,31.732,0.136,0.000,-0.005,4,0.999,0.055,Ground_560_400,0.000,10.197,0.118
moto,340,0.779,319.782,31.751,0.126,0.000,-0.005,4,0.999,0.052,Ground_560_400,0.000,9.988,0.173
moto,340,0.799,320.418,31.769,0.117,0.000,-0.005,4,0.999,0.049,Ground_560_400,0.000,9.697,0.125
moto,340,0.819,321.054,31.785,0.109,0.000,-0.005,4,0.999,0.049,Ground_560_400,0.000,9.557,0.170
moto,340,0.839,321.690,31.799,0.102,0.000,-0.005,4,0.999,0.048,Ground_560_400,0.000,9.462,0.133
moto,340,0.859,322.326,31.812,0.095,0.000,-0.005,4,0.999,0.046,Ground_560_400,0.000,9.385,0.143
moto,340,0.879,322.960,31.824,0.089,0.000,-0.005,4,0.999,0.043,Ground_560_400,0.000,9.269,0.119
moto,340,0.899,323.599,31.834,0.084,0.000,-0.005,4,0.999,0.041,Ground_560_400,0.000,9.207,0.076
moto,340,0.919,324.235,31.844,0.079,0.000,-0.005,4,0.999,0.040,Ground_560_400,0.000,9.251,0.106
moto,340,0.939,324.875,31.852,0.074,0.000,-0.005,4,0.999,0.039,Ground_560_400,0.000,9.281,0.106
moto,340,0.959,325.510,31.860,0.070,0.000,-0.004,4,0.999,0.039,Ground_560_400,0.000,9.349,0.091
moto,340,0.979,326.147,31.867,0.067,0.000,-0.004,4,0.999,0.038,Ground_560_400,0.000,9.374,0.078
moto,340,0.999,326.780,31.873,0.064,0.000,-0.004,4,0.999,0.036,Ground_560_400,0.000,9.301,0.148
moto,340,1.019,327.418,31.879,0.061,0.000,-0.004,4,0.999,0.032,Ground_560_480,0.000,9.440,0.037
moto,340,1.039,328.061,31.884,0.058,0.000,-0.004,4,0.999,0.031,Ground_560_480,0.000,9.436,0.165
moto,340,1.059,328.700,31.888,0.056,0.000,-0.004,4,0.999,0.031,Ground_560_480,0.000,9.461,0.068
moto,340,1.079,329.338,31.892,0.054,0.000,-0.004,4,0.999,0.033,Ground_560_480,0.000,9.602,0.136
moto,340,1.099,329.970,31.896,0.052,0.000,-0.004,4,0.999,0.032,Ground_560_480,0.000,9.647,0.130
moto,340,1.119,330.607,31.899,0.050,0.000,-0.004,4,0.999,0.029,Ground_560_480,0.000,9.623,0.101
moto,340,1.139,331.245,31.902,0.049,0.000,-0.004,4,0.999,0.027,Ground_560_480,0.000,9.591,0.111
moto,340,1.159,331.885,31.618,0.191,0.000,-0.004,4,0.999,0.026,Ground_560_480,0.000,9.625,0.105
moto,340,1.179,332.516,31.646,0.177,0.000,-0.004,4,0.999,0.026,Ground_560_480,0.000,9.773,0.072
moto,340,1.199,333.149,31.671,0.165,0.000,-0.004,4,0.999,0.026,Ground_560_480,0.000,9.555,0.121
moto,340,1.219,333.773,31.693,0.153,0.000,-0.004,4,0.999,0.025,Ground_560_480,0.000,9.523,0.164
moto,340,1.239,334.407,31.714,0.143,0.000,-0.004,4,0.999,0.024,Ground_560_480,0.000,9.626,0.092
moto,340,1.259,335.052,31.733,0.134,0.000,-0.004,4,0.999,0.024,Ground_560_480,0.000,9.428,0.135
moto,340,1.279,335.689,31.750,0.125,0.000,-0.004,4,0.999,0.023,Ground_560_480,0.000,9.419,0.108
moto,340,1.299,336.324,31.766,0.117,0.000,-0.004,4,0.999,0.023,Ground_560_480,0.000,9.452,0.113
moto,340,1.319,336.949,31.781,0.110,0.000,-0.004,4,0.999,0.023,Ground_560_480,0.000,9.377,0.068
moto,340,1.339,337.589,31.794,0.103,0.000,-0.004,4,0.999,0.023,Ground_560_480,0.000,9.350,0.055
moto,340,1.359,338.225,31.806,0.097,0.000,-0.004,4,0.999,0.025,Ground_560_480,0.000,9.169,0.034
moto,340,1.379,338.867,31.817,0.092,0.000,-0.003,4,0.999,0.025,Ground_560_480,0.000,9.014,0.109
moto,340,1.399,339.495,31.827,0.087,0.000,-0.003,4,0.999,0.025,Ground_560_480,0.000,9.040,0.064
moto,340,1.419,340.132,31.836,0.082,0.000,-0.003,4,0.999,0.025,Ground_560_480,0.000,8.989,0.046
moto,340,1.439,340.772,31.845,0.078,0.000,-0.003,4,0.999,0.026,Ground_560_480,0.000,9.129,0.175
moto,340,1.459,341.409,31.852,0.074,0.000,-0.003,4,0.999,0.024,Ground_560_480,0.000,9.389,0.141
moto,340,1.479,342.057,31.860,0.070,0.000,-0.003,4,0.999,0.022,Ground_560_480,0.000,9.658,0.154
moto,340,1.499,342.689,31.866,0.067,0.000,-0.003,4,0.999,0.025,Ground_560_480,0.000,10.210,0.154
moto,340,1.519,343.326,31.872,0.064,0.000,-0.003,4,0.999,0.032,Ground_560_480,0.000,10.891,0.171
moto,340,1.539,343.967,31.877,0.061,0.000,-0.003,4,0.999,0.040,Ground_560_480,0.000,11.505,0.222
moto,340,1.559,344.613,31.882,0.059,0.000,-0.003,4,0.999,0.051,Ground_560_480,0.000,12.321,0.155
moto,340,1.579,345.250,31.886,0.057,0.000,-0.003,4,0.999,0.065,Ground_560_480,0.000,13.028,0.067
moto,340,1.599,345.881,31.890,0.055,0.000,-0.003,4,0.999,0.078,Ground_560_480,0.000,13.760,0.112
moto,340,1.619,346.526,31.893,0.054,0.000,-0.003,4,1.000,0.086,Ground_560_480,0.000,14.686,0.033
moto,340,1.639,347.163,31.895,0.052,0.000,-0.003,4,1.000,0.098,Ground_560_480,0.000,15.408,0.224
moto,340,1.659,347.805,31.898,0.051,0.000,-0.003,4,1.000,0.109,Ground_560_480,0.000,15.797,0.208
moto,340,1.679,348.442,31.899,0.051,0.000,-0.003,4,1.000,0.121,Ground_560_480,0.000,16.442,0.135
moto,340,1.699,349.067,31.825,0.087,0.000,-0.003,4,1.000,0.762,Ground_560_480,71.986,17.552,4.289
