time,scope,body,paint,revision,x,z,recycles,recoveries
3.00,extension,Pickup,3,1,-876.09,-547.02,0,0
3.00,local,Wagon / SUV,0,1,-499.65,-547.20,0,0
3.00,local,Van,7,1,-610.91,505.01,0,0
3.00,highway,Wagon / SUV,5,1,43.93,534.64,0,0
3.00,extension,Sedan,2,1,-871.09,-553.02,0,0
3.00,extension,Sedan,0,1,-706.09,-547.02,0,0
3.00,highway,Pickup,5,1,-305.32,533.00,0,0
3.00,highway,Sedan,6,1,-480.20,539.09,0,0
3.00,highway,Sedan,1,1,22.70,527.81,0,0
3.00,extension,Pickup,2,1,-930.95,541.93,0,0
3.00,extension,Wagon / SUV,4,1,-701.09,-553.02,0,0
3.00,extension,Sedan,6,1,506.68,-810.45,0,0
3.00,extension,Wagon / SUV,6,1,-760.95,541.93,0,0
3.00,highway,Pickup,2,1,-371.57,527.03,0,0
3.00,highway,Wagon / SUV,0,1,-327.44,529.57,0,0
3.00,highway,Van,5,1,-130.40,531.14,0,0
3.00,highway,Sedan,0,1,-546.47,534.74,0,0
3.00,highway,Sedan,1,1,-196.44,523.11,0,0
3.00,highway,Sedan,7,1,-523.79,545.66,0,0
3.00,highway,Sedan,8,1,0.47,535.16,0,0
3.00,highway,Wagon / SUV,8,1,-502.37,536.07,0,0
3.00,highway,Pickup,5,1,-174.38,535.31,0,0
3.00,extension,Sedan,5,1,500.68,-815.45,0,0
3.00,extension,Van,3,1,-755.95,535.93,0,0
3.00,extension,Sedan,4,1,470.84,558.39,0,0
3.00,highway,Sedan,8,1,-349.14,538.52,0,0
3.00,extension,Wagon / SUV,7,1,-925.95,535.93,0,0
3.00,highway,Sedan,3,1,-152.41,527.06,0,0
3.00,extension,Van,4,1,640.84,558.39,0,0
3.00,local,Van,6,1,316.87,349.97,0,0
3.00,highway,Pickup,6,1,-21.40,522.68,0,0
3.00,extension,Sedan,2,1,465.84,564.39,0,0
3.00,extension,Pickup,5,1,635.84,564.39,0,0
3.00,extension,Wagon / SUV,5,1,500.68,-645.45,0,0
3.00,extension,Van,3,1,506.68,-640.45,0,0
3.00,local,Wagon / SUV,8,1,393.59,-418.42,0,0
3.50,extension,Pickup,3,1,-883.59,-547.02,0,0
3.50,local,Wagon / SUV,0,1,-501.32,-547.15,0,0
3.50,local,Van,7,1,-611.28,503.40,0,0
3.50,highway,Wagon / SUV,5,1,42.29,534.29,0,0
3.50,extension,Sedan,2,1,-863.59,-553.02,0,0
3.50,extension,Sedan,0,1,-713.59,-547.02,0,0
