time,scope,body,paint,revision,x,z,recycles,recoveries
3.50,highway,Pickup,5,1,-306.99,533.05,0,0
3.50,highway,Sedan,6,1,-481.86,539.15,0,0
3.50,highway,Sedan,1,1,24.36,527.91,0,0
3.50,extension,Pickup,2,1,-938.45,541.93,0,0
3.50,extension,Wagon / SUV,4,1,-693.59,-553.02,0,0
3.50,extension,Sedan,6,1,506.68,-802.94,0,0
3.50,extension,Wagon / SUV,6,1,-768.45,541.93,0,0
3.50,highway,Pickup,2,1,-369.92,526.96,0,0
3.50,highway,Wagon / SUV,0,1,-325.78,529.52,0,0
3.50,highway,Van,5,1,-132.06,531.14,0,0
3.50,highway,Sedan,0,1,-544.81,534.66,0,0
3.50,highway,Sedan,1,1,-194.77,523.10,0,0
3.50,highway,Sedan,7,1,-525.44,545.77,0,0
3.50,highway,Sedan,8,1,-1.19,535.12,0,0
3.50,highway,Wagon / SUV,8,1,-500.68,535.97,0,0
3.50,highway,Pickup,5,1,-176.03,535.32,0,0
3.50,extension,Sedan,5,1,500.68,-822.95,0,0
3.50,extension,Van,3,1,-748.44,535.93,0,0
3.50,extension,Sedan,4,1,478.34,558.39,0,0
3.50,highway,Sedan,8,1,-350.81,538.58,0,0
3.50,extension,Wagon / SUV,7,1,-918.44,535.93,0,0
3.50,highway,Sedan,3,1,-150.74,527.06,0,0
3.50,extension,Van,4,1,648.34,558.39,0,0
3.50,local,Van,6,1,316.89,348.65,0,0
3.50,highway,Pickup,6,1,-19.74,522.68,0,0
3.50,extension,Sedan,2,1,458.34,564.39,0,0
3.50,extension,Pickup,5,1,628.34,564.39,0,0
3.50,extension,Wagon / SUV,5,1,500.68,-652.95,0,0
3.50,extension,Van,3,1,506.68,-632.94,0,0
3.50,local,Wagon / SUV,8,1,394.50,-419.54,0,0
4.00,extension,Pickup,3,1,-891.10,-547.02,0,0
4.00,local,Wagon / SUV,0,1,-506.13,-547.04,0,0
4.00,local,Van,7,1,-612.44,498.78,0,0
4.00,highway,Wagon / SUV,5,1,37.55,533.35,0,0
4.00,extension,Sedan,2,1,-856.08,-553.02,0,0
4.00,extension,Sedan,0,1,-721.10,-547.02,0,0
4.00,highway,Pickup,5,1,-311.78,533.19,0,0
4.00,highway,Sedan,6,1,-486.65,539.34,0,0
4.00,highway,Sedan,1,1,29.11,528.26,0,0
4.00,extension,Pickup,2,1,-945.96,541.93,0,0
4.00,extension,Wagon / SUV,4,1,-686.08,-553.02,0,0
4.00,extension,Sedan,6,1,506.68,-795.44,0,0
4.00,extension,Wagon / SUV,6,1,-775.96,541.93,0,0
4.00,highway,Pickup,2,1,-365.16,526.79,0,0
4.00,highway,Wagon / SUV,0,1,-321.01,529.37,0,0
4.00,highway,Van,5,1,-136.82,531.14,0,0
4.00,highway,Sedan,0,1,-540.03,534.40,0,0
4.00,highway,Sedan,1,1,-189.97,523.08,0,0
4.00,highway,Sedan,7,1,-530.22,546.09,0,0
4.00,highway,Sedan,8,1,-5.98,535.04,0,0
4.00,highway,Wagon / SUV,8,1,-495.84,535.70,0,0
4.00,highway,Pickup,5,1,-180.80,535.34,0,0
4.00,extension,Sedan,5,1,500.68,-830.46,0,0
4.00,extension,Van,3,1,-740.94,535.93,0,0
4.00,extension,Sedan,4,1,485.85,558.39,0,0
4.00,highway,Sedan,8,1,-355.60,538.75,0,0
4.00,extension,Wagon / SUV,7,1,-910.94,535.93,0,0
4.00,highway,Sedan,3,1,-145.94,527.05,0,0
4.00,extension,Van,4,1,655.85,558.39,0,0
4.00,local,Van,6,1,316.96,344.74,0,0
4.00,highway,Pickup,6,1,-14.96,522.68,0,0
4.00,extension,Sedan,2,1,450.83,564.39,0,0
4.00,extension,Pickup,5,1,620.83,564.39,0,0
4.00,extension,Wagon / SUV,5,1,500.68,-660.46,0,0
4.00,extension,Van,3,1,506.68,-625.44,0,0
4.00,local,Wagon / SUV,8,1,397.14,-422.83,0,0
4.51,extension,Pickup,3,1,-898.69,-547.02,0,0
4.51,local,Wagon / SUV,0,1,-513.56,-546.97,0,0
4.51,local,Van,7,1,-614.57,491.66,0,0
4.51,highway,Wagon / SUV,5,1,30.01,532.25,0,0
4.51,extension,Sedan,2,1,-848.49,-553.02,0,0
4.51,extension,Sedan,0,1,-728.69,-547.02,0,0
4.51,highway,Pickup,5,1,-319.33,533.41,0,0
4.51,highway,Sedan,6,1,-494.19,539.69,0,0
4.51,highway,Sedan,1,1,36.58,529.07,0,0
4.51,extension,Pickup,2,1,-953.55,541.93,0,0
4.51,extension,Wagon / SUV,4,1,-678.49,-553.02,0,0
4.51,extension,Sedan,6,1,506.68,-787.85,0,0
4.51,extension,Wagon / SUV,6,1,-783.55,541.93,0,0
4.51,highway,Pickup,2,1,-357.65,526.51,0,0
4.51,highway,Wagon / SUV,0,1,-313.49,529.13,0,0
4.51,highway,Van,5,1,-144.34,531.15,0,0
4.51,highway,Sedan,0,1,-532.50,533.95,0,0
4.51,highway,Sedan,1,1,-182.39,523.04,0,0
4.51,highway,Sedan,7,1,-537.75,546.58,0,0
4.51,highway,Sedan,8,1,-13.53,534.96,0,0
4.51,highway,Wagon / SUV,8,1,-488.21,535.30,0,0
4.51,highway,Pickup,5,1,-188.31,535.37,0,0
4.51,extension,Sedan,5,1,500.68,-838.05,0,0
4.51,extension,Van,3,1,-733.35,535.93,0,0
4.51,extension,Sedan,4,1,493.44,558.39,0,0
4.51,highway,Sedan,8,1,-363.17,539.02,0,0
4.51,extension,Wagon / SUV,7,1,-903.35,535.93,0,0
4.51,highway,Sedan,3,1,-138.36,527.04,0,0
4.51,extension,Van,4,1,663.44,558.39,0,0
4.51,local,Van,6,1,317.07,338.65,0,0
4.51,highway,Pickup,6,1,-7.42,522.73,0,0
4.51,extension,Sedan,2,1,443.24,564.39,0,0
4.51,extension,Pickup,5,1,613.24,564.39,0,0
4.51,extension,Wagon / SUV,5,1,500.68,-668.05,0,0
4.51,extension,Van,3,1,506.68,-617.85,0,0
4.51,local,Wagon / SUV,8,1,401.29,-428.09,0,0
5.01,extension,Pickup,3,1,-906.20,-547.02,0,0
5.01,local,Wagon / SUV,0,1,-521.71,-547.05,0,0
5.01,local,Van,7,1,-617.19,483.76,0,0
5.01,highway,Wagon / SUV,5,1,20.21,531.40,0,0
5.01,extension,Sedan,2,1,-840.98,-553.02,0,0
5.01,extension,Sedan,0,1,-736.20,-547.02,0,0
5.01,highway,Pickup,5,1,-329.11,533.72,0,0
5.01,highway,Sedan,6,1,-503.93,540.22,0,0
5.01,highway,Sedan,1,1,46.12,530.77,0,0
5.01,extension,Pickup,2,1,-961.06,541.93,0,0
5.01,extension,Wagon / SUV,4,1,-670.98,-553.02,0,0
5.01,extension,Sedan,6,1,506.68,-780.34,0,0
5.01,extension,Wagon / SUV,6,1,-791.06,541.93,0,0
5.01,highway,Pickup,2,1,-347.94,526.16,0,0
5.01,highway,Wagon / SUV,0,1,-303.77,528.85,0,0
5.01,highway,Van,5,1,-154.04,531.16,0,0
5.01,highway,Sedan,0,1,-522.77,533.31,0,0
5.01,highway,Sedan,1,1,-172.60,523.00,0,0
5.01,highway,Sedan,7,1,-547.49,547.15,0,0
5.01,highway,Sedan,8,1,-23.30,534.93,0,0
5.01,highway,Wagon / SUV,8,1,-478.39,534.88,0,0
5.01,highway,Pickup,5,1,-198.02,535.42,0,0
5.01,extension,Sedan,5,1,500.68,-845.56,0,0
5.01,extension,Van,3,1,-725.84,535.93,0,0
5.01,extension,Sedan,4,1,500.95,558.39,0,0
5.01,highway,Sedan,8,1,-372.95,539.38,0,0
5.01,extension,Wagon / SUV,7,1,-895.84,535.93,0,0
5.01,highway,Sedan,3,1,-128.56,527.04,0,0
5.01,extension,Van,4,1,670.95,558.39,0,0
5.01,local,Van,6,1,317.22,331.48,0,0
5.01,highway,Pickup,6,1,2.33,522.87,0,0
5.01,extension,Sedan,2,1,435.73,564.39,0,0
5.01,extension,Pickup,5,1,605.73,564.39,0,0
5.01,extension,Wagon / SUV,5,1,500.68,-675.56,0,0
5.01,extension,Van,3,1,506.68,-610.34,0,0
5.01,local,Wagon / SUV,8,1,406.12,-434.27,0,0
5.51,extension,Pickup,3,1,-913.70,-547.02,0,0
5.51,local,Wagon / SUV,0,1,-529.88,-547.29,0,0
5.51,local,Van,7,1,-619.87,475.79,0,0
5.51,highway,Wagon / SUV,5,1,8.46,530.95,0,0
5.51,extension,Sedan,2,1,-833.47,-553.02,0,0
5.51,extension,Sedan,0,1,-743.70,-547.02,0,0
5.51,highway,Pickup,5,1,-340.81,534.12,0,0
5.51,highway,Sedan,6,1,-515.58,540.96,0,0
5.51,highway,Sedan,1,1,57.22,533.85,0,0
5.51,extension,Pickup,2,1,-968.56,541.93,0,0
5.51,extension,Wagon / SUV,4,1,-663.47,-553.02,0,0
5.51,extension,Sedan,6,1,506.68,-772.83,0,0
5.51,extension,Wagon / SUV,6,1,-798.56,541.93,0,0
5.51,highway,Pickup,2,1,-336.30,525.76,0,0
5.51,highway,Wagon / SUV,0,1,-292.12,528.53,0,0
5.51,highway,Van,5,1,-165.68,531.18,0,0
5.51,highway,Sedan,0,1,-511.11,532.52,0,0
5.51,highway,Sedan,1,1,-160.86,522.97,0,0
5.51,highway,Sedan,7,1,-559.04,547.64,0,0
5.51,highway,Sedan,8,1,-34.99,534.97,0,0
5.51,highway,Wagon / SUV,8,1,-466.66,534.50,0,0
5.51,highway,Pickup,5,1,-209.66,535.49,0,0
5.51,extension,Sedan,5,1,500.68,-853.06,0,0
5.51,extension,Van,3,1,-718.33,535.93,0,0
5.51,extension,Sedan,4,1,508.45,558.39,0,0
5.51,highway,Sedan,8,1,-384.68,539.82,0,0
5.51,extension,Wagon / SUV,7,1,-888.33,535.93,0,0
5.51,highway,Sedan,3,1,-116.82,527.04,0,0
5.51,extension,Van,4,1,678.45,558.39,0,0
5.51,local,Van,6,1,317.40,324.20,0,0
5.51,highway,Pickup,6,1,14.00,523.21,0,0
5.51,extension,Sedan,2,1,428.22,564.39,0,0
5.51,extension,Pickup,5,1,598.22,564.39,0,0
5.51,extension,Wagon / SUV,5,1,500.68,-683.06,0,0
5.51,extension,Van,3,1,506.68,-602.83,0,0
5.51,local,Wagon / SUV,8,1,410.95,-440.62,0,0
6.01,extension,Pickup,3,1,-921.21,-547.02,0,0
6.01,local,Wagon / SUV,0,1,-538.04,-547.64,0,0
6.01,local,Van,7,1,-622.41,467.80,0,0
6.01,highway,Wagon / SUV,5,1,-4.91,530.79,0,0
6.01,extension,Sedan,2,1,-825.97,-553.02,0,0
6.01,extension,Sedan,0,1,-751.21,-547.02,0,0
6.01,highway,Pickup,5,1,-354.15,534.59,0,0
6.01,highway,Sedan,6,1,-528.85,541.85,0,0
6.01,highway,Sedan,1,1,68.88,537.58,0,0
6.01,extension,Pickup,2,1,-976.07,541.93,0,0
6.01,extension,Wagon / SUV,4,1,-995.97,-553.02,0,0
6.01,extension,Sedan,6,1,506.68,-765.33,0,0
6.01,extension,Wagon / SUV,6,1,-806.07,541.93,0,0
6.01,highway,Pickup,2,1,-323.40,525.34,0,0
6.01,highway,Wagon / SUV,0,1,-278.90,528.22,0,0
6.01,highway,Van,5,1,-178.93,531.22,0,0
6.01,highway,Sedan,0,1,-498.20,531.72,0,0
6.01,highway,Sedan,1,1,-147.91,522.95,0,0
6.01,highway,Sedan,7,1,-570.16,547.69,0,0
6.01,highway,Sedan,8,1,-48.11,535.06,0,0
6.01,highway,Wagon / SUV,8,1,-453.39,534.11,0,0
6.01,highway,Pickup,5,1,-222.74,535.60,0,0
6.01,extension,Sedan,5,1,500.68,-860.57,0,0
6.01,extension,Wagon / SUV,8,2,-1050.83,535.93,0,0
6.01,extension,Sedan,4,1,515.96,558.39,0,0
6.01,highway,Sedan,8,1,-397.82,540.32,0,0
6.01,extension,Wagon / SUV,7,1,-880.83,535.93,0,0
6.01,highway,Sedan,3,1,-103.54,527.04,0,0
6.01,extension,Van,4,1,685.96,558.39,0,0
6.01,local,Van,6,1,317.64,316.90,0,0
6.01,highway,Pickup,6,1,26.88,523.93,0,0
6.01,extension,Sedan,2,2,760.72,564.39,0,0
6.01,extension,Pickup,5,1,590.72,564.39,0,0
6.01,extension,Wagon / SUV,5,1,500.68,-690.57,0,0
6.01,extension,Van,3,1,506.68,-935.33,0,0
6.01,local,Wagon / SUV,8,1,415.64,-447.03,0,0
6.51,extension,Pickup,3,1,-928.72,-547.02,0,0
6.51,local,Wagon / SUV,0,1,-546.21,-548.05,0,0
6.51,local,Van,7,1,-624.73,459.72,0,0
6.51,highway,Wagon / SUV,5,1,-19.06,530.80,0,0
6.51,extension,Sedan,2,1,-818.46,-553.02,0,0
6.51,extension,Sedan,0,1,-758.72,-547.02,0,0
6.51,highway,Pickup,5,1,-368.29,535.10,0,0
6.51,highway,Sedan,6,1,-542.94,542.75,0,0
6.51,highway,Sedan,1,1,81.49,540.73,0,0
6.51,extension,Pickup,2,1,-983.58,541.93,0,0
6.51,extension,Wagon / SUV,4,1,-988.46,-553.02,0,0
6.51,extension,Sedan,6,1,506.68,-757.82,0,0
6.51,extension,Wagon / SUV,6,1,-813.58,541.93,0,0
6.51,highway,Pickup,2,1,-310.20,524.93,0,0
6.51,highway,Wagon / SUV,0,1,-265.06,527.94,0,0
6.51,highway,Van,5,1,-193.04,531.29,0,0
6.51,highway,Sedan,0,1,-485.00,531.04,0,0
6.51,highway,Sedan,1,1,-134.68,522.94,0,0
6.51,highway,Sedan,7,1,-579.38,547.10,0,0
6.51,highway,Sedan,8,1,-61.65,535.16,0,0
6.51,highway,Wagon / SUV,8,1,-439.55,533.67,0,0
6.51,highway,Pickup,5,1,-236.27,535.74,0,0
6.51,extension,Sedan,5,1,500.68,-868.08,0,0
6.51,extension,Wagon / SUV,8,2,-1043.32,535.93,0,0
6.51,extension,Sedan,4,1,523.47,558.39,0,0
6.51,highway,Sedan,8,1,-411.37,540.83,0,0
6.51,extension,Wagon / SUV,7,1,-873.32,535.93,0,0
6.51,highway,Sedan,3,1,-89.67,527.05,0,0
6.51,extension,Van,4,1,693.47,558.39,0,0
6.51,local,Van,6,1,317.94,309.59,0,0
6.51,highway,Pickup,6,1,39.36,525.36,0,0
6.51,extension,Sedan,2,2,753.21,564.39,0,0
6.51,extension,Pickup,5,1,583.21,564.39,0,0
6.51,extension,Wagon / SUV,5,1,500.68,-698.08,0,0
6.51,extension,Van,3,1,506.68,-927.82,0,0
6.51,local,Wagon / SUV,8,1,420.21,-453.52,0,0
7.01,extension,Pickup,3,1,-936.24,-547.02,0,0
7.01,local,Wagon / SUV,0,1,-554.39,-548.46,0,0
7.01,local,Van,7,1,-626.79,451.56,0,0
7.01,highway,Wagon / SUV,5,1,-33.41,530.87,0,0
7.01,extension,Sedan,2,1,-810.93,-553.02,0,0
7.01,extension,Sedan,0,1,-766.24,-547.02,0,0
7.01,highway,Pickup,5,1,-382.63,535.64,0,0
7.01,highway,Sedan,6,1,-556.08,543.37,0,0
7.01,highway,Sedan,1,1,95.16,542.61,0,0
7.01,extension,Pickup,2,1,-991.10,541.93,0,0
7.01,extension,Wagon / SUV,4,1,-980.93,-553.02,0,0
7.01,extension,Sedan,6,1,506.68,-750.29,0,0
7.01,extension,Wagon / SUV,6,1,-821.10,541.93,0,0
7.01,highway,Pickup,2,1,-296.91,524.55,0,0
7.01,highway,Wagon / SUV,0,1,-251.06,527.72,0,0
7.01,highway,Van,5,1,-207.37,531.37,0,0
7.01,highway,Sedan,0,1,-471.71,530.53,0,0
7.01,highway,Sedan,1,1,-121.37,522.94,0,0
7.01,highway,Sedan,7,1,-586.55,545.90,0,0
7.01,highway,Sedan,8,1,-75.30,535.23,0,0
7.01,highway,Wagon / SUV,8,1,-425.56,533.18,0,0
7.01,highway,Pickup,5,1,-249.92,535.92,0,0
7.01,extension,Sedan,5,1,500.68,-875.60,0,0
7.01,extension,Wagon / SUV,8,2,-1035.79,535.93,0,0
7.01,extension,Sedan,4,1,530.99,558.39,0,0
7.01,highway,Sedan,8,1,-425.02,541.34,0,0
7.01,extension,Wagon / SUV,7,1,-865.79,535.93,0,0
7.01,highway,Sedan,3,1,-75.66,527.03,0,0
7.01,extension,Van,4,1,700.99,558.39,0,0
7.01,local,Van,6,1,318.32,302.24,0,0
7.01,highway,Pickup,6,1,51.64,527.99,0,0
7.01,extension,Sedan,2,2,745.68,564.39,0,0
7.01,extension,Pickup,5,1,575.68,564.39,0,0
7.01,extension,Wagon / SUV,5,1,500.68,-705.60,0,0
7.01,extension,Van,3,1,506.68,-920.29,0,0
7.01,local,Wagon / SUV,8,1,424.69,-460.08,0,0
7.51,extension,Pickup,3,1,-943.75,-547.02,0,0
7.51,local,Wagon / SUV,0,1,-562.56,-548.83,0,0
7.51,local,Van,7,1,-628.59,443.35,0,0
7.51,highway,Wagon / SUV,5,1,-47.74,530.97,0,0
7.51,extension,Sedan,2,1,-803.43,-553.02,0,0
7.51,extension,Sedan,0,1,-773.75,-547.02,0,0
7.51,highway,Pickup,5,1,-396.97,536.18,0,0
7.51,highway,Sedan,6,1,-567.10,543.54,0,0
7.51,highway,Sedan,1,1,109.07,543.46,0,0
7.51,extension,Pickup,2,1,-998.61,541.93,0,0
7.51,extension,Wagon / SUV,4,1,-973.43,-553.02,0,0
7.51,extension,Sedan,6,1,506.68,-742.78,0,0
7.51,extension,Wagon / SUV,6,1,-828.61,541.93,0,0
7.51,highway,Pickup,2,1,-283.65,524.22,0,0
7.51,highway,Wagon / SUV,0,1,-237.07,527.54,0,0
7.51,highway,Van,5,1,-221.70,531.49,0,0
7.51,highway,Sedan,0,1,-458.45,530.13,0,0
7.51,highway,Sedan,1,1,-108.09,522.94,0,0
7.51,highway,Sedan,7,1,-592.26,544.26,0,0
7.51,highway,Sedan,8,1,-88.92,535.27,0,0
7.51,highway,Wagon / SUV,8,1,-411.60,532.65,0,0
7.51,highway,Pickup,5,1,-263.54,536.13,0,0
7.51,extension,Sedan,5,1,500.68,-883.11,0,0
7.51,extension,Wagon / SUV,8,2,-1028.29,535.93,0,0
7.51,extension,Sedan,4,1,538.50,558.39,0,0
7.51,highway,Sedan,8,1,-438.65,541.84,0,0
7.51,extension,Wagon / SUV,7,1,-858.28,535.93,0,0
7.51,highway,Sedan,3,1,-61.67,526.98,0,0
7.51,extension,Van,4,1,708.50,558.39,0,0
7.51,local,Van,6,1,318.81,294.90,0,0
7.51,highway,Pickup,6,1,63.73,531.67,0,0
7.51,extension,Sedan,2,2,738.18,564.39,0,0
7.51,extension,Pickup,5,1,568.18,564.39,0,0
7.51,extension,Wagon / SUV,5,1,500.68,-713.11,0,0
7.51,extension,Van,3,1,506.68,-912.78,0,0
7.51,local,Wagon / SUV,8,1,429.09,-466.66,0,0
8.01,extension,Pickup,3,1,-951.26,-547.02,0,0
8.01,local,Wagon / SUV,0,1,-570.73,-549.09,0,0
8.01,local,Van,7,1,-630.14,435.10,0,0
8.01,highway,Wagon / SUV,5,1,-62.08,531.06,0,0
8.01,extension,Sedan,2,1,-795.92,-553.02,0,0
8.01,extension,Sedan,0,1,-781.26,-547.02,0,0
8.01,highway,Pickup,5,1,-411.31,536.73,0,0
8.01,highway,Sedan,6,1,-576.06,543.25,0,0
8.01,highway,Sedan,1,1,123.03,543.96,0,0
8.01,extension,Pickup,2,1,-1006.12,541.93,0,0
8.01,extension,Wagon / SUV,4,1,-965.92,-553.02,0,0
8.01,extension,Sedan,6,1,506.68,-735.28,0,0
8.01,extension,Wagon / SUV,6,1,-836.12,541.93,0,0
8.01,highway,Pickup,2,1,-270.38,523.94,0,0
8.01,highway,Wagon / SUV,0,1,-223.08,527.40,0,0
8.01,highway,Van,5,1,-236.03,531.64,0,0
8.01,highway,Sedan,0,1,-445.19,529.74,0,0
8.01,highway,Sedan,1,1,-94.81,522.95,0,0
8.01,highway,Sedan,7,1,-596.84,542.32,0,0
8.01,highway,Sedan,8,1,-102.55,535.27,0,0
8.01,highway,Wagon / SUV,8,1,-397.63,532.12,0,0
8.01,highway,Pickup,5,1,-277.16,536.38,0,0
8.01,extension,Sedan,5,1,500.68,-890.62,0,0
8.01,extension,Wagon / SUV,8,2,-1020.78,535.93,0,0
8.01,extension,Sedan,4,1,546.01,558.39,0,0
8.01,highway,Sedan,8,1,-452.28,542.32,0,0
8.01,extension,Wagon / SUV,7,1,-850.78,535.93,0,0
8.01,highway,Sedan,3,1,-47.68,526.90,0,0
8.01,extension,Van,4,1,716.01,558.39,0,0
8.01,local,Van,6,1,319.44,287.54,0,0
8.01,highway,Pickup,6,1,75.73,535.23,0,0
8.01,extension,Sedan,2,2,730.67,564.39,0,0
8.01,extension,Pickup,5,1,560.67,564.39,0,0
8.01,extension,Wagon / SUV,5,1,500.68,-720.62,0,0
8.01,extension,Van,3,1,506.68,-905.28,0,0
8.01,local,Wagon / SUV,8,1,433.45,-473.26,0,0
8.51,extension,Pickup,3,1,-958.76,-547.02,0,0
8.51,local,Wagon / SUV,0,1,-578.90,-549.12,0,0
8.51,local,Van,7,1,-631.46,426.82,0,0
8.51,highway,Wagon / SUV,5,1,-76.42,531.14,0,0
8.51,extension,Sedan,2,1,-788.41,-553.02,0,0
8.51,extension,Sedan,0,1,-788.76,-547.02,0,0
8.51,highway,Pickup,5,1,-425.66,537.26,0,0
8.51,highway,Sedan,6,1,-580.63,542.86,0,0
8.51,highway,Sedan,1,1,137.00,544.58,0,0
8.51,extension,Pickup,2,1,-1013.62,541.93,0,0
8.51,extension,Wagon / SUV,4,1,-958.41,-553.02,0,0
8.51,extension,Sedan,6,1,506.68,-727.77,0,0
8.51,extension,Wagon / SUV,6,1,-843.62,541.93,0,0
8.51,highway,Pickup,2,1,-257.11,523.71,0,0
8.51,highway,Wagon / SUV,0,1,-209.09,527.28,0,0
8.51,highway,Van,5,1,-250.36,531.82,0,0
8.51,highway,Sedan,0,1,-431.93,529.31,0,0
8.51,highway,Sedan,1,1,-81.53,522.94,0,0
8.51,highway,Sedan,7,1,-601.00,539.77,0,0
8.51,highway,Sedan,8,1,-116.17,535.25,0,0
8.51,highway,Wagon / SUV,8,1,-383.67,531.58,0,0
8.51,highway,Pickup,5,1,-290.78,536.69,0,0
8.51,extension,Sedan,5,1,500.68,-898.12,0,0
8.51,extension,Wagon / SUV,8,2,-1013.27,535.93,0,0
8.51,extension,Sedan,4,1,553.51,558.39,0,0
8.51,highway,Sedan,8,1,-465.90,542.76,0,0
8.51,extension,Wagon / SUV,7,1,-843.27,535.93,0,0
8.51,highway,Sedan,3,1,-33.70,526.82,0,0
8.51,extension,Van,4,1,723.51,558.39,0,0
8.51,local,Van,6,1,320.24,280.16,0,0
8.51,highway,Pickup,6,1,88.54,537.73,0,0
8.51,extension,Sedan,2,2,723.16,564.39,0,0
8.51,extension,Pickup,5,1,553.16,564.39,0,0
8.51,extension,Wagon / SUV,5,1,500.68,-728.12,0,0
8.51,extension,Van,3,1,506.68,-897.77,0,0
8.51,local,Wagon / SUV,8,1,437.80,-479.86,0,0
9.01,extension,Pickup,3,1,-966.28,-547.02,0,0
9.01,local,Wagon / SUV,0,1,-586.70,-548.78,0,0
9.01,local,Van,7,1,-632.56,418.49,0,0
9.01,highway,Wagon / SUV,5,1,-90.77,531.17,0,0
9.01,extension,Sedan,2,1,-780.90,-553.02,0,0
9.01,extension,Sedan,0,1,-796.28,-547.02,0,0
9.01,highway,Pickup,5,1,-440.01,537.79,0,0
9.01,highway,Sedan,6,1,-583.84,542.45,0,0
9.01,highway,Sedan,1,1,150.97,545.47,0,0
9.01,extension,Pickup,2,1,-1021.14,541.93,0,0
9.01,extension,Wagon / SUV,4,1,-950.90,-553.02,0,0
9.01,extension,Sedan,6,1,506.68,-720.26,0,0
9.01,extension,Wagon / SUV,6,1,-851.14,541.93,0,0
9.01,highway,Pickup,2,1,-243.83,523.52,0,0
9.01,highway,Wagon / SUV,0,1,-195.08,527.19,0,0
9.01,highway,Van,5,1,-264.72,532.05,0,0
9.01,highway,Sedan,0,1,-418.67,528.82,0,0
9.01,highway,Sedan,1,1,-68.24,522.91,0,0
9.01,highway,Sedan,7,1,-604.49,536.56,0,0
9.01,highway,Sedan,8,1,-129.80,535.24,0,0
9.01,highway,Wagon / SUV,8,1,-369.69,531.06,0,0
9.01,highway,Pickup,5,1,-304.43,537.05,0,0
9.01,extension,Sedan,5,1,500.68,-905.64,0,0
9.01,extension,Wagon / SUV,8,2,-1005.76,535.93,0,0
9.01,extension,Sedan,4,1,561.03,558.39,0,0
9.01,highway,Sedan,8,1,-479.55,543.20,0,0
9.01,extension,Wagon / SUV,7,1,-835.76,535.93,0,0
9.01,highway,Sedan,3,1,-19.69,526.78,0,0
9.01,extension,Van,4,1,731.03,558.39,0,0
9.01,local,Van,6,1,321.27,272.76,0,0
9.01,highway,Pickup,6,1,101.71,538.97,0,0
9.01,extension,Sedan,2,2,715.65,564.39,0,0
9.01,extension,Pickup,5,1,545.65,564.39,0,0
9.01,extension,Wagon / SUV,5,1,500.68,-735.64,0,0
9.01,extension,Van,3,1,506.68,-890.26,0,0
9.01,local,Wagon / SUV,8,1,442.16,-486.46,0,0
9.51,extension,Pickup,3,1,-973.78,-547.02,0,0
9.51,local,Wagon / SUV,0,1,-593.02,-548.10,0,0
9.51,local,Van,7,1,-633.45,410.15,0,0
