time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.017,42.596,0.852,-631.212,8.959,14.094,4,7.800,0.050,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.0184 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0196 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0097 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0102 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0104 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0115 impulse=0.000;",0.000,0.000,0.000,42.596,0.000,1.000,124.148,0.703,-0.039,-42.590,0.000,0.010
0.037,42.587,1.704,-631.198,8.958,13.242,4,7.857,0.007,"",0.202,0.000,0.000,42.587,0.000,1.000,123.296,0.703,-0.078,-42.581,0.000,0.016
0.057,42.578,2.556,-631.184,8.955,12.390,4,7.928,0.021,"",0.207,0.000,0.001,42.578,0.000,1.000,122.445,0.702,-0.115,-42.572,0.028,0.019
0.077,42.569,3.407,-631.170,8.952,11.539,4,8.015,0.038,"",0.211,0.000,-0.002,42.569,0.000,1.000,121.593,0.702,-0.151,-42.563,-0.052,0.021
0.097,42.560,4.258,-631.156,8.949,10.688,4,8.128,0.048,"",0.216,0.000,0.003,42.560,0.000,1.000,120.742,0.702,-0.185,-42.554,0.074,0.020
0.117,42.552,5.110,-631.142,8.944,9.837,4,8.268,0.051,"",0.220,0.000,-0.004,42.552,0.000,1.000,119.891,0.702,-0.216,-42.546,-0.097,0.019
0.137,42.544,5.961,-631.128,8.940,8.986,4,8.434,0.051,"",0.224,0.000,0.005,42.544,0.000,1.000,119.040,0.702,-0.243,-42.538,0.120,0.017
0.157,42.536,6.811,-631.114,8.934,8.135,4,8.621,0.049,"",0.228,0.000,-0.006,42.536,0.000,1.000,118.189,0.701,-0.267,-42.530,-0.138,0.016
0.177,42.529,7.662,-631.100,8.928,7.285,4,8.822,0.045,"",0.232,0.000,0.007,42.529,0.000,1.000,117.338,0.701,-0.286,-42.522,0.158,0.014
0.197,42.521,8.513,-631.086,8.922,6.434,4,9.031,0.040,"",0.236,0.000,-0.008,42.522,0.000,1.000,116.488,0.701,-0.302,-42.515,-0.172,0.012
0.217,42.514,9.363,-631.072,8.916,5.584,4,9.239,0.035,"",0.239,0.000,0.008,42.514,0.000,1.000,115.637,0.701,-0.313,-42.508,0.186,0.010
0.237,42.507,10.213,-631.058,8.910,4.734,4,9.442,0.030,"",0.243,0.000,-0.009,42.507,0.000,1.000,114.787,0.700,-0.320,-42.501,-0.198,0.009
