HOUSE|0|Dan - blue X|(415.800000, 83.819620, -13.000000)|(0.000000, 0.404438, 0.000000, 0.914566)|(1.000000, 1.000000, 1.000000)
HOUSE|0|Foundation|(0.000000, -0.021004, 0.000000)|(0.000000, 0.000000, 0.000000, 1.000000)|(14.000000, 2.180862, 11.000000)
HOUSE|0|Phase 6 architecture|(0.000000, 1.069427, 0.000000)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)
HOUSE|0|Wall collision|(0.000000, 2.400000, 0.000000)|(0.000000, 0.000000, 0.000000, 1.000000)|(13.000000, 4.800000, 10.000000)
HOUSE|0|Pitched roof|(0.000000, 4.800000, 0.000000)|(0.000000, 0.000000, 0.000000, 1.000000)|(14.000000, 2.200000, 11.000000)
HOUSE|0|Pitched roof|(0.000000, 3.200000, 5.350000)|(0.000000, 0.000000, 0.000000, 1.000000)|(3.200000, 0.800000, 1.900000)
HOUSE|0|Slate blue siding|(0.000000, 0.000000, 0.000000)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)
HOUSE|0|Ivory trim|(0.000000, 0.000000, 0.000000)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)
HOUSE|0|Charcoal roof|(0.000000, 0.000000, 0.000000)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)
HOUSE|0|Door timber|(0.000000, 0.000000, 0.000000)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)
HOUSE|0|Blue glass|(0.000000, 0.000000, 0.000000)|(0.000000, 0.000000, 0.000000, 1.000000)|(1.000000, 1.000000, 1.000000)
HOUSE|0|Entrance step 1|(0.000000, 0.291721, 5.350000)|(0.000000, 0.000000, 0.000000, 1.000000)|(2.100000, 1.705412, 0.650000)
HOUSE|0|Entrance step 2|(0.000000, 0.142571, 5.950000)|(0.000000, 0.000000, 0.000000, 1.000000)|(2.100000, 1.523718, 0.650000)
