id,prefab,x,y,z,foundationWidth,foundationDepth,sign
Approximate main road business -1,Storefront 3,-17.572,7.484,491.733,23.682,20.348,GENERAL STORE
Approximate main road business -1,Storefront 1,-165.025,8.025,492.516,31.416,17.373,HILLTOP DINER
Approximate main road business -1,Storefront 2,-91.298,7.445,496.709,22.892,17.295,AUTO SERVICE
Approximate main road business -1,Storefront 0,-238.813,8.549,497.688,21.802,16.111,CORNER MARKET
Approximate main road business -1,Storefront 3,-312.635,8.557,499.617,26.528,18.898,GENERAL STORE
Approximate main road business -1,Storefront 2,-386.299,8.067,502.561,26.058,17.246,AUTO SERVICE
Approximate main road business -1,Storefront 0,56.990,7.764,503.920,24.944,18.850,CORNER MARKET
Approximate main road business -1,Storefront 1,-459.882,7.660,504.046,25.888,17.925,HILLTOP DINER
Approximate main road business -1,Storefront 0,-533.427,7.476,510.072,23.767,20.126,CORNER MARKET
Approximate main road business -1,Storefront 1,129.375,8.255,512.228,22.295,17.869,HILLTOP DINER
Approximate main road business -1,Storefront 2,201.305,8.210,518.324,26.086,17.140,AUTO SERVICE
Approximate main road business 1,Storefront 1,-165.025,7.850,560.339,23.180,17.917,HILLTOP DINER
Approximate main road business 1,Storefront 3,-17.572,7.349,560.562,24.584,17.193,GENERAL STORE
Approximate main road business 1,Storefront 2,-91.298,7.603,565.937,25.921,16.524,AUTO SERVICE
Approximate main road business 1,Storefront 0,-238.813,8.545,566.290,23.381,16.205,CORNER MARKET
Approximate main road business 1,Storefront 0,56.990,8.295,567.975,23.119,18.884,CORNER MARKET
Approximate main road business 1,Storefront 3,-312.635,8.610,568.281,30.656,19.034,GENERAL STORE
Approximate main road business 1,Storefront 0,-533.427,7.427,571.028,29.578,19.503,CORNER MARKET
Approximate main road business 1,Storefront 2,-386.299,7.648,571.406,31.071,17.637,AUTO SERVICE
Approximate main road business 1,Storefront 1,-459.882,7.077,571.625,23.341,17.021,HILLTOP DINER
Approximate main road business 1,Storefront 1,129.375,8.513,577.913,30.561,19.535,HILLTOP DINER
Approximate main road business 1,Storefront 2,201.305,8.070,586.504,30.074,17.330,AUTO SERVICE
