time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.010,42.596,0.852,-623.819,8.342,-149.103,4,7.800,0.042,"Ground_80_320:(-0.015, 1.000, -0.004) separation=0.0000 impulse=15827.530;Ground_80_320:(-0.002, 1.000, -0.004) separation=0.0196 impulse=0.000;Ground_80_320:(-0.002, 1.000, -0.004) separation=0.0158 impulse=0.000;Ground_80_320:(-0.002, 1.000, -0.004) separation=0.0036 impulse=0.000;Ground_80_320:(-0.002, 1.000, -0.004) separation=0.0020 impulse=0.000;Ground_80_320:(-0.002, 1.000, -0.004) separation=-0.0022 impulse=0.000;Ground_80_320:(-0.002, 1.000, -0.004) separation=-0.0032 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.0190 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.0170 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.0114 impulse=0.000;Ground_80_320:(-0.007, 1.000, -0.004) separation=0.0111 impulse=0.000;",0.000,0.000,0.000,42.596,0.000,1.000,-39.148,-0.703,-0.042,42.590,0.000,0.008
0.030,42.587,1.703,-623.833,8.341,-148.251,4,8.435,0.006,"",0.202,0.000,0.000,42.587,0.000,1.000,-38.297,-0.703,-0.069,42.581,0.000,0.013
0.050,42.577,2.555,-623.847,8.339,-147.400,4,9.027,0.017,"",0.207,0.000,0.001,42.577,0.000,1.000,-37.445,-0.702,-0.085,42.571,0.020,0.016
0.070,42.568,3.406,-623.861,8.337,-146.549,4,9.563,0.032,"",0.211,0.000,-0.002,42.568,0.000,1.000,-36.594,-0.702,-0.089,42.562,-0.044,0.017
0.090,42.559,4.257,-623.875,8.336,-145.698,4,10.025,0.039,"",0.216,0.000,0.003,42.559,0.000,1.000,-35.743,-0.702,-0.085,42.553,0.063,0.017
0.110,42.550,5.108,-623.889,8.334,-144.847,4,10.406,0.042,"",0.221,0.000,-0.004,42.550,0.000,1.000,-34.892,-0.702,-0.073,42.544,-0.079,0.016
0.130,42.541,5.959,-623.903,8.333,-143.997,4,10.704,0.042,"",0.225,0.000,0.004,42.541,0.000,1.000,-34.041,-0.702,-0.055,42.536,0.099,0.014
0.150,42.532,6.809,-623.917,8.332,-143.146,4,10.921,0.040,"",0.229,0.000,-0.005,42.533,0.000,1.000,-33.191,-0.701,-0.033,42.527,-0.115,0.013
0.170,42.524,7.660,-623.931,8.332,-142.296,4,11.064,0.037,"",0.234,0.000,0.006,42.524,0.000,1.000,-32.340,-0.701,-0.008,42.518,0.131,0.011
0.190,42.516,8.510,-623.945,8.333,-141.446,4,11.140,0.033,"",0.238,0.000,-0.006,42.516,0.000,1.000,-31.490,-0.701,0.019,42.510,-0.144,0.010
0.210,42.507,9.360,-623.959,8.334,-140.596,4,11.159,0.029,"",0.242,0.000,0.007,42.507,0.000,1.000,-30.640,-0.701,0.046,42.502,0.155,0.008
0.230,42.499,10.210,-623.973,8.335,-139.746,4,11.129,0.025,"",0.246,0.000,-0.007,42.499,0.000,1.000,-29.790,-0.701,0.072,42.493,-0.163,0.007
0.250,42.491,11.060,-623.987,8.337,-138.896,4,11.061,0.021,"",0.250,0.000,0.008,42.491,0.000,1.000,-28.940,-0.701,0.097,42.485,0.171,0.006
0.270,42.483,11.910,-624.001,8.339,-138.047,4,10.963,0.017,"",0.254,0.000,-0.008,42.483,0.000,1.000,-28.090,-0.700,0.120,42.477,-0.177,0.005
0.290,42.476,12.759,-624.015,8.342,-137.197,4,10.843,0.014,"",0.258,0.000,0.008,42.476,0.000,1.000,-27.241,-0.700,0.141,42.470,0.181,0.005
0.310,42.468,13.608,-624.029,8.345,-136.348,4,10.710,0.012,"",0.262,0.000,-0.008,42.468,0.000,1.000,-26.392,-0.700,0.159,42.462,-0.186,0.004
0.330,42.461,14.458,-624.043,8.349,-135.499,4,10.570,0.009,"",0.266,0.000,0.008,42.461,0.000,1.000,-25.542,-0.700,0.174,42.455,0.189,0.004
0.350,42.454,15.307,-624.057,8.353,-134.650,4,10.429,0.007,"",0.270,0.000,-0.009,42.454,0.000,1.000,-24.693,-0.700,0.186,42.448,-0.192,0.004
0.370,42.447,16.156,-624.071,8.357,-133.801,4,10.291,0.006,"",0.273,0.000,0.009,42.447,0.000,1.000,-23.844,-0.700,0.196,42.440,0.194,0.003
0.390,42.440,17.004,-624.085,8.361,-132.953,4,10.159,0.004,"",0.277,0.000,-0.009,42.440,0.000,1.000,-22.996,-0.700,0.203,42.433,-0.195,0.003
0.410,42.433,17.853,-624.099,8.365,-132.104,4,10.038,0.003,"",0.280,0.000,0.009,42.433,0.000,1.000,-22.147,-0.700,0.207,42.427,0.196,0.003
0.430,42.426,18.701,-624.113,8.369,-131.256,4,9.928,0.003,"",0.284,0.000,-0.009,42.426,0.000,1.000,-21.299,-0.699,0.210,42.420,-0.197,0.003
0.450,42.420,19.550,-624.127,8.373,-130.407,4,9.832,0.002,"",0.287,0.000,0.009,42.420,0.000,1.000,-20.450,-0.699,0.210,42.414,0.198,0.003
0.470,42.413,20.398,-624.141,8.377,-129.559,4,9.750,0.001,"",0.290,0.000,-0.009,42.413,0.000,1.000,-19.602,-0.699,0.209,42.407,-0.198,0.003
0.490,42.407,21.246,-624.155,8.381,-128.711,4,9.681,0.001,"",0.293,0.000,0.009,42.407,0.000,1.000,-18.754,-0.699,0.206,42.401,0.199,0.003
0.510,42.401,22.094,-624.169,8.385,-127.863,4,9.627,0.001,"",0.296,0.000,-0.009,42.401,0.000,1.000,-17.906,-0.699,0.203,42.395,-0.199,0.003
0.530,42.395,22.942,-624.183,8.389,-127.016,4,9.585,0.000,"",0.299,0.000,0.009,42.395,0.000,1.000,-17.058,-0.699,0.198,42.389,0.199,0.003
0.550,42.389,23.790,-624.197,8.393,-126.168,4,9.556,0.000,"",0.302,0.000,-0.009,42.389,0.000,1.000,-16.210,-0.699,0.193,42.383,-0.199,0.003
0.570,42.384,24.638,-624.211,8.397,-125.320,4,9.538,0.000,"",0.305,0.000,0.009,42.384,0.000,1.000,-15.362,-0.699,0.187,42.377,0.199,0.003
0.590,42.378,25.485,-624.225,8.401,-124.473,4,9.530,0.000,"",0.308,0.000,-0.009,42.378,0.000,1.000,-14.515,-0.698,0.182,42.372,-0.199,0.003
0.610,42.373,26.333,-624.239,8.404,-123.626,4,9.531,0.000,"",0.311,0.000,0.009,42.373,0.000,1.000,-13.667,-0.699,0.176,42.367,0.199,0.003
0.630,42.367,27.180,-624.253,8.408,-122.778,4,9.539,0.000,"",0.314,0.000,-0.009,42.367,0.000,1.000,-12.820,-0.698,0.171,42.361,-0.199,0.003
