t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.140,829.588,100.804,-120.916,15.686,13.605,0.452,7.809,0.000,0.000,-0.160,2,14.167,4.527,0.998,"Ground_Mountain_0_1:(-0.171, 0.978, -0.116);Ground_Mountain_0_1:(-0.171, 0.978, -0.116);Ground_Mountain_0_1:(-0.171, 0.978, -0.116);"
0.040,148.421,829.849,100.818,-120.768,15.624,13.576,0.564,7.762,0.157,0.000,-0.165,2,7.953,4.144,0.996,"Ground_Mountain_0_1:(-0.171, 0.979, -0.115);Ground_Mountain_0_1:(-0.171, 0.979, -0.115);Ground_Mountain_0_1:(-0.171, 0.979, -0.115);Ground_Mountain_0_1:(-0.171, 0.979, -0.115);Ground_Mountain_0_1:(-0.171, 0.979, -0.115);Ground_Mountain_0_1:(-0.171, 0.979, -0.115);"
0.060,148.717,830.114,100.834,-120.618,15.607,13.560,0.794,7.752,0.188,0.000,-0.171,4,19.633,4.699,0.993,"Ground_Mountain_0_1:(-0.166, 0.979, -0.117);Ground_Mountain_0_1:(-0.166, 0.979, -0.117);Ground_Mountain_0_1:(-0.166, 0.979, -0.117);Ground_Mountain_0_1:(-0.166, 0.979, -0.117);Ground_Mountain_0_1:(-0.166, 0.979, -0.117);Ground_Mountain_0_1:(-0.166, 0.979, -0.117);"
0.080,149.018,830.379,100.855,-120.467,15.597,13.534,1.087,7.742,0.197,0.000,-0.177,4,23.883,3.971,0.991,"Ground_Mountain_0_1:(-0.165, 0.980, -0.114);Ground_Mountain_0_1:(-0.165, 0.980, -0.114);Ground_Mountain_0_1:(-0.165, 0.980, -0.114);Ground_Mountain_0_1:(-0.165, 0.980, -0.114);Ground_Mountain_0_1:(-0.165, 0.980, -0.114);"
0.100,149.320,830.644,100.883,-120.316,15.586,13.492,1.439,7.724,0.202,0.000,-0.181,4,26.666,3.241,0.989,"Ground_Mountain_0_1:(-0.168, 0.979, -0.116);Ground_Mountain_0_1:(-0.168, 0.979, -0.116);Ground_Mountain_0_1:(-0.168, 0.979, -0.116);Ground_Mountain_0_1:(-0.168, 0.979, -0.116);"
0.120,149.625,830.910,100.918,-120.164,15.582,13.441,1.806,7.709,0.207,0.000,-0.184,4,28.083,2.622,0.987,"Ground_Mountain_0_1:(-0.163, 0.979, -0.119);Ground_Mountain_0_1:(-0.163, 0.979, -0.119);Ground_Mountain_0_1:(-0.163, 0.979, -0.119);Ground_Mountain_0_1:(-0.163, 0.979, -0.119);"
0.140,149.931,831.174,100.961,-120.012,15.579,13.379,2.179,7.696,0.209,0.000,-0.186,4,28.457,2.103,0.985,"Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);"
0.160,150.235,831.438,101.012,-119.859,15.576,13.311,2.541,7.689,0.211,0.000,-0.188,4,27.943,1.615,0.984,"Ground_Mountain_0_1:(-0.164, 0.979, -0.122);Ground_Mountain_0_1:(-0.164, 0.979, -0.122);Ground_Mountain_0_1:(-0.164, 0.979, -0.122);Ground_Mountain_0_1:(-0.164, 0.979, -0.122);Ground_Mountain_0_1:(-0.164, 0.979, -0.122);Ground_Mountain_0_1:(-0.164, 0.979, -0.122);"
0.180,150.542,831.701,101.069,-119.706,15.574,13.238,2.879,7.689,0.212,0.000,-0.189,4,26.785,1.256,0.983,"Ground_Mountain_0_1:(-0.164, 0.979, -0.122);Ground_Mountain_0_1:(-0.164, 0.979, -0.122);Ground_Mountain_0_1:(-0.164, 0.979, -0.122);Ground_Mountain_0_1:(-0.164, 0.979, -0.122);Ground_Mountain_0_1:(-0.164, 0.979, -0.122);"
0.200,150.851,831.963,101.132,-119.553,15.571,13.163,3.186,7.698,0.213,0.000,-0.189,4,25.184,1.010,0.982,"Ground_Mountain_0_1:(-0.161, 0.979, -0.123);Ground_Mountain_0_1:(-0.161, 0.979, -0.123);Ground_Mountain_0_1:(-0.161, 0.979, -0.123);Ground_Mountain_0_1:(-0.161, 0.979, -0.123);Ground_Mountain_0_1:(-0.161, 0.979, -0.123);"
