t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.142,828.605,100.788,-119.172,15.582,13.504,0.700,7.745,0.000,0.000,-0.139,2,13.211,2.581,1.000,"Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);"
0.040,148.521,828.867,100.802,-119.023,15.596,13.518,0.660,7.755,0.209,0.000,-0.144,2,5.767,3.231,0.998,"Ground_Mountain_0_1:(-0.178, 0.977, -0.119);Ground_Mountain_0_1:(-0.178, 0.977, -0.119);Ground_Mountain_0_1:(-0.178, 0.977, -0.119);Ground_Mountain_0_1:(-0.178, 0.977, -0.119);Ground_Mountain_0_1:(-0.178, 0.977, -0.119);Ground_Mountain_0_1:(-0.178, 0.977, -0.119);"
0.060,148.818,829.130,100.817,-118.873,15.609,13.525,0.807,7.769,0.202,0.000,-0.148,4,16.734,4.025,0.996,"Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);"
0.080,149.117,829.393,100.837,-118.723,15.613,13.513,1.065,7.776,0.195,0.000,-0.151,4,22.400,3.774,0.994,"Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);"
0.100,149.418,829.657,100.865,-118.571,15.613,13.482,1.402,7.777,0.193,0.000,-0.153,4,26.420,3.474,0.991,"Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);"
0.120,149.721,829.921,100.899,-118.419,15.612,13.431,1.785,7.777,0.193,0.000,-0.154,4,28.844,3.124,0.989,"Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);"
0.140,150.099,830.184,100.942,-118.266,15.611,13.366,2.189,7.776,0.194,0.000,-0.154,4,29.951,2.696,0.987,"Ground_Mountain_0_1:(-0.176, 0.977, -0.121);Ground_Mountain_0_1:(-0.176, 0.977, -0.121);Ground_Mountain_0_1:(-0.176, 0.977, -0.121);Ground_Mountain_0_1:(-0.176, 0.977, -0.121);"
0.160,150.405,830.446,100.994,-118.113,15.609,13.288,2.593,7.778,0.195,0.000,-0.155,4,30.001,2.264,0.985,"Ground_Mountain_0_1:(-0.171, 0.978, -0.122);Ground_Mountain_0_1:(-0.171, 0.978, -0.122);Ground_Mountain_0_1:(-0.171, 0.978, -0.122);Ground_Mountain_0_1:(-0.171, 0.978, -0.122);Ground_Mountain_0_1:(-0.171, 0.978, -0.122);Ground_Mountain_0_1:(-0.171, 0.978, -0.122);"
0.180,150.712,830.707,101.053,-117.959,15.607,13.201,2.980,7.785,0.195,0.000,-0.155,4,29.233,1.898,0.983,"Ground_Mountain_0_1:(-0.174, 0.977, -0.123);Ground_Mountain_0_1:(-0.174, 0.977, -0.123);Ground_Mountain_0_1:(-0.174, 0.977, -0.123);"
0.200,151.020,830.967,101.119,-117.804,15.605,13.110,3.336,7.799,0.196,0.000,-0.154,4,27.721,1.588,0.982,""
0.220,151.329,831.226,101.192,-117.649,15.601,13.018,3.652,7.822,0.198,0.000,-0.154,4,25.711,1.283,0.980,""
0.240,151.638,831.483,101.270,-117.492,15.596,12.926,3.922,7.855,0.199,0.000,-0.152,4,23.417,0.995,0.980,""
0.260,152.010,831.739,101.352,-117.335,15.591,12.838,4.144,7.896,0.202,0.000,-0.150,4,20.961,0.820,0.979,""
0.280,152.320,831.993,101.438,-117.177,15.584,12.753,4.316,7.947,0.205,0.000,-0.149,4,18.423,0.594,0.978,""
0.300,152.630,832.246,101.527,-117.017,15.576,12.674,4.441,8.007,0.208,0.000,-0.147,4,15.983,0.444,0.978,""
0.320,152.940,832.498,101.617,-116.856,15.569,12.600,4.520,8.076,0.212,0.000,-0.145,4,13.684,0.328,0.978,""
0.340,153.250,832.748,101.708,-116.693,15.561,12.531,4.558,8.151,0.216,0.000,-0.143,4,11.577,0.275,0.977,""
0.360,153.612,832.997,101.800,-116.528,15.553,12.467,4.558,8.234,0.219,0.000,-0.140,4,9.654,0.199,0.977,""
0.380,153.922,833.245,101.890,-116.362,15.546,12.407,4.527,8.322,0.223,0.000,-0.138,4,8.015,0.122,0.977,""
0.400,154.232,833.492,101.979,-116.194,15.539,12.350,4.469,8.415,0.227,0.000,-0.135,4,6.667,0.076,0.977,""
0.420,154.542,833.738,102.067,-116.024,15.533,12.297,4.390,8.511,0.230,0.000,-0.132,4,5.561,0.096,0.977,""
0.440,154.852,833.984,102.153,-115.852,15.527,12.246,4.294,8.610,0.234,0.000,-0.129,4,4.689,0.041,0.977,""
0.460,155.204,834.228,102.237,-115.678,15.522,12.197,4.187,8.711,0.237,0.000,-0.126,4,4.135,0.017,0.977,""
0.480,155.514,834.471,102.318,-115.502,15.517,12.148,4.075,8.812,0.239,0.000,-0.123,4,3.810,0.045,0.977,""
0.500,155.823,834.713,102.398,-115.324,15.513,12.100,3.959,8.913,0.242,0.000,-0.120,4,3.650,0.008,0.977,""
0.520,156.133,834.954,102.474,-115.144,15.509,12.052,3.843,9.014,0.244,0.000,-0.117,4,3.632,0.035,0.977,""
0.540,156.443,835.195,102.549,-114.962,15.506,12.003,3.730,9.114,0.245,0.000,-0.114,4,3.774,0.069,0.977,""
0.560,156.753,835.434,102.621,-114.778,15.504,11.953,3.622,9.213,0.247,0.000,-0.111,4,4.055,0.094,0.977,""
0.580,157.096,835.672,102.692,-114.592,15.502,11.903,3.521,9.309,0.248,0.000,-0.107,4,4.430,0.099,0.977,""
0.600,157.406,835.910,102.761,-114.404,15.500,11.852,3.429,9.403,0.249,0.000,-0.104,4,4.831,0.105,0.977,""
0.620,157.716,836.146,102.827,-114.215,15.499,11.800,3.345,9.494,0.250,0.000,-0.100,4,5.298,0.128,0.978,""
0.640,158.026,836.381,102.893,-114.023,15.498,11.747,3.272,9.583,0.251,0.000,-0.097,4,5.802,0.136,0.978,""
0.660,158.336,836.616,102.957,-113.830,15.497,11.693,3.208,9.668,0.251,0.000,-0.093,4,6.312,0.118,0.978,""
0.680,158.672,836.849,103.020,-113.635,15.497,11.638,3.154,9.750,0.251,0.000,-0.090,4,6.798,0.118,0.978,""
0.700,158.982,837.081,103.082,-113.439,15.497,11.583,3.110,9.829,0.252,0.000,-0.086,4,7.292,0.127,0.978,""
0.720,159.292,837.312,103.144,-113.241,15.497,11.528,3.075,9.905,0.252,0.000,-0.083,4,7.776,0.129,0.978,""
0.740,159.602,837.542,103.205,-113.042,15.497,11.473,3.048,9.978,0.252,0.000,-0.079,4,8.224,0.136,0.978,""
0.760,159.912,837.770,103.266,-112.841,15.498,11.417,3.030,10.047,0.251,0.000,-0.076,4,8.615,0.121,0.978,""
0.780,160.222,837.998,103.326,-112.639,15.499,11.362,3.017,10.114,0.251,0.000,-0.072,4,8.949,0.131,0.978,""
0.800,160.552,838.224,103.386,-112.436,15.499,11.307,3.011,10.177,0.251,0.000,-0.069,4,9.248,0.138,0.978,""
0.820,160.862,838.450,103.446,-112.231,15.500,11.253,3.010,10.238,0.250,0.000,-0.065,4,9.521,0.133,0.978,""
0.840,161.172,838.674,103.507,-112.025,15.501,11.200,3.013,10.296,0.250,0.000,-0.062,4,9.724,0.114,0.978,""
0.860,161.482,838.897,103.567,-111.818,15.502,11.149,3.018,10.351,0.249,0.000,-0.058,4,9.880,0.116,0.978,""
0.880,161.793,839.119,103.628,-111.610,15.504,11.098,3.027,10.404,0.249,0.000,-0.055,4,10.003,0.117,0.978,""
0.900,162.117,839.341,103.688,-111.402,15.505,11.049,3.037,10.454,0.248,0.000,-0.051,4,10.111,0.111,0.978,""
0.920,162.428,839.561,103.749,-111.192,15.506,11.001,3.048,10.502,0.248,0.000,-0.048,4,10.178,0.109,0.978,""
0.940,162.738,839.780,103.811,-110.981,15.507,10.955,3.061,10.547,0.247,0.000,-0.044,4,10.221,0.105,0.979,""
0.960,163.048,839.999,103.872,-110.769,15.509,10.911,3.073,10.591,0.246,0.000,-0.041,4,10.234,0.099,0.979,""
0.980,163.359,840.216,103.934,-110.556,15.510,10.868,3.086,10.632,0.246,0.000,-0.037,4,10.228,0.099,0.979,""
1.000,163.669,840.433,103.996,-110.343,15.511,10.828,3.098,10.671,0.245,0.000,-0.034,4,10.207,0.086,0.979,""
1.020,163.989,840.649,104.058,-110.129,15.513,10.789,3.109,10.709,0.244,0.000,-0.031,4,10.156,0.077,0.979,""
1.040,164.299,840.864,104.120,-109.914,15.514,10.752,3.118,10.744,0.244,0.000,-0.027,4,10.094,0.074,0.979,""
1.060,164.609,841.079,104.183,-109.699,15.516,10.718,3.127,10.777,0.243,0.000,-0.024,4,10.033,0.071,0.979,""
1.080,164.920,841.292,104.246,-109.483,15.517,10.685,3.134,10.809,0.242,0.000,-0.021,4,9.974,0.066,0.979,""
1.100,165.230,841.506,104.308,-109.266,15.518,10.655,3.141,10.839,0.242,0.000,-0.018,4,9.927,0.064,0.979,""
1.120,165.541,841.718,104.371,-109.049,15.519,10.626,3.146,10.867,0.241,0.000,-0.015,4,9.885,0.050,0.979,""
1.140,165.856,841.930,104.434,-108.831,15.520,10.599,3.151,10.893,0.240,0.000,-0.012,4,9.835,0.048,0.979,""
1.160,166.166,842.142,104.497,-108.612,15.522,10.575,3.154,10.917,0.240,0.000,-0.009,4,9.787,0.045,0.979,""
1.180,166.476,842.353,104.561,-108.394,15.523,10.552,3.157,10.939,0.239,0.000,-0.006,4,9.744,0.043,0.979,""
1.200,166.787,842.564,104.624,-108.175,15.524,10.532,3.159,10.959,0.239,0.000,-0.003,4,9.696,0.033,0.979,""
1.220,167.097,842.774,104.687,-107.955,15.525,10.513,3.159,10.978,0.238,0.000,0.000,4,9.645,0.033,0.979,""
1.240,167.408,842.984,104.750,-107.735,15.526,10.497,3.159,10.995,0.238,0.000,0.003,4,9.602,0.031,0.979,""
1.260,167.718,843.194,104.813,-107.515,15.526,10.482,3.159,11.011,0.237,0.000,0.006,4,9.565,0.030,0.979,""
1.280,168.029,843.403,104.876,-107.294,15.527,10.469,3.157,11.024,0.237,0.000,0.009,4,9.536,0.026,0.979,""
1.300,168.339,843.612,104.940,-107.074,15.528,10.458,3.155,11.036,0.236,0.000,0.011,4,9.501,0.029,0.979,""
