t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.102,1041.340,153.414,39.415,15.725,-5.496,0.377,14.729,0.000,0.000,-0.089,2,12.072,3.641,1.000,"Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);"
0.040,472.401,1041.233,153.422,39.701,15.727,-5.499,0.334,14.740,0.137,0.000,-0.092,2,6.944,1.833,0.999,"Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);"
0.060,472.840,1041.125,153.432,39.989,15.724,-5.500,0.487,14.738,0.136,0.000,-0.096,4,16.950,2.971,0.997,"Ground_Mountain_2_3:(0.052, 0.987, -0.151);Ground_Mountain_2_3:(0.052, 0.987, -0.151);Ground_Mountain_2_3:(0.052, 0.987, -0.151);Ground_Mountain_2_3:(0.052, 0.987, -0.151);Ground_Mountain_2_3:(0.052, 0.987, -0.151);"
0.080,473.145,1041.016,153.446,40.277,15.719,-5.503,0.712,14.724,0.138,0.000,-0.098,4,20.892,2.850,0.996,"Ground_Mountain_2_3:(0.052, 0.987, -0.150);Ground_Mountain_2_3:(0.052, 0.987, -0.150);Ground_Mountain_2_3:(0.052, 0.987, -0.150);Ground_Mountain_2_3:(0.052, 0.987, -0.150);Ground_Mountain_2_3:(0.052, 0.987, -0.150);"
0.100,473.452,1040.908,153.466,40.566,15.707,-5.498,1.016,14.691,0.140,0.000,-0.100,4,23.590,2.585,0.994,"Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);"
0.120,473.760,1040.799,153.493,40.855,15.702,-5.504,1.322,14.656,0.147,0.000,-0.102,4,24.995,2.383,0.993,"Ground_Mountain_2_3:(0.051, 0.986, -0.158);Ground_Mountain_2_3:(0.051, 0.986, -0.158);Ground_Mountain_2_3:(0.051, 0.986, -0.158);Ground_Mountain_2_3:(0.051, 0.986, -0.158);Ground_Mountain_2_3:(0.051, 0.986, -0.158);"
0.140,474.069,1040.690,153.525,41.144,15.698,-5.511,1.638,14.612,0.149,0.000,-0.104,4,25.608,1.977,0.992,"Ground_Mountain_2_3:(0.048, 0.986, -0.161);Ground_Mountain_2_3:(0.048, 0.986, -0.161);Ground_Mountain_2_3:(0.048, 0.986, -0.161);Ground_Mountain_2_3:(0.048, 0.986, -0.161);"
0.160,474.380,1040.580,153.564,41.433,15.694,-5.521,1.952,14.563,0.151,0.000,-0.105,4,25.513,1.426,0.991,"Ground_Mountain_2_3:(0.044, 0.985, -0.165);Ground_Mountain_2_3:(0.044, 0.985, -0.165);Ground_Mountain_2_3:(0.044, 0.985, -0.165);"
0.180,474.817,1040.470,153.608,41.721,15.691,-5.534,2.251,14.510,0.153,0.000,-0.106,4,24.817,1.174,0.990,"Ground_Mountain_2_3:(0.062, 0.987, -0.148);Ground_Mountain_2_3:(0.062, 0.987, -0.148);"
0.200,475.128,1040.360,153.659,42.009,15.687,-5.551,2.526,14.457,0.155,0.000,-0.107,4,23.621,0.924,0.990,"Ground_Mountain_2_3:(0.062, 0.987, -0.148);Ground_Mountain_2_3:(0.062, 0.987, -0.148);"
