t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.103,1046.772,153.411,41.451,15.713,-5.476,0.406,14.723,0.000,0.000,-0.083,2,11.327,3.335,1.000,"Ground_Mountain_2_3:(0.058, 0.989, -0.139);Ground_Mountain_2_3:(0.058, 0.989, -0.139);Ground_Mountain_2_3:(0.058, 0.989, -0.139);Ground_Mountain_2_3:(0.058, 0.989, -0.139);Ground_Mountain_2_3:(0.058, 0.989, -0.139);"
0.040,472.407,1046.665,153.418,41.739,15.727,-5.486,0.333,14.739,0.143,0.000,-0.086,2,5.949,1.516,0.999,"Ground_Mountain_2_3:(0.057, 0.989, -0.140);Ground_Mountain_2_3:(0.057, 0.989, -0.140);Ground_Mountain_2_3:(0.057, 0.989, -0.140);Ground_Mountain_2_3:(0.057, 0.989, -0.140);"
0.060,472.712,1046.558,153.426,42.028,15.731,-5.492,0.450,14.743,0.137,0.000,-0.090,4,15.480,2.711,0.998,"Ground_Mountain_2_3:(0.057, 0.989, -0.139);Ground_Mountain_2_3:(0.057, 0.989, -0.139);Ground_Mountain_2_3:(0.057, 0.989, -0.139);Ground_Mountain_2_3:(0.057, 0.989, -0.139);Ground_Mountain_2_3:(0.057, 0.989, -0.139);"
0.080,473.018,1046.450,153.439,42.317,15.732,-5.496,0.644,14.737,0.134,0.000,-0.092,4,19.403,2.592,0.997,"Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);"
0.100,473.325,1046.341,153.456,42.607,15.730,-5.499,0.893,14.720,0.134,0.000,-0.094,4,22.140,2.361,0.996,"Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);"
0.120,473.634,1046.233,153.479,42.897,15.728,-5.503,1.175,14.693,0.135,0.000,-0.096,4,23.815,2.078,0.995,"Ground_Mountain_2_3:(0.058, 0.989, -0.140);Ground_Mountain_2_3:(0.058, 0.989, -0.140);Ground_Mountain_2_3:(0.058, 0.989, -0.140);Ground_Mountain_2_3:(0.058, 0.989, -0.140);"
0.140,473.943,1046.124,153.508,43.187,15.725,-5.508,1.471,14.658,0.136,0.000,-0.097,4,24.583,1.772,0.994,"Ground_Mountain_2_3:(0.058, 0.989, -0.140);Ground_Mountain_2_3:(0.058, 0.989, -0.140);Ground_Mountain_2_3:(0.058, 0.989, -0.140);Ground_Mountain_2_3:(0.058, 0.989, -0.140);"
0.160,474.254,1046.014,153.543,43.477,15.722,-5.515,1.767,14.618,0.138,0.000,-0.098,4,24.601,1.494,0.993,"Ground_Mountain_2_3:(0.058, 0.989, -0.140);Ground_Mountain_2_3:(0.058, 0.989, -0.140);Ground_Mountain_2_3:(0.058, 0.989, -0.140);Ground_Mountain_2_3:(0.058, 0.989, -0.140);"
0.180,474.565,1045.905,153.584,43.766,15.719,-5.525,2.051,14.574,0.139,0.000,-0.099,4,24.016,1.245,0.992,"Ground_Mountain_2_3:(0.060, 0.988, -0.141);Ground_Mountain_2_3:(0.060, 0.988, -0.141);"
0.200,474.876,1045.794,153.630,44.055,15.716,-5.539,2.314,14.528,0.140,0.000,-0.100,4,22.972,1.026,0.992,""
0.220,475.189,1045.684,153.681,44.344,15.712,-5.558,2.549,14.482,0.142,0.000,-0.101,4,21.594,0.838,0.991,""
0.240,475.501,1045.573,153.736,44.631,15.708,-5.580,2.752,14.438,0.144,0.000,-0.101,4,20.003,0.682,0.990,""
0.260,475.814,1045.461,153.794,44.918,15.703,-5.607,2.922,14.395,0.146,0.000,-0.101,4,18.290,0.550,0.990,""
