t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.138,830.593,100.794,-122.647,15.610,13.534,0.666,7.753,0.000,0.000,-0.153,2,13.721,4.275,0.998,"Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);"
0.040,148.340,830.854,100.808,-122.499,15.614,13.551,0.579,7.772,0.195,0.000,-0.159,2,5.129,3.840,0.996,"Ground_Mountain_0_1:(-0.164, 0.980, -0.113);Ground_Mountain_0_1:(-0.164, 0.980, -0.113);Ground_Mountain_0_1:(-0.164, 0.980, -0.113);Ground_Mountain_0_1:(-0.164, 0.980, -0.113);"
0.060,148.637,831.119,100.823,-122.349,15.602,13.542,0.784,7.763,0.193,0.000,-0.165,4,18.514,4.590,0.994,"Ground_Mountain_0_1:(-0.161, 0.981, -0.111);Ground_Mountain_0_1:(-0.161, 0.981, -0.111);Ground_Mountain_0_1:(-0.161, 0.981, -0.111);"
0.080,148.937,831.384,100.844,-122.198,15.589,13.517,1.076,7.747,0.199,0.000,-0.169,4,22.794,3.877,0.992,"Ground_Mountain_0_1:(-0.162, 0.980, -0.112);Ground_Mountain_0_1:(-0.162, 0.980, -0.112);Ground_Mountain_0_1:(-0.162, 0.980, -0.112);Ground_Mountain_0_1:(-0.162, 0.980, -0.112);"
0.100,149.239,831.649,100.871,-122.047,15.584,13.482,1.401,7.735,0.205,0.000,-0.172,4,25.465,3.281,0.990,"Ground_Mountain_0_1:(-0.162, 0.981, -0.110);Ground_Mountain_0_1:(-0.162, 0.981, -0.110);Ground_Mountain_0_1:(-0.162, 0.981, -0.110);Ground_Mountain_0_1:(-0.162, 0.981, -0.110);"
0.120,149.544,831.914,100.905,-121.894,15.581,13.436,1.745,7.726,0.208,0.000,-0.174,4,26.953,2.593,0.988,"Ground_Mountain_0_1:(-0.157, 0.981, -0.111);Ground_Mountain_0_1:(-0.157, 0.981, -0.111);Ground_Mountain_0_1:(-0.157, 0.981, -0.111);Ground_Mountain_0_1:(-0.157, 0.981, -0.111);Ground_Mountain_0_1:(-0.157, 0.981, -0.111);"
0.140,149.850,832.179,100.947,-121.741,15.580,13.380,2.097,7.719,0.209,0.000,-0.176,4,27.390,2.111,0.986,"Ground_Mountain_0_1:(-0.157, 0.981, -0.115);Ground_Mountain_0_1:(-0.157, 0.981, -0.115);Ground_Mountain_0_1:(-0.157, 0.981, -0.115);Ground_Mountain_0_1:(-0.157, 0.981, -0.115);Ground_Mountain_0_1:(-0.157, 0.981, -0.115);"
0.160,150.078,832.443,100.995,-121.588,15.579,13.317,2.441,7.717,0.210,0.000,-0.178,4,27.004,1.583,0.985,"Ground_Mountain_0_1:(-0.158, 0.981, -0.116);Ground_Mountain_0_1:(-0.158, 0.981, -0.116);Ground_Mountain_0_1:(-0.158, 0.981, -0.116);Ground_Mountain_0_1:(-0.158, 0.981, -0.116);"
0.180,150.386,832.706,101.050,-121.434,15.577,13.248,2.764,7.722,0.211,0.000,-0.178,4,25.976,1.281,0.984,"Ground_Mountain_0_1:(-0.160, 0.980, -0.117);Ground_Mountain_0_1:(-0.160, 0.980, -0.117);Ground_Mountain_0_1:(-0.160, 0.980, -0.117);Ground_Mountain_0_1:(-0.160, 0.980, -0.117);"
0.200,150.695,832.968,101.111,-121.280,15.576,13.177,3.057,7.736,0.211,0.000,-0.178,4,24.503,0.965,0.983,""
0.220,151.004,833.229,101.177,-121.126,15.573,13.106,3.314,7.758,0.212,0.000,-0.178,4,22.664,0.781,0.983,""
0.240,151.314,833.489,101.247,-120.970,15.570,13.035,3.531,7.790,0.213,0.000,-0.177,4,20.669,0.658,0.982,""
0.260,151.624,833.748,101.321,-120.814,15.567,12.966,3.708,7.830,0.215,0.000,-0.176,4,18.632,0.458,0.982,""
0.280,151.858,834.005,101.398,-120.656,15.562,12.900,3.846,7.880,0.217,0.000,-0.176,4,16.605,0.410,0.982,""
0.300,152.167,834.261,101.477,-120.497,15.558,12.836,3.944,7.937,0.219,0.000,-0.174,4,14.626,0.314,0.981,""
0.320,152.478,834.517,101.557,-120.338,15.553,12.776,4.006,8.001,0.221,0.000,-0.172,4,12.785,0.266,0.981,""
0.340,152.788,834.771,101.638,-120.176,15.548,12.718,4.035,8.073,0.224,0.000,-0.170,4,11.093,0.175,0.981,""
0.360,153.098,835.024,101.718,-120.013,15.543,12.662,4.034,8.150,0.226,0.000,-0.168,4,9.605,0.176,0.981,""
0.380,153.405,835.276,101.799,-119.849,15.538,12.610,4.009,8.233,0.229,0.000,-0.166,4,8.334,0.127,0.981,""
0.400,153.646,835.527,101.878,-119.683,15.534,12.558,3.964,8.318,0.231,0.000,-0.164,4,7.298,0.143,0.981,""
0.420,153.956,835.777,101.956,-119.515,15.529,12.508,3.903,8.408,0.233,0.000,-0.161,4,6.496,0.094,0.981,""
0.440,154.266,836.027,102.032,-119.345,15.525,12.459,3.832,8.499,0.235,0.000,-0.158,4,5.950,0.108,0.981,""
0.460,154.577,836.275,102.108,-119.173,15.522,12.409,3.753,8.592,0.237,0.000,-0.155,4,5.601,0.067,0.981,""
0.480,154.887,836.522,102.181,-119.000,15.519,12.359,3.671,8.686,0.239,0.000,-0.152,4,5.400,0.033,0.981,""
0.500,155.130,836.768,102.253,-118.825,15.516,12.309,3.588,8.780,0.241,0.000,-0.150,4,5.309,0.071,0.981,""
0.520,155.440,837.014,102.323,-118.647,15.513,12.258,3.503,8.875,0.242,0.000,-0.146,4,5.298,0.066,0.981,""
0.540,155.749,837.258,102.391,-118.468,15.510,12.206,3.422,8.969,0.244,0.000,-0.143,4,5.440,0.081,0.980,""
0.560,156.059,837.501,102.458,-118.288,15.508,12.153,3.345,9.062,0.245,0.000,-0.139,4,5.676,0.119,0.980,""
