t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.142,828.843,100.838,-119.037,31.093,26.957,1.460,15.482,0.000,0.000,-0.192,2,14.618,4.635,0.996,"Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);"
0.040,148.799,829.366,100.877,-118.740,30.933,26.882,1.867,15.380,0.453,0.000,-0.196,3,15.266,9.715,0.990,"Ground_Mountain_0_1:(-0.173, 0.978, -0.119);Ground_Mountain_0_1:(-0.173, 0.978, -0.119);Ground_Mountain_0_1:(-0.173, 0.978, -0.119);Ground_Mountain_0_1:(-0.173, 0.978, -0.119);"
0.060,149.394,829.890,100.926,-118.441,30.813,26.795,2.486,15.296,0.533,0.000,-0.204,4,31.825,9.387,0.985,"Ground_Mountain_0_1:(-0.174, 0.977, -0.120);Ground_Mountain_0_1:(-0.174, 0.977, -0.120);Ground_Mountain_0_1:(-0.174, 0.977, -0.120);Ground_Mountain_0_1:(-0.174, 0.977, -0.120);Ground_Mountain_0_1:(-0.174, 0.977, -0.120);"
0.080,150.067,830.416,100.986,-118.142,30.737,26.707,3.071,15.258,0.594,0.000,-0.211,4,36.952,8.353,0.979,"Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);"
0.100,150.669,830.922,101.095,-117.841,30.333,25.923,5.516,14.816,0.632,0.000,-0.216,4,41.243,7.152,0.974,"Ground_Mountain_0_1:(-0.172, 0.978, -0.122);Ground_Mountain_0_1:(-0.172, 0.978, -0.122);Ground_Mountain_0_1:(-0.172, 0.978, -0.122);Ground_Mountain_0_1:(-0.172, 0.978, -0.122);Ground_Mountain_0_1:(-0.172, 0.978, -0.122);Ground_Mountain_0_1:(-0.172, 0.978, -0.122);"
0.120,151.267,831.437,101.235,-117.551,30.263,25.626,6.559,14.703,0.834,0.000,-0.226,4,35.028,9.690,0.976,"Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);"
0.140,151.933,831.949,101.374,-117.256,30.306,25.579,6.936,14.707,0.868,0.000,-0.234,4,28.375,1.089,0.977,"Ground_Mountain_0_1:(-0.174, 0.978, -0.119);Ground_Mountain_0_1:(-0.174, 0.978, -0.119);Ground_Mountain_0_1:(-0.174, 0.978, -0.119);Ground_Mountain_0_1:(-0.174, 0.978, -0.119);Ground_Mountain_0_1:(-0.174, 0.978, -0.119);Ground_Mountain_0_1:(-0.174, 0.978, -0.119);"
0.160,152.535,832.460,101.518,-116.962,30.346,25.541,7.237,14.724,0.847,0.000,-0.240,4,24.554,0.886,0.977,"Ground_Mountain_0_1:(-0.174, 0.977, -0.124);Ground_Mountain_0_1:(-0.174, 0.977, -0.124);Ground_Mountain_0_1:(-0.174, 0.977, -0.124);Ground_Mountain_0_1:(-0.174, 0.977, -0.124);Ground_Mountain_0_1:(-0.174, 0.977, -0.124);Ground_Mountain_0_1:(-0.174, 0.977, -0.124);"
0.180,153.138,832.970,101.668,-116.667,30.381,25.506,7.466,14.762,0.827,0.000,-0.244,4,20.864,0.682,0.977,"Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);"
0.200,153.790,833.480,101.820,-116.370,30.413,25.470,7.628,14.825,0.809,0.000,-0.245,4,17.448,0.521,0.977,""
